Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
89.67565, 2080-2099, bcc_csm1_1, Jan Average, France, FRA
77.37603, 2080-2099, bcc_csm1_1, Feb Average, France, FRA
73.12523, 2080-2099, bcc_csm1_1, Mar Average, France, FRA
61.349895, 2080-2099, bcc_csm1_1, Apr Average, France, FRA
45.78286, 2080-2099, bcc_csm1_1, May Average, France, FRA
32.026752, 2080-2099, bcc_csm1_1, Jun Average, France, FRA
14.084402, 2080-2099, bcc_csm1_1, Jul Average, France, FRA
22.26592, 2080-2099, bcc_csm1_1, Aug Average, France, FRA
42.824577, 2080-2099, bcc_csm1_1, Sep Average, France, FRA
77.100334, 2080-2099, bcc_csm1_1, Oct Average, France, FRA
93.722984, 2080-2099, bcc_csm1_1, Nov Average, France, FRA
124.651695, 2080-2099, bcc_csm1_1, Dec Average, France, FRA
144.52638, 2080-2099, bcc_csm1_1_m, Jan Average, France, FRA
120.88575, 2080-2099, bcc_csm1_1_m, Feb Average, France, FRA
123.022545, 2080-2099, bcc_csm1_1_m, Mar Average, France, FRA
80.72127, 2080-2099, bcc_csm1_1_m, Apr Average, France, FRA
35.73964, 2080-2099, bcc_csm1_1_m, May Average, France, FRA
20.84689, 2080-2099, bcc_csm1_1_m, Jun Average, France, FRA
14.021153, 2080-2099, bcc_csm1_1_m, Jul Average, France, FRA
14.464027, 2080-2099, bcc_csm1_1_m, Aug Average, France, FRA
34.052765, 2080-2099, bcc_csm1_1_m, Sep Average, France, FRA
79.61273, 2080-2099, bcc_csm1_1_m, Oct Average, France, FRA
108.64312, 2080-2099, bcc_csm1_1_m, Nov Average, France, FRA
154.49023, 2080-2099, bcc_csm1_1_m, Dec Average, France, FRA
119.62399, 2080-2099, ccsm4, Jan Average, France, FRA
95.873474, 2080-2099, ccsm4, Feb Average, France, FRA
82.403275, 2080-2099, ccsm4, Mar Average, France, FRA
54.238636, 2080-2099, ccsm4, Apr Average, France, FRA
50.108482, 2080-2099, ccsm4, May Average, France, FRA
64.54931, 2080-2099, ccsm4, Jun Average, France, FRA
43.806812, 2080-2099, ccsm4, Jul Average, France, FRA
45.938255, 2080-2099, ccsm4, Aug Average, France, FRA
39.406757, 2080-2099, ccsm4, Sep Average, France, FRA
85.1828, 2080-2099, ccsm4, Oct Average, France, FRA
99.75763, 2080-2099, ccsm4, Nov Average, France, FRA
