Temperature - (Celsius),Year,Statistics,Country,ISO3,Month
-1.6164,1901,Average,Albania,ALB,1
0.6579,1901,Average,Albania,ALB,2
7.43772,1901,Average,Albania,ALB,3
10.2572,1901,Average,Albania,ALB,4
13.8797,1901,Average,Albania,ALB,5
18.0844,1901,Average,Albania,ALB,6
21.3348,1901,Average,Albania,ALB,7
20.1677,1901,Average,Albania,ALB,8
17.2626,1901,Average,Albania,ALB,9
12.964,1901,Average,Albania,ALB,10
5.8830800000000005,1901,Average,Albania,ALB,11
6.05855,1901,Average,Albania,ALB,12
3.4935,1902,Average,Albania,ALB,1
5.58643,1902,Average,Albania,ALB,2
5.53845,1902,Average,Albania,ALB,3
10.2166,1902,Average,Albania,ALB,4
11.8057,1902,Average,Albania,ALB,5
17.1082,1902,Average,Albania,ALB,6
20.7326,1902,Average,Albania,ALB,7
21.4475,1902,Average,Albania,ALB,8
17.949,1902,Average,Albania,ALB,9
13.0528,1902,Average,Albania,ALB,10
4.8952800000000005,1902,Average,Albania,ALB,11
0.5768399999999999,1902,Average,Albania,ALB,12
1.7020400000000002,1903,Average,Albania,ALB,1
3.9923599999999997,1903,Average,Albania,ALB,2
7.23624,1903,Average,Albania,ALB,3
8.15097,1903,Average,Albania,ALB,4
14.4473,1903,Average,Albania,ALB,5
16.6359,1903,Average,Albania,ALB,6
20.0837,1903,Average,Albania,ALB,7
20.7411,1903,Average,Albania,ALB,8
17.7335,1903,Average,Albania,ALB,9
12.9111,1903,Average,Albania,ALB,10
7.734089999999999,1903,Average,Albania,ALB,11
5.400440000000001,1903,Average,Albania,ALB,12
1.2616,1904,Average,Albania,ALB,1
5.69667,1904,Average,Albania,ALB,2
6.13241,1904,Average,Albania,ALB,3
10.5462,1904,Average,Albania,ALB,4
14.8542,1904,Average,Albania,ALB,5
18.6598,1904,Average,Albania,ALB,6
22.1153,1904,Average,Albania,ALB,7
21.147,1904,Average,Albania,ALB,8
16.0191,1904,Average,Albania,ALB,9
12.5727,1904,Average,Albania,ALB,10
4.88616,1904,Average,Albania,ALB,11
3.0710900000000003,1904,Average,Albania,ALB,12
-2.084,1905,Average,Albania,ALB,1
0.68806,1905,Average,Albania,ALB,2
6.17476,1905,Average,Albania,ALB,3
9.34613,1905,Average,Albania,ALB,4
14.7339,1905,Average,Albania,ALB,5
17.8604,1905,Average,Albania,ALB,6
22.1566,1905,Average,Albania,ALB,7
22.3303,1905,Average,Albania,ALB,8
19.2524,1905,Average,Albania,ALB,9
9.719669999999999,1905,Average,Albania,ALB,10
9.862589999999999,1905,Average,Albania,ALB,11
3.83788,1905,Average,Albania,ALB,12
1.31406,1906,Average,Albania,ALB,1
2.57848,1906,Average,Albania,ALB,2
6.65136,1906,Average,Albania,ALB,3
10.2552,1906,Average,Albania,ALB,4
13.9596,1906,Average,Albania,ALB,5
17.3156,1906,Average,Albania,ALB,6
21.1249,1906,Average,Albania,ALB,7
20.2782,1906,Average,Albania,ALB,8
16.052,1906,Average,Albania,ALB,9
11.9931,1906,Average,Albania,ALB,10
9.02735,1906,Average,Albania,ALB,11
2.29005,1906,Average,Albania,ALB,12
-0.2893,1907,Average,Albania,ALB,1
0.22578,1907,Average,Albania,ALB,2
2.15295,1907,Average,Albania,ALB,3
7.95868,1907,Average,Albania,ALB,4
16.6241,1907,Average,Albania,ALB,5
18.2735,1907,Average,Albania,ALB,6
20.3185,1907,Average,Albania,ALB,7
21.1696,1907,Average,Albania,ALB,8
17.2522,1907,Average,Albania,ALB,9
15.7944,1907,Average,Albania,ALB,10
6.998819999999999,1907,Average,Albania,ALB,11
5.18078,1907,Average,Albania,ALB,12
0.45856,1908,Average,Albania,ALB,1
2.53285,1908,Average,Albania,ALB,2
5.3219,1908,Average,Albania,ALB,3
8.81816,1908,Average,Albania,ALB,4
17.3803,1908,Average,Albania,ALB,5
19.5112,1908,Average,Albania,ALB,6
20.6957,1908,Average,Albania,ALB,7
20.53,1908,Average,Albania,ALB,8
16.1617,1908,Average,Albania,ALB,9
11.3962,1908,Average,Albania,ALB,10
3.7269099999999997,1908,Average,Albania,ALB,11
1.8675700000000002,1908,Average,Albania,ALB,12
-0.5009,1909,Average,Albania,ALB,1
-1.1358,1909,Average,Albania,ALB,2
6.399,1909,Average,Albania,ALB,3
10.5815,1909,Average,Albania,ALB,4
14.3655,1909,Average,Albania,ALB,5
17.7641,1909,Average,Albania,ALB,6
20.3316,1909,Average,Albania,ALB,7
21.1973,1909,Average,Albania,ALB,8
17.8198,1909,Average,Albania,ALB,9
13.2665,1909,Average,Albania,ALB,10
6.33625,1909,Average,Albania,ALB,11
6.4996599999999995,1909,Average,Albania,ALB,12
3.14308,1910,Average,Albania,ALB,1
5.27763,1910,Average,Albania,ALB,2
5.66017,1910,Average,Albania,ALB,3
9.81237,1910,Average,Albania,ALB,4
13.8142,1910,Average,Albania,ALB,5
17.9431,1910,Average,Albania,ALB,6
19.6863,1910,Average,Albania,ALB,7
20.6052,1910,Average,Albania,ALB,8
15.8796,1910,Average,Albania,ALB,9
12.5159,1910,Average,Albania,ALB,10
7.09205,1910,Average,Albania,ALB,11
6.32667,1910,Average,Albania,ALB,12
1.41278,1911,Average,Albania,ALB,1
0.30714,1911,Average,Albania,ALB,2
5.898540000000001,1911,Average,Albania,ALB,3
9.19928,1911,Average,Albania,ALB,4
14.1088,1911,Average,Albania,ALB,5
17.992,1911,Average,Albania,ALB,6
21.263,1911,Average,Albania,ALB,7
21.7889,1911,Average,Albania,ALB,8
17.6977,1911,Average,Albania,ALB,9
13.047,1911,Average,Albania,ALB,10
9.55899,1911,Average,Albania,ALB,11
4.81237,1911,Average,Albania,ALB,12
0.57843,1912,Average,Albania,ALB,1
5.6464099999999995,1912,Average,Albania,ALB,2
8.28154,1912,Average,Albania,ALB,3
8.15293,1912,Average,Albania,ALB,4
13.8543,1912,Average,Albania,ALB,5
18.6026,1912,Average,Albania,ALB,6
20.897,1912,Average,Albania,ALB,7
19.686,1912,Average,Albania,ALB,8
14.3127,1912,Average,Albania,ALB,9
11.0913,1912,Average,Albania,ALB,10
5.66092,1912,Average,Albania,ALB,11
4.24249,1912,Average,Albania,ALB,12
1.81177,1913,Average,Albania,ALB,1
1.52225,1913,Average,Albania,ALB,2
7.77596,1913,Average,Albania,ALB,3
10.1648,1913,Average,Albania,ALB,4
13.7112,1913,Average,Albania,ALB,5
17.8137,1913,Average,Albania,ALB,6
18.5699,1913,Average,Albania,ALB,7
19.1922,1913,Average,Albania,ALB,8
17.9761,1913,Average,Albania,ALB,9
13.109000000000002,1913,Average,Albania,ALB,10
8.43806,1913,Average,Albania,ALB,11
3.56112,1913,Average,Albania,ALB,12
-1.1056,1914,Average,Albania,ALB,1
1.76866,1914,Average,Albania,ALB,2
7.15003,1914,Average,Albania,ALB,3
10.9748,1914,Average,Albania,ALB,4
14.1176,1914,Average,Albania,ALB,5
16.9743,1914,Average,Albania,ALB,6
20.1407,1914,Average,Albania,ALB,7
20.5834,1914,Average,Albania,ALB,8
16.0362,1914,Average,Albania,ALB,9
11.0385,1914,Average,Albania,ALB,10
6.06758,1914,Average,Albania,ALB,11
4.964119999999999,1914,Average,Albania,ALB,12
3.95013,1915,Average,Albania,ALB,1
3.62229,1915,Average,Albania,ALB,2
5.63733,1915,Average,Albania,ALB,3
9.59598,1915,Average,Albania,ALB,4
14.9194,1915,Average,Albania,ALB,5
19.1312,1915,Average,Albania,ALB,6
