Temperature - (Celsius),Year,Statistics,Country,ISO3,Month
20.585,1901,Average,Argentina,ARG,1
19.6985,1901,Average,Argentina,ARG,2
18.13,1901,Average,Argentina,ARG,3
13.5667,1901,Average,Argentina,ARG,4
11.1243,1901,Average,Argentina,ARG,5
10.1241,1901,Average,Argentina,ARG,6
7.870360000000001,1901,Average,Argentina,ARG,7
9.16892,1901,Average,Argentina,ARG,8
12.9555,1901,Average,Argentina,ARG,9
15.7423,1901,Average,Argentina,ARG,10
17.5755,1901,Average,Argentina,ARG,11
20.6335,1901,Average,Argentina,ARG,12
20.9802,1902,Average,Argentina,ARG,1
20.921999999999997,1902,Average,Argentina,ARG,2
17.8209,1902,Average,Argentina,ARG,3
15.5522,1902,Average,Argentina,ARG,4
11.8179,1902,Average,Argentina,ARG,5
8.96663,1902,Average,Argentina,ARG,6
6.6351,1902,Average,Argentina,ARG,7
6.80695,1902,Average,Argentina,ARG,8
11.880999999999998,1902,Average,Argentina,ARG,9
14.4448,1902,Average,Argentina,ARG,10
17.0407,1902,Average,Argentina,ARG,11
19.8075,1902,Average,Argentina,ARG,12
20.1469,1903,Average,Argentina,ARG,1
19.862000000000002,1903,Average,Argentina,ARG,2
17.7636,1903,Average,Argentina,ARG,3
13.279000000000002,1903,Average,Argentina,ARG,4
10.7062,1903,Average,Argentina,ARG,5
8.20232,1903,Average,Argentina,ARG,6
7.47253,1903,Average,Argentina,ARG,7
8.5501,1903,Average,Argentina,ARG,8
13.3376,1903,Average,Argentina,ARG,9
13.8622,1903,Average,Argentina,ARG,10
16.7616,1903,Average,Argentina,ARG,11
18.8427,1903,Average,Argentina,ARG,12
20.7512,1904,Average,Argentina,ARG,1
19.1578,1904,Average,Argentina,ARG,2
16.8778,1904,Average,Argentina,ARG,3
15.415999999999999,1904,Average,Argentina,ARG,4
11.0481,1904,Average,Argentina,ARG,5
8.661389999999999,1904,Average,Argentina,ARG,6
8.50398,1904,Average,Argentina,ARG,7
9.02793,1904,Average,Argentina,ARG,8
13.0588,1904,Average,Argentina,ARG,9
13.9672,1904,Average,Argentina,ARG,10
16.2037,1904,Average,Argentina,ARG,11
18.6815,1904,Average,Argentina,ARG,12
20.3373,1905,Average,Argentina,ARG,1
19.146,1905,Average,Argentina,ARG,2
18.2538,1905,Average,Argentina,ARG,3
13.6687,1905,Average,Argentina,ARG,4
9.47157,1905,Average,Argentina,ARG,5
8.56035,1905,Average,Argentina,ARG,6
6.39216,1905,Average,Argentina,ARG,7
9.06073,1905,Average,Argentina,ARG,8
12.2466,1905,Average,Argentina,ARG,9
13.9544,1905,Average,Argentina,ARG,10
16.7787,1905,Average,Argentina,ARG,11
18.8807,1905,Average,Argentina,ARG,12
20.6277,1906,Average,Argentina,ARG,1
20.7862,1906,Average,Argentina,ARG,2
19.1323,1906,Average,Argentina,ARG,3
14.7147,1906,Average,Argentina,ARG,4
11.5063,1906,Average,Argentina,ARG,5
5.76659,1906,Average,Argentina,ARG,6
7.12402,1906,Average,Argentina,ARG,7
9.35114,1906,Average,Argentina,ARG,8
11.6347,1906,Average,Argentina,ARG,9
15.5512,1906,Average,Argentina,ARG,10
17.8685,1906,Average,Argentina,ARG,11
18.9039,1906,Average,Argentina,ARG,12
21.3021,1907,Average,Argentina,ARG,1
20.1436,1907,Average,Argentina,ARG,2
17.4891,1907,Average,Argentina,ARG,3
13.5946,1907,Average,Argentina,ARG,4
9.45594,1907,Average,Argentina,ARG,5
6.36589,1907,Average,Argentina,ARG,6
7.562939999999999,1907,Average,Argentina,ARG,7
7.909339999999999,1907,Average,Argentina,ARG,8
10.2915,1907,Average,Argentina,ARG,9
13.8527,1907,Average,Argentina,ARG,10
17.4874,1907,Average,Argentina,ARG,11
19.2571,1907,Average,Argentina,ARG,12
20.9844,1908,Average,Argentina,ARG,1
19.9938,1908,Average,Argentina,ARG,2
18.5747,1908,Average,Argentina,ARG,3
12.927,1908,Average,Argentina,ARG,4
10.2062,1908,Average,Argentina,ARG,5
8.943769999999999,1908,Average,Argentina,ARG,6
