Temperature - (Celsius),Year,Statistics,Country,ISO3,Month
16.976,1901,Average,Bangladesh,BGD,1
19.9026,1901,Average,Bangladesh,BGD,2
24.3158,1901,Average,Bangladesh,BGD,3
28.1834,1901,Average,Bangladesh,BGD,4
27.8892,1901,Average,Bangladesh,BGD,5
28.8925,1901,Average,Bangladesh,BGD,6
28.3327,1901,Average,Bangladesh,BGD,7
27.9243,1901,Average,Bangladesh,BGD,8
27.6057,1901,Average,Bangladesh,BGD,9
27.0887,1901,Average,Bangladesh,BGD,10
22.1671,1901,Average,Bangladesh,BGD,11
18.5574,1901,Average,Bangladesh,BGD,12
18.5455,1902,Average,Bangladesh,BGD,1
20.1252,1902,Average,Bangladesh,BGD,2
25.5508,1902,Average,Bangladesh,BGD,3
26.5562,1902,Average,Bangladesh,BGD,4
27.3165,1902,Average,Bangladesh,BGD,5
28.266,1902,Average,Bangladesh,BGD,6
27.6247,1902,Average,Bangladesh,BGD,7
28.1001,1902,Average,Bangladesh,BGD,8
27.7271,1902,Average,Bangladesh,BGD,9
26.0153,1902,Average,Bangladesh,BGD,10
21.9907,1902,Average,Bangladesh,BGD,11
18.2532,1902,Average,Bangladesh,BGD,12
17.7023,1903,Average,Bangladesh,BGD,1
19.5474,1903,Average,Bangladesh,BGD,2
24.3562,1903,Average,Bangladesh,BGD,3
28.0898,1903,Average,Bangladesh,BGD,4
28.5913,1903,Average,Bangladesh,BGD,5
27.906,1903,Average,Bangladesh,BGD,6
28.6851,1903,Average,Bangladesh,BGD,7
27.5889,1903,Average,Bangladesh,BGD,8
27.7468,1903,Average,Bangladesh,BGD,9
26.8644,1903,Average,Bangladesh,BGD,10
22.4298,1903,Average,Bangladesh,BGD,11
18.3745,1903,Average,Bangladesh,BGD,12
17.7866,1904,Average,Bangladesh,BGD,1
19.9656,1904,Average,Bangladesh,BGD,2
25.0148,1904,Average,Bangladesh,BGD,3
27.3117,1904,Average,Bangladesh,BGD,4
27.1157,1904,Average,Bangladesh,BGD,5
27.8145,1904,Average,Bangladesh,BGD,6
27.4404,1904,Average,Bangladesh,BGD,7
27.9148,1904,Average,Bangladesh,BGD,8
