Temperature - (Celsius),Year,Statistics,Country,ISO3,Month
25.6275,1901,Average,Côte d’Ivoire,CIV,1
28.7082,1901,Average,Côte d’Ivoire,CIV,2
28.8377,1901,Average,Côte d’Ivoire,CIV,3
28.049,1901,Average,Côte d’Ivoire,CIV,4
26.6307,1901,Average,Côte d’Ivoire,CIV,5
26.2298,1901,Average,Côte d’Ivoire,CIV,6
25.3447,1901,Average,Côte d’Ivoire,CIV,7
24.9111,1901,Average,Côte d’Ivoire,CIV,8
26.0108,1901,Average,Côte d’Ivoire,CIV,9
26.6161,1901,Average,Côte d’Ivoire,CIV,10
27.1096,1901,Average,Côte d’Ivoire,CIV,11
25.8743,1901,Average,Côte d’Ivoire,CIV,12
26.3471,1902,Average,Côte d’Ivoire,CIV,1
28.1751,1902,Average,Côte d’Ivoire,CIV,2
28.5082,1902,Average,Côte d’Ivoire,CIV,3
28.467,1902,Average,Côte d’Ivoire,CIV,4
27.6294,1902,Average,Côte d’Ivoire,CIV,5
26.1178,1902,Average,Côte d’Ivoire,CIV,6
25.4881,1902,Average,Côte d’Ivoire,CIV,7
25.3026,1902,Average,Côte d’Ivoire,CIV,8
25.1366,1902,Average,Côte d’Ivoire,CIV,9
25.7796,1902,Average,Côte d’Ivoire,CIV,10
26.9699,1902,Average,Côte d’Ivoire,CIV,11
25.8683,1902,Average,Côte d’Ivoire,CIV,12
26.5734,1903,Average,Côte d’Ivoire,CIV,1
28.4251,1903,Average,Côte d’Ivoire,CIV,2
28.8013,1903,Average,Côte d’Ivoire,CIV,3
28.3185,1903,Average,Côte d’Ivoire,CIV,4
27.5099,1903,Average,Côte d’Ivoire,CIV,5
25.9842,1903,Average,Côte d’Ivoire,CIV,6
24.7006,1903,Average,Côte d’Ivoire,CIV,7
24.2113,1903,Average,Côte d’Ivoire,CIV,8
25.1988,1903,Average,Côte d’Ivoire,CIV,9
26.7391,1903,Average,Côte d’Ivoire,CIV,10
26.491,1903,Average,Côte d’Ivoire,CIV,11
25.9693,1903,Average,Côte d’Ivoire,CIV,12
25.7572,1904,Average,Côte d’Ivoire,CIV,1
27.153000000000002,1904,Average,Côte d’Ivoire,CIV,2
28.3004,1904,Average,Côte d’Ivoire,CIV,3
27.6356,1904,Average,Côte d’Ivoire,CIV,4
27.4548,1904,Average,Côte d’Ivoire,CIV,5
26.3443,1904,Average,Côte d’Ivoire,CIV,6
24.7551,1904,Average,Côte d’Ivoire,CIV,7
24.6219,1904,Average,Côte d’Ivoire,CIV,8
25.6761,1904,Average,Côte d’Ivoire,CIV,9
26.5168,1904,Average,Côte d’Ivoire,CIV,10
26.7695,1904,Average,Côte d’Ivoire,CIV,11
26.2906,1904,Average,Côte d’Ivoire,CIV,12
25.9441,1905,Average,Côte d’Ivoire,CIV,1
26.868000000000002,1905,Average,Côte d’Ivoire,CIV,2
28.1749,1905,Average,Côte d’Ivoire,CIV,3
28.6035,1905,Average,Côte d’Ivoire,CIV,4
27.4397,1905,Average,Côte d’Ivoire,CIV,5
25.4054,1905,Average,Côte d’Ivoire,CIV,6
25.0153,1905,Average,Côte d’Ivoire,CIV,7
24.4239,1905,Average,Côte d’Ivoire,CIV,8
25.1473,1905,Average,Côte d’Ivoire,CIV,9
26.0731,1905,Average,Côte d’Ivoire,CIV,10
26.7723,1905,Average,Côte d’Ivoire,CIV,11
26.3937,1905,Average,Côte d’Ivoire,CIV,12
26.3174,1906,Average,Côte d’Ivoire,CIV,1
27.6014,1906,Average,Côte d’Ivoire,CIV,2
29.4084,1906,Average,Côte d’Ivoire,CIV,3
29.3245,1906,Average,Côte d’Ivoire,CIV,4
27.3121,1906,Average,Côte d’Ivoire,CIV,5
25.8072,1906,Average,Côte d’Ivoire,CIV,6
24.4589,1906,Average,Côte d’Ivoire,CIV,7
24.151,1906,Average,Côte d’Ivoire,CIV,8
25.5135,1906,Average,Côte d’Ivoire,CIV,9
26.0513,1906,Average,Côte d’Ivoire,CIV,10
26.4605,1906,Average,Côte d’Ivoire,CIV,11
25.4953,1906,Average,Côte d’Ivoire,CIV,12
25.8699,1907,Average,Côte d’Ivoire,CIV,1
27.0075,1907,Average,Côte d’Ivoire,CIV,2
28.1286,1907,Average,Côte d’Ivoire,CIV,3
27.649,1907,Average,Côte d’Ivoire,CIV,4
27.2117,1907,Average,Côte d’Ivoire,CIV,5
25.5611,1907,Average,Côte d’Ivoire,CIV,6
25.0859,1907,Average,Côte d’Ivoire,CIV,7
24.3221,1907,Average,Côte d’Ivoire,CIV,8
25.3082,1907,Average,Côte d’Ivoire,CIV,9
26.4616,1907,Average,Côte d’Ivoire,CIV,10
26.8106,1907,Average,Côte d’Ivoire,CIV,11
25.5416,1907,Average,Côte d’Ivoire,CIV,12
26.3494,1908,Average,Côte d’Ivoire,CIV,1
27.535999999999998,1908,Average,Côte d’Ivoire,CIV,2
28.3535,1908,Average,Côte d’Ivoire,CIV,3
28.4302,1908,Average,Côte d’Ivoire,CIV,4
27.6322,1908,Average,Côte d’Ivoire,CIV,5
26.3919,1908,Average,Côte d’Ivoire,CIV,6
25.2272,1908,Average,Côte d’Ivoire,CIV,7
24.2529,1908,Average,Côte d’Ivoire,CIV,8
25.3831,1908,Average,Côte d’Ivoire,CIV,9
25.9725,1908,Average,Côte d’Ivoire,CIV,10
26.3358,1908,Average,Côte d’Ivoire,CIV,11
25.7618,1908,Average,Côte d’Ivoire,CIV,12
26.1308,1909,Average,Côte d’Ivoire,CIV,1
28.5464,1909,Average,Côte d’Ivoire,CIV,2
29.6548,1909,Average,Côte d’Ivoire,CIV,3
27.9886,1909,Average,Côte d’Ivoire,CIV,4
26.7452,1909,Average,Côte d’Ivoire,CIV,5
24.9796,1909,Average,Côte d’Ivoire,CIV,6
24.5987,1909,Average,Côte d’Ivoire,CIV,7
24.2197,1909,Average,Côte d’Ivoire,CIV,8
25.5694,1909,Average,Côte d’Ivoire,CIV,9
25.8854,1909,Average,Côte d’Ivoire,CIV,10
26.680999999999997,1909,Average,Côte d’Ivoire,CIV,11
25.8207,1909,Average,Côte d’Ivoire,CIV,12
24.9481,1910,Average,Côte d’Ivoire,CIV,1
28.2788,1910,Average,Côte d’Ivoire,CIV,2
29.0081,1910,Average,Côte d’Ivoire,CIV,3
28.2343,1910,Average,Côte d’Ivoire,CIV,4
27.6673,1910,Average,Côte d’Ivoire,CIV,5
27.0256,1910,Average,Côte d’Ivoire,CIV,6
25.1541,1910,Average,Côte d’Ivoire,CIV,7
24.5946,1910,Average,Côte d’Ivoire,CIV,8
25.6881,1910,Average,Côte d’Ivoire,CIV,9
26.0417,1910,Average,Côte d’Ivoire,CIV,10
26.7956,1910,Average,Côte d’Ivoire,CIV,11
26.4898,1910,Average,Côte d’Ivoire,CIV,12
26.1563,1911,Average,Côte d’Ivoire,CIV,1
27.8689,1911,Average,Côte d’Ivoire,CIV,2
28.2942,1911,Average,Côte d’Ivoire,CIV,3
28.3846,1911,Average,Côte d’Ivoire,CIV,4
26.7065,1911,Average,Côte d’Ivoire,CIV,5
25.1531,1911,Average,Côte d’Ivoire,CIV,6
24.9508,1911,Average,Côte d’Ivoire,CIV,7
24.2591,1911,Average,Côte d’Ivoire,CIV,8
25.4107,1911,Average,Côte d’Ivoire,CIV,9
26.0075,1911,Average,Côte d’Ivoire,CIV,10
26.3429,1911,Average,Côte d’Ivoire,CIV,11
25.2074,1911,Average,Côte d’Ivoire,CIV,12
26.3422,1912,Average,Côte d’Ivoire,CIV,1
28.6392,1912,Average,Côte d’Ivoire,CIV,2
29.1841,1912,Average,Côte d’Ivoire,CIV,3
28.881999999999998,1912,Average,Côte d’Ivoire,CIV,4
27.8812,1912,Average,Côte d’Ivoire,CIV,5
26.354,1912,Average,Côte d’Ivoire,CIV,6
25.4583,1912,Average,Côte d’Ivoire,CIV,7
24.8579,1912,Average,Côte d’Ivoire,CIV,8
25.629,1912,Average,Côte d’Ivoire,CIV,9
26.1462,1912,Average,Côte d’Ivoire,CIV,10
26.0458,1912,Average,Côte d’Ivoire,CIV,11
26.0976,1912,Average,Côte d’Ivoire,CIV,12
26.8167,1913,Average,Côte d’Ivoire,CIV,1
27.6667,1913,Average,Côte d’Ivoire,CIV,2
27.177,1913,Average,Côte d’Ivoire,CIV,3
27.988000000000003,1913,Average,Côte d’Ivoire,CIV,4
27.3709,1913,Average,Côte d’Ivoire,CIV,5
27.255,1913,Average,Côte d’Ivoire,CIV,6
26.148000000000003,1913,Average,Côte d’Ivoire,CIV,7
25.4482,1913,Average,Côte d’Ivoire,CIV,8
26.0716,1913,Average,Côte d’Ivoire,CIV,9
25.9196,1913,Average,Côte d’Ivoire,CIV,10
25.5101,1913,Average,Côte d’Ivoire,CIV,11
24.9733,1913,Average,Côte d’Ivoire,CIV,12
27.2423,1914,Average,Côte d’Ivoire,CIV,1
27.7556,1914,Average,Côte d’Ivoire,CIV,2
28.4527,1914,Average,Côte d’Ivoire,CIV,3
28.2537,1914,Average,Côte d’Ivoire,CIV,4
28.0869,1914,Average,Côte d’Ivoire,CIV,5
26.4908,1914,Average,Côte d’Ivoire,CIV,6
25.373,1914,Average,Côte d’Ivoire,CIV,7
24.2623,1914,Average,Côte d’Ivoire,CIV,8
25.3314,1914,Average,Côte d’Ivoire,CIV,9
26.2665,1914,Average,Côte d’Ivoire,CIV,10
26.9309,1914,Average,Côte d’Ivoire,CIV,11
25.6928,1914,Average,Côte d’Ivoire,CIV,12
25.4841,1915,Average,Côte d’Ivoire,CIV,1
