Temperature - (Celsius),Year,Statistics,Country,ISO3,Month
24.4431,1901,Average,Congo (the),COG,1
25.1054,1901,Average,Congo (the),COG,2
24.7958,1901,Average,Congo (the),COG,3
25.1344,1901,Average,Congo (the),COG,4
24.2541,1901,Average,Congo (the),COG,5
23.4182,1901,Average,Congo (the),COG,6
23.0341,1901,Average,Congo (the),COG,7
22.8348,1901,Average,Congo (the),COG,8
23.6052,1901,Average,Congo (the),COG,9
24.5877,1901,Average,Congo (the),COG,10
24.5439,1901,Average,Congo (the),COG,11
24.523000000000003,1901,Average,Congo (the),COG,12
24.7431,1902,Average,Congo (the),COG,1
24.5759,1902,Average,Congo (the),COG,2
25.2302,1902,Average,Congo (the),COG,3
24.9618,1902,Average,Congo (the),COG,4
24.7134,1902,Average,Congo (the),COG,5
23.9172,1902,Average,Congo (the),COG,6
22.9339,1902,Average,Congo (the),COG,7
23.7336,1902,Average,Congo (the),COG,8
24.3042,1902,Average,Congo (the),COG,9
24.5877,1902,Average,Congo (the),COG,10
24.5439,1902,Average,Congo (the),COG,11
24.523000000000003,1902,Average,Congo (the),COG,12
25.1431,1903,Average,Congo (the),COG,1
25.4759,1903,Average,Congo (the),COG,2
25.7451,1903,Average,Congo (the),COG,3
25.416,1903,Average,Congo (the),COG,4
24.7146,1903,Average,Congo (the),COG,5
23.3172,1903,Average,Congo (the),COG,6
23.1339,1903,Average,Congo (the),COG,7
23.6336,1903,Average,Congo (the),COG,8
24.6042,1903,Average,Congo (the),COG,9
24.5877,1903,Average,Congo (the),COG,10
24.5439,1903,Average,Congo (the),COG,11
24.523000000000003,1903,Average,Congo (the),COG,12
24.7431,1904,Average,Congo (the),COG,1
24.7759,1904,Average,Congo (the),COG,2
24.840999999999998,1904,Average,Congo (the),COG,3
24.8869,1904,Average,Congo (the),COG,4
24.5139,1904,Average,Congo (the),COG,5
23.7172,1904,Average,Congo (the),COG,6
22.4339,1904,Average,Congo (the),COG,7
22.8336,1904,Average,Congo (the),COG,8
24.6042,1904,Average,Congo (the),COG,9
24.5877,1904,Average,Congo (the),COG,10
24.5439,1904,Average,Congo (the),COG,11
24.523000000000003,1904,Average,Congo (the),COG,12
25.1431,1905,Average,Congo (the),COG,1
25.6759,1905,Average,Congo (the),COG,2
26.1525,1905,Average,Congo (the),COG,3
25.8633,1905,Average,Congo (the),COG,4
25.0945,1905,Average,Congo (the),COG,5
23.6172,1905,Average,Congo (the),COG,6
22.8339,1905,Average,Congo (the),COG,7
23.8336,1905,Average,Congo (the),COG,8
24.0042,1905,Average,Congo (the),COG,9
24.5877,1905,Average,Congo (the),COG,10
24.5439,1905,Average,Congo (the),COG,11
24.523000000000003,1905,Average,Congo (the),COG,12
24.5431,1906,Average,Congo (the),COG,1
25.1759,1906,Average,Congo (the),COG,2
25.7054,1906,Average,Congo (the),COG,3
25.8419,1906,Average,Congo (the),COG,4
24.5682,1906,Average,Congo (the),COG,5
23.8172,1906,Average,Congo (the),COG,6
23.2339,1906,Average,Congo (the),COG,7
23.4336,1906,Average,Congo (the),COG,8
24.6042,1906,Average,Congo (the),COG,9
24.5877,1906,Average,Congo (the),COG,10
24.5439,1906,Average,Congo (the),COG,11
24.523000000000003,1906,Average,Congo (the),COG,12
24.3431,1907,Average,Congo (the),COG,1
25.3759,1907,Average,Congo (the),COG,2
25.4242,1907,Average,Congo (the),COG,3
25.2637,1907,Average,Congo (the),COG,4
24.8684,1907,Average,Congo (the),COG,5
23.8172,1907,Average,Congo (the),COG,6
24.1339,1907,Average,Congo (the),COG,7
24.1336,1907,Average,Congo (the),COG,8
24.5042,1907,Average,Congo (the),COG,9
24.5877,1907,Average,Congo (the),COG,10
24.5439,1907,Average,Congo (the),COG,11
24.523000000000003,1907,Average,Congo (the),COG,12
24.3431,1908,Average,Congo (the),COG,1
24.7759,1908,Average,Congo (the),COG,2
25.2797,1908,Average,Congo (the),COG,3
25.363000000000003,1908,Average,Congo (the),COG,4
24.4748,1908,Average,Congo (the),COG,5
22.8172,1908,Average,Congo (the),COG,6
23.1339,1908,Average,Congo (the),COG,7
22.3336,1908,Average,Congo (the),COG,8
23.9042,1908,Average,Congo (the),COG,9
24.5877,1908,Average,Congo (the),COG,10
24.5439,1908,Average,Congo (the),COG,11
24.523000000000003,1908,Average,Congo (the),COG,12
24.7431,1909,Average,Congo (the),COG,1
25.3759,1909,Average,Congo (the),COG,2
25.5069,1909,Average,Congo (the),COG,3
25.7635,1909,Average,Congo (the),COG,4
24.9519,1909,Average,Congo (the),COG,5
24.9172,1909,Average,Congo (the),COG,6
24.2339,1909,Average,Congo (the),COG,7
24.7336,1909,Average,Congo (the),COG,8
25.0042,1909,Average,Congo (the),COG,9
24.5877,1909,Average,Congo (the),COG,10
24.5439,1909,Average,Congo (the),COG,11
24.523000000000003,1909,Average,Congo (the),COG,12
24.0431,1910,Average,Congo (the),COG,1
24.4759,1910,Average,Congo (the),COG,2
24.7289,1910,Average,Congo (the),COG,3
24.5111,1910,Average,Congo (the),COG,4
24.834,1910,Average,Congo (the),COG,5
24.6172,1910,Average,Congo (the),COG,6
23.7339,1910,Average,Congo (the),COG,7
23.3336,1910,Average,Congo (the),COG,8
23.8042,1910,Average,Congo (the),COG,9
24.5877,1910,Average,Congo (the),COG,10
23.7305,1910,Average,Congo (the),COG,11
24.024,1910,Average,Congo (the),COG,12
24.2431,1911,Average,Congo (the),COG,1
24.8759,1911,Average,Congo (the),COG,2
25.9525,1911,Average,Congo (the),COG,3
25.7476,1911,Average,Congo (the),COG,4
