Temperature - (Celsius),Year,Statistics,Country,ISO3,Month
12.3533,1901,Average,Egypt,EGY,1
17.1485,1901,Average,Egypt,EGY,2
19.8166,1901,Average,Egypt,EGY,3
22.471,1901,Average,Egypt,EGY,4
24.7663,1901,Average,Egypt,EGY,5
28.201,1901,Average,Egypt,EGY,6
29.0262,1901,Average,Egypt,EGY,7
28.904,1901,Average,Egypt,EGY,8
26.6434,1901,Average,Egypt,EGY,9
24.1158,1901,Average,Egypt,EGY,10
18.1341,1901,Average,Egypt,EGY,11
14.9177,1901,Average,Egypt,EGY,12
12.1107,1902,Average,Egypt,EGY,1
16.6325,1902,Average,Egypt,EGY,2
16.9514,1902,Average,Egypt,EGY,3
21.7018,1902,Average,Egypt,EGY,4
25.5515,1902,Average,Egypt,EGY,5
27.031999999999996,1902,Average,Egypt,EGY,6
27.9714,1902,Average,Egypt,EGY,7
28.4227,1902,Average,Egypt,EGY,8
27.1584,1902,Average,Egypt,EGY,9
24.0858,1902,Average,Egypt,EGY,10
17.5741,1902,Average,Egypt,EGY,11
12.9458,1902,Average,Egypt,EGY,12
11.0177,1903,Average,Egypt,EGY,1
12.2229,1903,Average,Egypt,EGY,2
15.3777,1903,Average,Egypt,EGY,3
21.5116,1903,Average,Egypt,EGY,4
25.7116,1903,Average,Egypt,EGY,5
27.0873,1903,Average,Egypt,EGY,6
27.2743,1903,Average,Egypt,EGY,7
28.061999999999998,1903,Average,Egypt,EGY,8
25.0039,1903,Average,Egypt,EGY,9
22.2827,1903,Average,Egypt,EGY,10
16.9796,1903,Average,Egypt,EGY,11
14.2766,1903,Average,Egypt,EGY,12
12.2636,1904,Average,Egypt,EGY,1
15.0843,1904,Average,Egypt,EGY,2
17.5012,1904,Average,Egypt,EGY,3
20.7075,1904,Average,Egypt,EGY,4
24.5914,1904,Average,Egypt,EGY,5
27.1914,1904,Average,Egypt,EGY,6
28.1154,1904,Average,Egypt,EGY,7
28.3813,1904,Average,Egypt,EGY,8
26.2553,1904,Average,Egypt,EGY,9
24.7275,1904,Average,Egypt,EGY,10
16.8429,1904,Average,Egypt,EGY,11
12.3855,1904,Average,Egypt,EGY,12
11.2089,1905,Average,Egypt,EGY,1
11.7992,1905,Average,Egypt,EGY,2
15.7367,1905,Average,Egypt,EGY,3
21.4942,1905,Average,Egypt,EGY,4
26.15,1905,Average,Egypt,EGY,5
28.4093,1905,Average,Egypt,EGY,6
29.2932,1905,Average,Egypt,EGY,7
29.0023,1905,Average,Egypt,EGY,8
27.4535,1905,Average,Egypt,EGY,9
25.3854,1905,Average,Egypt,EGY,10
20.3796,1905,Average,Egypt,EGY,11
13.2215,1905,Average,Egypt,EGY,12
