Temperature - (Celsius),Year,Statistics,Country,ISO3,Month
-8.065,1901,Average,Georgia,GEO,1
-3.0637,1901,Average,Georgia,GEO,2
3.50015,1901,Average,Georgia,GEO,3
8.2711,1901,Average,Georgia,GEO,4
11.2699,1901,Average,Georgia,GEO,5
16.5646,1901,Average,Georgia,GEO,6
18.7914,1901,Average,Georgia,GEO,7
18.6718,1901,Average,Georgia,GEO,8
12.9193,1901,Average,Georgia,GEO,9
6.06222,1901,Average,Georgia,GEO,10
0.75653,1901,Average,Georgia,GEO,11
-1.0107,1901,Average,Georgia,GEO,12
-4.6316,1902,Average,Georgia,GEO,1
-3.6945,1902,Average,Georgia,GEO,2
-0.1989,1902,Average,Georgia,GEO,3
5.7674,1902,Average,Georgia,GEO,4
11.335,1902,Average,Georgia,GEO,5
16.1946,1902,Average,Georgia,GEO,6
17.1633,1902,Average,Georgia,GEO,7
18.3888,1902,Average,Georgia,GEO,8
12.005,1902,Average,Georgia,GEO,9
6.94003,1902,Average,Georgia,GEO,10
-1.8412,1902,Average,Georgia,GEO,11
-5.5301,1902,Average,Georgia,GEO,12
-7.4898,1903,Average,Georgia,GEO,1
-5.6408,1903,Average,Georgia,GEO,2
-2.4064,1903,Average,Georgia,GEO,3
8.03849,1903,Average,Georgia,GEO,4
12.1482,1903,Average,Georgia,GEO,5
15.6504,1903,Average,Georgia,GEO,6
18.259,1903,Average,Georgia,GEO,7
17.9581,1903,Average,Georgia,GEO,8
12.0468,1903,Average,Georgia,GEO,9
8.142610000000001,1903,Average,Georgia,GEO,10
1.44211,1903,Average,Georgia,GEO,11
-3.7756,1903,Average,Georgia,GEO,12
-11.07,1904,Average,Georgia,GEO,1
-2.3342,1904,Average,Georgia,GEO,2
-0.5446,1904,Average,Georgia,GEO,3
3.5590800000000002,1904,Average,Georgia,GEO,4
9.79907,1904,Average,Georgia,GEO,5
13.8811,1904,Average,Georgia,GEO,6
17.8608,1904,Average,Georgia,GEO,7
18.3268,1904,Average,Georgia,GEO,8
13.8198,1904,Average,Georgia,GEO,9
8.53727,1904,Average,Georgia,GEO,10
2.13591,1904,Average,Georgia,GEO,11
-5.0425,1904,Average,Georgia,GEO,12
-8.8848,1905,Average,Georgia,GEO,1
-7.5154,1905,Average,Georgia,GEO,2
-2.0969,1905,Average,Georgia,GEO,3
5.60574,1905,Average,Georgia,GEO,4
10.3672,1905,Average,Georgia,GEO,5
15.2964,1905,Average,Georgia,GEO,6
18.2292,1905,Average,Georgia,GEO,7
17.8237,1905,Average,Georgia,GEO,8
14.5954,1905,Average,Georgia,GEO,9
11.5833,1905,Average,Georgia,GEO,10
4.222119999999999,1905,Average,Georgia,GEO,11
