Temperature - (Celsius),Year,Statistics,Country,ISO3,Month
24.8837,1901,Average,Guinea,GIN,1
27.5991,1901,Average,Guinea,GIN,2
28.5288,1901,Average,Guinea,GIN,3
28.7773,1901,Average,Guinea,GIN,4
27.418000000000003,1901,Average,Guinea,GIN,5
26.2605,1901,Average,Guinea,GIN,6
25.1591,1901,Average,Guinea,GIN,7
24.6037,1901,Average,Guinea,GIN,8
25.4668,1901,Average,Guinea,GIN,9
25.5546,1901,Average,Guinea,GIN,10
25.1433,1901,Average,Guinea,GIN,11
24.4135,1901,Average,Guinea,GIN,12
25.4193,1902,Average,Guinea,GIN,1
27.0634,1902,Average,Guinea,GIN,2
28.0378,1902,Average,Guinea,GIN,3
28.6778,1902,Average,Guinea,GIN,4
28.1026,1902,Average,Guinea,GIN,5
26.7365,1902,Average,Guinea,GIN,6
25.4535,1902,Average,Guinea,GIN,7
25.0599,1902,Average,Guinea,GIN,8
24.7962,1902,Average,Guinea,GIN,9
25.8273,1902,Average,Guinea,GIN,10
25.9704,1902,Average,Guinea,GIN,11
23.8792,1902,Average,Guinea,GIN,12
24.7064,1903,Average,Guinea,GIN,1
27.0234,1903,Average,Guinea,GIN,2
28.4,1903,Average,Guinea,GIN,3
28.553,1903,Average,Guinea,GIN,4
27.8538,1903,Average,Guinea,GIN,5
25.8563,1903,Average,Guinea,GIN,6
24.6902,1903,Average,Guinea,GIN,7
23.9024,1903,Average,Guinea,GIN,8
24.7631,1903,Average,Guinea,GIN,9
26.0791,1903,Average,Guinea,GIN,10
25.4954,1903,Average,Guinea,GIN,11
24.0532,1903,Average,Guinea,GIN,12
24.2019,1904,Average,Guinea,GIN,1
25.8588,1904,Average,Guinea,GIN,2
27.6786,1904,Average,Guinea,GIN,3
28.1229,1904,Average,Guinea,GIN,4
27.7662,1904,Average,Guinea,GIN,5
26.1051,1904,Average,Guinea,GIN,6
24.5864,1904,Average,Guinea,GIN,7
24.1374,1904,Average,Guinea,GIN,8
25.168000000000003,1904,Average,Guinea,GIN,9
25.6854,1904,Average,Guinea,GIN,10
25.7012,1904,Average,Guinea,GIN,11
24.3625,1904,Average,Guinea,GIN,12
24.8317,1905,Average,Guinea,GIN,1
26.2628,1905,Average,Guinea,GIN,2
28.1842,1905,Average,Guinea,GIN,3
28.9748,1905,Average,Guinea,GIN,4
27.8773,1905,Average,Guinea,GIN,5
25.4926,1905,Average,Guinea,GIN,6
24.9557,1905,Average,Guinea,GIN,7
24.2626,1905,Average,Guinea,GIN,8
24.8805,1905,Average,Guinea,GIN,9
25.3308,1905,Average,Guinea,GIN,10
25.3127,1905,Average,Guinea,GIN,11
24.6489,1905,Average,Guinea,GIN,12
25.3097,1906,Average,Guinea,GIN,1
26.6008,1906,Average,Guinea,GIN,2
29.2618,1906,Average,Guinea,GIN,3
29.1464,1906,Average,Guinea,GIN,4
27.6741,1906,Average,Guinea,GIN,5
25.7147,1906,Average,Guinea,GIN,6
24.3452,1906,Average,Guinea,GIN,7
23.865,1906,Average,Guinea,GIN,8
24.8293,1906,Average,Guinea,GIN,9
25.2907,1906,Average,Guinea,GIN,10
25.3693,1906,Average,Guinea,GIN,11
23.358,1906,Average,Guinea,GIN,12
24.2327,1907,Average,Guinea,GIN,1
26.074,1907,Average,Guinea,GIN,2
28.0005,1907,Average,Guinea,GIN,3
28.1411,1907,Average,Guinea,GIN,4
27.2054,1907,Average,Guinea,GIN,5
25.2483,1907,Average,Guinea,GIN,6
24.6144,1907,Average,Guinea,GIN,7
23.8403,1907,Average,Guinea,GIN,8
24.7061,1907,Average,Guinea,GIN,9
25.1559,1907,Average,Guinea,GIN,10
25.498,1907,Average,Guinea,GIN,11
24.1978,1907,Average,Guinea,GIN,12
25.0126,1908,Average,Guinea,GIN,1
26.4248,1908,Average,Guinea,GIN,2
