Temperature - (Celsius),Year,Statistics,Country,ISO3,Month
23.2243,1901,Average,Guadeloupe,GLP,1
23.3499,1901,Average,Guadeloupe,GLP,2
23.364,1901,Average,Guadeloupe,GLP,3
24.1469,1901,Average,Guadeloupe,GLP,4
24.8295,1901,Average,Guadeloupe,GLP,5
25.0897,1901,Average,Guadeloupe,GLP,6
25.1726,1901,Average,Guadeloupe,GLP,7
25.5294,1901,Average,Guadeloupe,GLP,8
25.1034,1901,Average,Guadeloupe,GLP,9
24.511999999999997,1901,Average,Guadeloupe,GLP,10
23.8381,1901,Average,Guadeloupe,GLP,11
22.95,1901,Average,Guadeloupe,GLP,12
22.3813,1902,Average,Guadeloupe,GLP,1
22.8328,1902,Average,Guadeloupe,GLP,2
22.564,1902,Average,Guadeloupe,GLP,3
23.1469,1902,Average,Guadeloupe,GLP,4
24.164,1902,Average,Guadeloupe,GLP,5
24.9156,1902,Average,Guadeloupe,GLP,6
25.1466,1902,Average,Guadeloupe,GLP,7
25.3864,1902,Average,Guadeloupe,GLP,8
24.712,1902,Average,Guadeloupe,GLP,9
24.1036,1902,Average,Guadeloupe,GLP,10
23.8725,1902,Average,Guadeloupe,GLP,11
23.3416,1902,Average,Guadeloupe,GLP,12
22.8898,1903,Average,Guadeloupe,GLP,1
22.7414,1903,Average,Guadeloupe,GLP,2
22.4985,1903,Average,Guadeloupe,GLP,3
23.3553,1903,Average,Guadeloupe,GLP,4
24.6294,1903,Average,Guadeloupe,GLP,5
25.3552,1903,Average,Guadeloupe,GLP,6
25.2811,1903,Average,Guadeloupe,GLP,7
25.095,1903,Average,Guadeloupe,GLP,8
24.712,1903,Average,Guadeloupe,GLP,9
24.480999999999998,1903,Average,Guadeloupe,GLP,10
23.7296,1903,Average,Guadeloupe,GLP,11
23.05,1903,Average,Guadeloupe,GLP,12
22.3898,1904,Average,Guadeloupe,GLP,1
22.0414,1904,Average,Guadeloupe,GLP,2
21.864,1904,Average,Guadeloupe,GLP,3
22.4157,1904,Average,Guadeloupe,GLP,4
23.6984,1904,Average,Guadeloupe,GLP,5
24.4897,1904,Average,Guadeloupe,GLP,6
24.6726,1904,Average,Guadeloupe,GLP,7
24.4639,1904,Average,Guadeloupe,GLP,8
24.4035,1904,Average,Guadeloupe,GLP,9
23.9036,1904,Average,Guadeloupe,GLP,10
24.1381,1904,Average,Guadeloupe,GLP,11
23.1844,1904,Average,Guadeloupe,GLP,12
22.5899,1905,Average,Guadeloupe,GLP,1
21.9414,1905,Average,Guadeloupe,GLP,2
22.1244,1905,Average,Guadeloupe,GLP,3
23.6553,1905,Average,Guadeloupe,GLP,4
23.5984,1905,Average,Guadeloupe,GLP,5
24.8639,1905,Average,Guadeloupe,GLP,6
25.1382,1905,Average,Guadeloupe,GLP,7
25.3294,1905,Average,Guadeloupe,GLP,8
24.8378,1905,Average,Guadeloupe,GLP,9
24.4036,1905,Average,Guadeloupe,GLP,10
24.3381,1905,Average,Guadeloupe,GLP,11
23.0155,1905,Average,Guadeloupe,GLP,12
22.2813,1906,Average,Guadeloupe,GLP,1
22.2414,1906,Average,Guadeloupe,GLP,2
22.3555,1906,Average,Guadeloupe,GLP,3
23.0639,1906,Average,Guadeloupe,GLP,4
24.0382,1906,Average,Guadeloupe,GLP,5
24.4554,1906,Average,Guadeloupe,GLP,6
24.7811,1906,Average,Guadeloupe,GLP,7
25.195,1906,Average,Guadeloupe,GLP,8
24.612,1906,Average,Guadeloupe,GLP,9
24.5035,1906,Average,Guadeloupe,GLP,10
24.2381,1906,Average,Guadeloupe,GLP,11
22.2845,1906,Average,Guadeloupe,GLP,12
21.6243,1907,Average,Guadeloupe,GLP,1
