Temperature - (Celsius),Year,Statistics,Country,ISO3,Month
25.4724,1901,Average,Guyana,GUY,1
25.5389,1901,Average,Guyana,GUY,2
25.6782,1901,Average,Guyana,GUY,3
26.3027,1901,Average,Guyana,GUY,4
26.0569,1901,Average,Guyana,GUY,5
26.1438,1901,Average,Guyana,GUY,6
26.3628,1901,Average,Guyana,GUY,7
26.1791,1901,Average,Guyana,GUY,8
25.8527,1901,Average,Guyana,GUY,9
26.0833,1901,Average,Guyana,GUY,10
26.193,1901,Average,Guyana,GUY,11
25.3823,1901,Average,Guyana,GUY,12
25.0709,1902,Average,Guyana,GUY,1
25.1232,1902,Average,Guyana,GUY,2
25.0546,1902,Average,Guyana,GUY,3
25.9149,1902,Average,Guyana,GUY,4
26.3738,1902,Average,Guyana,GUY,5
26.235,1902,Average,Guyana,GUY,6
25.9011,1902,Average,Guyana,GUY,7
26.2183,1902,Average,Guyana,GUY,8
26.0331,1902,Average,Guyana,GUY,9
25.8951,1902,Average,Guyana,GUY,10
26.5024,1902,Average,Guyana,GUY,11
25.8702,1902,Average,Guyana,GUY,12
25.4368,1903,Average,Guyana,GUY,1
25.3378,1903,Average,Guyana,GUY,2
25.4387,1903,Average,Guyana,GUY,3
25.7915,1903,Average,Guyana,GUY,4
25.386,1903,Average,Guyana,GUY,5
25.8756,1903,Average,Guyana,GUY,6
26.2292,1903,Average,Guyana,GUY,7
25.9724,1903,Average,Guyana,GUY,8
25.816,1903,Average,Guyana,GUY,9
27.1247,1903,Average,Guyana,GUY,10
26.2005,1903,Average,Guyana,GUY,11
25.5302,1903,Average,Guyana,GUY,12
24.8267,1904,Average,Guyana,GUY,1
24.5784,1904,Average,Guyana,GUY,2
24.5568,1904,Average,Guyana,GUY,3
25.3103,1904,Average,Guyana,GUY,4
25.6341,1904,Average,Guyana,GUY,5
25.0064,1904,Average,Guyana,GUY,6
25.8664,1904,Average,Guyana,GUY,7
25.6791,1904,Average,Guyana,GUY,8
26.4483,1904,Average,Guyana,GUY,9
25.9049,1904,Average,Guyana,GUY,10
26.133000000000003,1904,Average,Guyana,GUY,11
25.5094,1904,Average,Guyana,GUY,12
25.9497,1905,Average,Guyana,GUY,1
24.6872,1905,Average,Guyana,GUY,2
25.2715,1905,Average,Guyana,GUY,3
25.7705,1905,Average,Guyana,GUY,4
25.5315,1905,Average,Guyana,GUY,5
25.4545,1905,Average,Guyana,GUY,6
25.7099,1905,Average,Guyana,GUY,7
26.2353,1905,Average,Guyana,GUY,8
26.4844,1905,Average,Guyana,GUY,9
26.2531,1905,Average,Guyana,GUY,10
26.5317,1905,Average,Guyana,GUY,11
24.7922,1905,Average,Guyana,GUY,12
25.0794,1906,Average,Guyana,GUY,1
25.22,1906,Average,Guyana,GUY,2
25.3693,1906,Average,Guyana,GUY,3
25.331,1906,Average,Guyana,GUY,4
25.7532,1906,Average,Guyana,GUY,5
25.1942,1906,Average,Guyana,GUY,6
25.3946,1906,Average,Guyana,GUY,7
25.9848,1906,Average,Guyana,GUY,8
26.0285,1906,Average,Guyana,GUY,9
26.5483,1906,Average,Guyana,GUY,10
26.6449,1906,Average,Guyana,GUY,11
25.4587,1906,Average,Guyana,GUY,12
24.708000000000002,1907,Average,Guyana,GUY,1
24.8056,1907,Average,Guyana,GUY,2
24.5745,1907,Average,Guyana,GUY,3
25.0651,1907,Average,Guyana,GUY,4
25.0407,1907,Average,Guyana,GUY,5
25.1425,1907,Average,Guyana,GUY,6
25.3946,1907,Average,Guyana,GUY,7
25.9678,1907,Average,Guyana,GUY,8
26.1976,1907,Average,Guyana,GUY,9
26.6398,1907,Average,Guyana,GUY,10
26.3248,1907,Average,Guyana,GUY,11
25.4448,1907,Average,Guyana,GUY,12
24.8458,1908,Average,Guyana,GUY,1
24.9947,1908,Average,Guyana,GUY,2
24.8692,1908,Average,Guyana,GUY,3
25.5108,1908,Average,Guyana,GUY,4
25.399,1908,Average,Guyana,GUY,5
25.4615,1908,Average,Guyana,GUY,6
25.2451,1908,Average,Guyana,GUY,7
25.7679,1908,Average,Guyana,GUY,8
26.3032,1908,Average,Guyana,GUY,9
26.3605,1908,Average,Guyana,GUY,10
25.9725,1908,Average,Guyana,GUY,11
26.4321,1908,Average,Guyana,GUY,12
24.927,1909,Average,Guyana,GUY,1
24.6625,1909,Average,Guyana,GUY,2
25.2888,1909,Average,Guyana,GUY,3
25.6444,1909,Average,Guyana,GUY,4
25.4454,1909,Average,Guyana,GUY,5
25.2739,1909,Average,Guyana,GUY,6
25.3619,1909,Average,Guyana,GUY,7
25.8029,1909,Average,Guyana,GUY,8
26.0041,1909,Average,Guyana,GUY,9
26.3654,1909,Average,Guyana,GUY,10
26.8615,1909,Average,Guyana,GUY,11
25.338,1909,Average,Guyana,GUY,12
24.9025,1910,Average,Guyana,GUY,1
25.0425,1910,Average,Guyana,GUY,2
25.0997,1910,Average,Guyana,GUY,3
25.2817,1910,Average,Guyana,GUY,4
25.7796,1910,Average,Guyana,GUY,5
25.5361,1910,Average,Guyana,GUY,6
25.6129,1910,Average,Guyana,GUY,7
26.0921,1910,Average,Guyana,GUY,8
25.9005,1910,Average,Guyana,GUY,9
25.7012,1910,Average,Guyana,GUY,10
26.4921,1910,Average,Guyana,GUY,11
26.0966,1910,Average,Guyana,GUY,12
24.723000000000003,1911,Average,Guyana,GUY,1
24.7739,1911,Average,Guyana,GUY,2
25.4398,1911,Average,Guyana,GUY,3
25.4665,1911,Average,Guyana,GUY,4
25.5146,1911,Average,Guyana,GUY,5
25.3097,1911,Average,Guyana,GUY,6
25.0655,1911,Average,Guyana,GUY,7
25.8054,1911,Average,Guyana,GUY,8
26.2732,1911,Average,Guyana,GUY,9
26.2985,1911,Average,Guyana,GUY,10
26.4076,1911,Average,Guyana,GUY,11
25.5786,1911,Average,Guyana,GUY,12
25.6769,1912,Average,Guyana,GUY,1
25.8136,1912,Average,Guyana,GUY,2
25.8686,1912,Average,Guyana,GUY,3
26.1929,1912,Average,Guyana,GUY,4
25.8142,1912,Average,Guyana,GUY,5
25.473000000000003,1912,Average,Guyana,GUY,6
25.4355,1912,Average,Guyana,GUY,7
25.9252,1912,Average,Guyana,GUY,8
25.9471,1912,Average,Guyana,GUY,9
26.6785,1912,Average,Guyana,GUY,10
26.3988,1912,Average,Guyana,GUY,11
25.6489,1912,Average,Guyana,GUY,12
24.6359,1913,Average,Guyana,GUY,1
25.6853,1913,Average,Guyana,GUY,2
25.0482,1913,Average,Guyana,GUY,3
25.8505,1913,Average,Guyana,GUY,4
25.9179,1913,Average,Guyana,GUY,5
25.4639,1913,Average,Guyana,GUY,6
24.8481,1913,Average,Guyana,GUY,7
