Temperature - (Celsius),Year,Statistics,Country,ISO3,Month
17.6285,1901,Average,Hong Kong,HKG,1
12.5848,1901,Average,Hong Kong,HKG,2
17.6966,1901,Average,Hong Kong,HKG,3
22.7335,1901,Average,Hong Kong,HKG,4
25.5015,1901,Average,Hong Kong,HKG,5
27.2991,1901,Average,Hong Kong,HKG,6
28.1328,1901,Average,Hong Kong,HKG,7
27.4669,1901,Average,Hong Kong,HKG,8
26.6817,1901,Average,Hong Kong,HKG,9
24.4528,1901,Average,Hong Kong,HKG,10
20.0718,1901,Average,Hong Kong,HKG,11
15.6644,1901,Average,Hong Kong,HKG,12
16.4285,1902,Average,Hong Kong,HKG,1
14.5969,1902,Average,Hong Kong,HKG,2
20.1456,1902,Average,Hong Kong,HKG,3
23.0158,1902,Average,Hong Kong,HKG,4
26.3867,1902,Average,Hong Kong,HKG,5
26.7985,1902,Average,Hong Kong,HKG,6
27.9352,1902,Average,Hong Kong,HKG,7
28.1012,1902,Average,Hong Kong,HKG,8
26.8136,1902,Average,Hong Kong,HKG,9
24.2056,1902,Average,Hong Kong,HKG,10
21.5158,1902,Average,Hong Kong,HKG,11
17.3107,1902,Average,Hong Kong,HKG,12
14.2506,1903,Average,Hong Kong,HKG,1
14.2572,1903,Average,Hong Kong,HKG,2
19.5634,1903,Average,Hong Kong,HKG,3
22.6306,1903,Average,Hong Kong,HKG,4
24.7048,1903,Average,Hong Kong,HKG,5
27.4394,1903,Average,Hong Kong,HKG,6
27.8351,1903,Average,Hong Kong,HKG,7
27.4243,1903,Average,Hong Kong,HKG,8
26.3058,1903,Average,Hong Kong,HKG,9
24.2166,1903,Average,Hong Kong,HKG,10
19.1128,1903,Average,Hong Kong,HKG,11
15.3573,1903,Average,Hong Kong,HKG,12
14.6734,1904,Average,Hong Kong,HKG,1
16.1723,1904,Average,Hong Kong,HKG,2
17.5563,1904,Average,Hong Kong,HKG,3
22.0339,1904,Average,Hong Kong,HKG,4
24.7615,1904,Average,Hong Kong,HKG,5
26.6203,1904,Average,Hong Kong,HKG,6
27.4889,1904,Average,Hong Kong,HKG,7
27.3253,1904,Average,Hong Kong,HKG,8
26.9035,1904,Average,Hong Kong,HKG,9
24.4196,1904,Average,Hong Kong,HKG,10
19.6825,1904,Average,Hong Kong,HKG,11
15.0644,1904,Average,Hong Kong,HKG,12
17.3381,1905,Average,Hong Kong,HKG,1
13.2569,1905,Average,Hong Kong,HKG,2
15.8199,1905,Average,Hong Kong,HKG,3
20.5879,1905,Average,Hong Kong,HKG,4
26.0877,1905,Average,Hong Kong,HKG,5
27.3886,1905,Average,Hong Kong,HKG,6
28.0226,1905,Average,Hong Kong,HKG,7
27.9693,1905,Average,Hong Kong,HKG,8
27.046,1905,Average,Hong Kong,HKG,9
24.3296,1905,Average,Hong Kong,HKG,10
20.0043,1905,Average,Hong Kong,HKG,11
17.8312,1905,Average,Hong Kong,HKG,12
14.5506,1906,Average,Hong Kong,HKG,1
15.5231,1906,Average,Hong Kong,HKG,2
16.9426,1906,Average,Hong Kong,HKG,3
21.6547,1906,Average,Hong Kong,HKG,4
25.5794,1906,Average,Hong Kong,HKG,5
28.139,1906,Average,Hong Kong,HKG,6
28.2912,1906,Average,Hong Kong,HKG,7
28.6989,1906,Average,Hong Kong,HKG,8
27.4923,1906,Average,Hong Kong,HKG,9
23.8162,1906,Average,Hong Kong,HKG,10
19.2913,1906,Average,Hong Kong,HKG,11
16.7892,1906,Average,Hong Kong,HKG,12
15.7526,1907,Average,Hong Kong,HKG,1
14.7404,1907,Average,Hong Kong,HKG,2
17.9553,1907,Average,Hong Kong,HKG,3
21.1096,1907,Average,Hong Kong,HKG,4
24.8884,1907,Average,Hong Kong,HKG,5
26.4998,1907,Average,Hong Kong,HKG,6
27.9224,1907,Average,Hong Kong,HKG,7
28.2048,1907,Average,Hong Kong,HKG,8
27.1058,1907,Average,Hong Kong,HKG,9
25.8135,1907,Average,Hong Kong,HKG,10
21.484,1907,Average,Hong Kong,HKG,11
15.9691,1907,Average,Hong Kong,HKG,12
16.0593,1908,Average,Hong Kong,HKG,1
