Temperature - (Celsius),Year,Statistics,Country,ISO3,Month
25.6515,1901,Average,Indonesia,IDN,1
25.1426,1901,Average,Indonesia,IDN,2
25.8091,1901,Average,Indonesia,IDN,3
25.7992,1901,Average,Indonesia,IDN,4
26.2116,1901,Average,Indonesia,IDN,5
25.397,1901,Average,Indonesia,IDN,6
25.3541,1901,Average,Indonesia,IDN,7
24.8615,1901,Average,Indonesia,IDN,8
25.1059,1901,Average,Indonesia,IDN,9
25.7462,1901,Average,Indonesia,IDN,10
26.1062,1901,Average,Indonesia,IDN,11
25.383000000000003,1901,Average,Indonesia,IDN,12
25.1595,1902,Average,Indonesia,IDN,1
25.0648,1902,Average,Indonesia,IDN,2
25.4933,1902,Average,Indonesia,IDN,3
25.737,1902,Average,Indonesia,IDN,4
26.2487,1902,Average,Indonesia,IDN,5
25.3682,1902,Average,Indonesia,IDN,6
24.9485,1902,Average,Indonesia,IDN,7
25.0919,1902,Average,Indonesia,IDN,8
25.1411,1902,Average,Indonesia,IDN,9
25.7553,1902,Average,Indonesia,IDN,10
26.0977,1902,Average,Indonesia,IDN,11
25.6632,1902,Average,Indonesia,IDN,12
26.0,1903,Average,Indonesia,IDN,1
25.354,1903,Average,Indonesia,IDN,2
25.7773,1903,Average,Indonesia,IDN,3
25.636,1903,Average,Indonesia,IDN,4
26.2122,1903,Average,Indonesia,IDN,5
25.2157,1903,Average,Indonesia,IDN,6
24.9817,1903,Average,Indonesia,IDN,7
25.0985,1903,Average,Indonesia,IDN,8
25.2067,1903,Average,Indonesia,IDN,9
25.2048,1903,Average,Indonesia,IDN,10
25.9668,1903,Average,Indonesia,IDN,11
25.0135,1903,Average,Indonesia,IDN,12
24.924,1904,Average,Indonesia,IDN,1
24.7365,1904,Average,Indonesia,IDN,2
25.7996,1904,Average,Indonesia,IDN,3
25.0839,1904,Average,Indonesia,IDN,4
26.0456,1904,Average,Indonesia,IDN,5
25.4791,1904,Average,Indonesia,IDN,6
25.2926,1904,Average,Indonesia,IDN,7
24.5871,1904,Average,Indonesia,IDN,8
25.5941,1904,Average,Indonesia,IDN,9
25.0578,1904,Average,Indonesia,IDN,10
25.7973,1904,Average,Indonesia,IDN,11
25.1697,1904,Average,Indonesia,IDN,12
25.3743,1905,Average,Indonesia,IDN,1
25.0592,1905,Average,Indonesia,IDN,2
25.7914,1905,Average,Indonesia,IDN,3
25.55,1905,Average,Indonesia,IDN,4
26.2233,1905,Average,Indonesia,IDN,5
25.6557,1905,Average,Indonesia,IDN,6
25.0392,1905,Average,Indonesia,IDN,7
24.8467,1905,Average,Indonesia,IDN,8
25.1518,1905,Average,Indonesia,IDN,9
25.8007,1905,Average,Indonesia,IDN,10
25.9525,1905,Average,Indonesia,IDN,11
25.956,1905,Average,Indonesia,IDN,12
25.8904,1906,Average,Indonesia,IDN,1
26.0507,1906,Average,Indonesia,IDN,2
25.7954,1906,Average,Indonesia,IDN,3
25.8951,1906,Average,Indonesia,IDN,4
26.3944,1906,Average,Indonesia,IDN,5
25.541999999999998,1906,Average,Indonesia,IDN,6
25.1419,1906,Average,Indonesia,IDN,7
24.9949,1906,Average,Indonesia,IDN,8
25.1415,1906,Average,Indonesia,IDN,9
25.1746,1906,Average,Indonesia,IDN,10
25.8607,1906,Average,Indonesia,IDN,11
25.3068,1906,Average,Indonesia,IDN,12
25.1599,1907,Average,Indonesia,IDN,1
25.0644,1907,Average,Indonesia,IDN,2
25.2028,1907,Average,Indonesia,IDN,3
25.4482,1907,Average,Indonesia,IDN,4
26.0617,1907,Average,Indonesia,IDN,5
25.1672,1907,Average,Indonesia,IDN,6
24.79,1907,Average,Indonesia,IDN,7
24.7528,1907,Average,Indonesia,IDN,8
25.5133,1907,Average,Indonesia,IDN,9
25.3757,1907,Average,Indonesia,IDN,10
25.9727,1907,Average,Indonesia,IDN,11
25.2391,1907,Average,Indonesia,IDN,12
25.4415,1908,Average,Indonesia,IDN,1
25.3532,1908,Average,Indonesia,IDN,2
25.6086,1908,Average,Indonesia,IDN,3
25.7145,1908,Average,Indonesia,IDN,4
26.0953,1908,Average,Indonesia,IDN,5
24.9695,1908,Average,Indonesia,IDN,6
25.3165,1908,Average,Indonesia,IDN,7
25.0336,1908,Average,Indonesia,IDN,8
25.6438,1908,Average,Indonesia,IDN,9
25.2196,1908,Average,Indonesia,IDN,10
25.9364,1908,Average,Indonesia,IDN,11
25.3392,1908,Average,Indonesia,IDN,12
25.6004,1909,Average,Indonesia,IDN,1
25.4715,1909,Average,Indonesia,IDN,2
25.4826,1909,Average,Indonesia,IDN,3
25.6339,1909,Average,Indonesia,IDN,4
26.1935,1909,Average,Indonesia,IDN,5
25.8992,1909,Average,Indonesia,IDN,6
25.0045,1909,Average,Indonesia,IDN,7
25.2967,1909,Average,Indonesia,IDN,8
25.121,1909,Average,Indonesia,IDN,9
25.4457,1909,Average,Indonesia,IDN,10
25.9237,1909,Average,Indonesia,IDN,11
25.2413,1909,Average,Indonesia,IDN,12
25.5279,1910,Average,Indonesia,IDN,1
25.3926,1910,Average,Indonesia,IDN,2
25.3385,1910,Average,Indonesia,IDN,3
25.3172,1910,Average,Indonesia,IDN,4
26.1433,1910,Average,Indonesia,IDN,5
