Temperature - (Celsius),Year,Statistics,Country,ISO3,Month
16.2337,1901,Average,India,IND,1
18.1292,1901,Average,India,IND,2
23.3869,1901,Average,India,IND,3
27.4298,1901,Average,India,IND,4
29.7121,1901,Average,India,IND,5
30.1526,1901,Average,India,IND,6
27.5394,1901,Average,India,IND,7
26.1974,1901,Average,India,IND,8
26.2971,1901,Average,India,IND,9
25.2159,1901,Average,India,IND,10
20.6131,1901,Average,India,IND,11
17.4976,1901,Average,India,IND,12
17.8293,1902,Average,India,IND,1
19.4771,1902,Average,India,IND,2
24.7868,1902,Average,India,IND,3
27.8089,1902,Average,India,IND,4
30.1774,1902,Average,India,IND,5
29.7199,1902,Average,India,IND,6
27.3214,1902,Average,India,IND,7
27.0636,1902,Average,India,IND,8
25.8856,1902,Average,India,IND,9
24.3879,1902,Average,India,IND,10
20.0777,1902,Average,India,IND,11
16.9854,1902,Average,India,IND,12
16.9786,1903,Average,India,IND,1
18.371,1903,Average,India,IND,2
22.5593,1903,Average,India,IND,3
27.0279,1903,Average,India,IND,4
29.3773,1903,Average,India,IND,5
30.0555,1903,Average,India,IND,6
27.7137,1903,Average,India,IND,7
26.2918,1903,Average,India,IND,8
26.154,1903,Average,India,IND,9
24.1921,1903,Average,India,IND,10
19.5321,1903,Average,India,IND,11
16.5969,1903,Average,India,IND,12
16.7579,1904,Average,India,IND,1
18.9178,1904,Average,India,IND,2
22.97,1904,Average,India,IND,3
28.0257,1904,Average,India,IND,4
29.4679,1904,Average,India,IND,5
28.8645,1904,Average,India,IND,6
26.5548,1904,Average,India,IND,7
26.2601,1904,Average,India,IND,8
25.9469,1904,Average,India,IND,9
24.4625,1904,Average,India,IND,10
19.9134,1904,Average,India,IND,11
17.301,1904,Average,India,IND,12
15.8504,1905,Average,India,IND,1
16.7396,1905,Average,India,IND,2
21.5774,1905,Average,India,IND,3
25.5911,1905,Average,India,IND,4
30.1248,1905,Average,India,IND,5
30.4,1905,Average,India,IND,6
27.3008,1905,Average,India,IND,7
26.6781,1905,Average,India,IND,8
