Temperature - (Celsius),Year,Statistics,Country,ISO3,Month
9.6809,1901,Average,Israel,ISR,1
15.0439,1901,Average,Israel,ISR,2
16.7962,1901,Average,Israel,ISR,3
18.0111,1901,Average,Israel,ISR,4
18.8765,1901,Average,Israel,ISR,5
23.5389,1901,Average,Israel,ISR,6
25.5567,1901,Average,Israel,ISR,7
25.6856,1901,Average,Israel,ISR,8
23.7432,1901,Average,Israel,ISR,9
21.5301,1901,Average,Israel,ISR,10
16.531,1901,Average,Israel,ISR,11
13.3679,1901,Average,Israel,ISR,12
10.0242,1902,Average,Israel,ISR,1
14.1902,1902,Average,Israel,ISR,2
12.7974,1902,Average,Israel,ISR,3
17.1043,1902,Average,Israel,ISR,4
20.976,1902,Average,Israel,ISR,5
22.7877,1902,Average,Israel,ISR,6
25.5029,1902,Average,Israel,ISR,7
25.5429,1902,Average,Israel,ISR,8
25.9377,1902,Average,Israel,ISR,9
22.3779,1902,Average,Israel,ISR,10
15.7196,1902,Average,Israel,ISR,11
11.3504,1902,Average,Israel,ISR,12
9.24267,1903,Average,Israel,ISR,1
10.0524,1903,Average,Israel,ISR,2
12.072000000000001,1903,Average,Israel,ISR,3
17.4162,1903,Average,Israel,ISR,4
21.1017,1903,Average,Israel,ISR,5
22.0048,1903,Average,Israel,ISR,6
23.6119,1903,Average,Israel,ISR,7
24.8841,1903,Average,Israel,ISR,8
22.6915,1903,Average,Israel,ISR,9
20.069000000000003,1903,Average,Israel,ISR,10
15.0211,1903,Average,Israel,ISR,11
12.5436,1903,Average,Israel,ISR,12
10.8972,1904,Average,Israel,ISR,1
12.3502,1904,Average,Israel,ISR,2
13.6429,1904,Average,Israel,ISR,3
16.3748,1904,Average,Israel,ISR,4
19.6459,1904,Average,Israel,ISR,5
22.6087,1904,Average,Israel,ISR,6
24.2047,1904,Average,Israel,ISR,7
25.5187,1904,Average,Israel,ISR,8
23.6562,1904,Average,Israel,ISR,9
22.798000000000002,1904,Average,Israel,ISR,10
15.8748,1904,Average,Israel,ISR,11
10.4301,1904,Average,Israel,ISR,12
8.51902,1905,Average,Israel,ISR,1
8.839080000000001,1905,Average,Israel,ISR,2
11.9803,1905,Average,Israel,ISR,3
17.5802,1905,Average,Israel,ISR,4
21.2346,1905,Average,Israel,ISR,5
22.8988,1905,Average,Israel,ISR,6
25.8931,1905,Average,Israel,ISR,7
26.3712,1905,Average,Israel,ISR,8
25.2396,1905,Average,Israel,ISR,9
22.7285,1905,Average,Israel,ISR,10
18.2815,1905,Average,Israel,ISR,11
10.7118,1905,Average,Israel,ISR,12
10.0981,1906,Average,Israel,ISR,1
11.4816,1906,Average,Israel,ISR,2
13.6146,1906,Average,Israel,ISR,3
17.1669,1906,Average,Israel,ISR,4
19.4513,1906,Average,Israel,ISR,5
24.0364,1906,Average,Israel,ISR,6
25.4247,1906,Average,Israel,ISR,7
26.1283,1906,Average,Israel,ISR,8
23.7675,1906,Average,Israel,ISR,9
21.7582,1906,Average,Israel,ISR,10
16.9108,1906,Average,Israel,ISR,11
13.8318,1906,Average,Israel,ISR,12
9.97578,1907,Average,Israel,ISR,1
11.1591,1907,Average,Israel,ISR,2
11.6345,1907,Average,Israel,ISR,3
16.5927,1907,Average,Israel,ISR,4
20.5165,1907,Average,Israel,ISR,5
22.8523,1907,Average,Israel,ISR,6
25.6163,1907,Average,Israel,ISR,7
25.7682,1907,Average,Israel,ISR,8
23.0226,1907,Average,Israel,ISR,9
21.0823,1907,Average,Israel,ISR,10
14.8666,1907,Average,Israel,ISR,11
12.2105,1907,Average,Israel,ISR,12
10.1955,1908,Average,Israel,ISR,1
10.8914,1908,Average,Israel,ISR,2
13.4559,1908,Average,Israel,ISR,3
17.0809,1908,Average,Israel,ISR,4
21.5791,1908,Average,Israel,ISR,5
23.6696,1908,Average,Israel,ISR,6
24.5748,1908,Average,Israel,ISR,7
25.3556,1908,Average,Israel,ISR,8
23.6259,1908,Average,Israel,ISR,9
21.1415,1908,Average,Israel,ISR,10
15.1433,1908,Average,Israel,ISR,11
10.2089,1908,Average,Israel,ISR,12
10.3204,1909,Average,Israel,ISR,1
11.3579,1909,Average,Israel,ISR,2
15.7004,1909,Average,Israel,ISR,3
15.5215,1909,Average,Israel,ISR,4
24.0325,1909,Average,Israel,ISR,5
24.0877,1909,Average,Israel,ISR,6
26.5913,1909,Average,Israel,ISR,7
26.7655,1909,Average,Israel,ISR,8
24.5309,1909,Average,Israel,ISR,9
21.4494,1909,Average,Israel,ISR,10
17.5404,1909,Average,Israel,ISR,11
14.0781,1909,Average,Israel,ISR,12
10.1031,1910,Average,Israel,ISR,1
12.2859,1910,Average,Israel,ISR,2
10.6264,1910,Average,Israel,ISR,3
18.064,1910,Average,Israel,ISR,4
20.5471,1910,Average,Israel,ISR,5
22.9539,1910,Average,Israel,ISR,6
25.4355,1910,Average,Israel,ISR,7
26.3502,1910,Average,Israel,ISR,8
24.3072,1910,Average,Israel,ISR,9
20.1394,1910,Average,Israel,ISR,10
16.1779,1910,Average,Israel,ISR,11
10.7827,1910,Average,Israel,ISR,12
9.066189999999999,1911,Average,Israel,ISR,1
8.82175,1911,Average,Israel,ISR,2
11.5987,1911,Average,Israel,ISR,3
16.6794,1911,Average,Israel,ISR,4
20.5345,1911,Average,Israel,ISR,5
23.164,1911,Average,Israel,ISR,6
25.4143,1911,Average,Israel,ISR,7
25.8135,1911,Average,Israel,ISR,8
23.489,1911,Average,Israel,ISR,9
21.9902,1911,Average,Israel,ISR,10
16.8639,1911,Average,Israel,ISR,11
12.2511,1911,Average,Israel,ISR,12
9.634780000000001,1912,Average,Israel,ISR,1
12.4968,1912,Average,Israel,ISR,2
13.6502,1912,Average,Israel,ISR,3
17.5295,1912,Average,Israel,ISR,4
19.2479,1912,Average,Israel,ISR,5
23.4572,1912,Average,Israel,ISR,6
24.9587,1912,Average,Israel,ISR,7
25.9349,1912,Average,Israel,ISR,8
23.7669,1912,Average,Israel,ISR,9
21.8218,1912,Average,Israel,ISR,10
16.5629,1912,Average,Israel,ISR,11
11.366,1912,Average,Israel,ISR,12
10.7214,1913,Average,Israel,ISR,1
11.0474,1913,Average,Israel,ISR,2
13.5821,1913,Average,Israel,ISR,3
16.5025,1913,Average,Israel,ISR,4
20.3217,1913,Average,Israel,ISR,5
23.0005,1913,Average,Israel,ISR,6
25.2662,1913,Average,Israel,ISR,7
25.9621,1913,Average,Israel,ISR,8
25.2239,1913,Average,Israel,ISR,9
22.5972,1913,Average,Israel,ISR,10
16.1144,1913,Average,Israel,ISR,11
11.2351,1913,Average,Israel,ISR,12
10.7943,1914,Average,Israel,ISR,1
11.6789,1914,Average,Israel,ISR,2
14.8974,1914,Average,Israel,ISR,3
15.6813,1914,Average,Israel,ISR,4
21.4802,1914,Average,Israel,ISR,5
24.045,1914,Average,Israel,ISR,6
25.5421,1914,Average,Israel,ISR,7
26.7216,1914,Average,Israel,ISR,8
25.268,1914,Average,Israel,ISR,9
21.1459,1914,Average,Israel,ISR,10
16.605999999999998,1914,Average,Israel,ISR,11
12.6073,1914,Average,Israel,ISR,12
12.1706,1915,Average,Israel,ISR,1
12.5435,1915,Average,Israel,ISR,2
14.6321,1915,Average,Israel,ISR,3
17.3646,1915,Average,Israel,ISR,4
21.0393,1915,Average,Israel,ISR,5
25.0604,1915,Average,Israel,ISR,6
26.6282,1915,Average,Israel,ISR,7
26.8114,1915,Average,Israel,ISR,8
25.1279,1915,Average,Israel,ISR,9
22.5287,1915,Average,Israel,ISR,10
