Temperature - (Celsius),Year,Statistics,Country,ISO3,Month
25.1685,1901,Average,Kenya,KEN,1
24.7775,1901,Average,Kenya,KEN,2
25.9808,1901,Average,Kenya,KEN,3
24.9167,1901,Average,Kenya,KEN,4
23.9371,1901,Average,Kenya,KEN,5
22.6962,1901,Average,Kenya,KEN,6
21.9752,1901,Average,Kenya,KEN,7
22.5864,1901,Average,Kenya,KEN,8
23.5112,1901,Average,Kenya,KEN,9
24.7065,1901,Average,Kenya,KEN,10
24.643,1901,Average,Kenya,KEN,11
25.2039,1901,Average,Kenya,KEN,12
24.6807,1902,Average,Kenya,KEN,1
25.2697,1902,Average,Kenya,KEN,2
25.7819,1902,Average,Kenya,KEN,3
24.6132,1902,Average,Kenya,KEN,4
24.2215,1902,Average,Kenya,KEN,5
23.9962,1902,Average,Kenya,KEN,6
23.7272,1902,Average,Kenya,KEN,7
24.2342,1902,Average,Kenya,KEN,8
24.5533,1902,Average,Kenya,KEN,9
24.8773,1902,Average,Kenya,KEN,10
24.5028,1902,Average,Kenya,KEN,11
24.0245,1902,Average,Kenya,KEN,12
25.4736,1903,Average,Kenya,KEN,1
25.7303,1903,Average,Kenya,KEN,2
25.9552,1903,Average,Kenya,KEN,3
25.2345,1903,Average,Kenya,KEN,4
24.2102,1903,Average,Kenya,KEN,5
23.7523,1903,Average,Kenya,KEN,6
23.2665,1903,Average,Kenya,KEN,7
23.5218,1903,Average,Kenya,KEN,8
23.631999999999998,1903,Average,Kenya,KEN,9
24.3789,1903,Average,Kenya,KEN,10
24.3758,1903,Average,Kenya,KEN,11
24.1401,1903,Average,Kenya,KEN,12
23.7092,1904,Average,Kenya,KEN,1
24.555999999999997,1904,Average,Kenya,KEN,2
25.1516,1904,Average,Kenya,KEN,3
24.1243,1904,Average,Kenya,KEN,4
23.9924,1904,Average,Kenya,KEN,5
23.4173,1904,Average,Kenya,KEN,6
23.105999999999998,1904,Average,Kenya,KEN,7
23.3337,1904,Average,Kenya,KEN,8
23.1251,1904,Average,Kenya,KEN,9
23.0145,1904,Average,Kenya,KEN,10
23.3845,1904,Average,Kenya,KEN,11
23.4189,1904,Average,Kenya,KEN,12
24.8395,1905,Average,Kenya,KEN,1
24.2558,1905,Average,Kenya,KEN,2
24.9886,1905,Average,Kenya,KEN,3
24.3429,1905,Average,Kenya,KEN,4
23.4358,1905,Average,Kenya,KEN,5
23.064,1905,Average,Kenya,KEN,6
22.3885,1905,Average,Kenya,KEN,7
22.6113,1905,Average,Kenya,KEN,8
23.5631,1905,Average,Kenya,KEN,9
24.7143,1905,Average,Kenya,KEN,10
24.0243,1905,Average,Kenya,KEN,11
23.8562,1905,Average,Kenya,KEN,12
23.3737,1906,Average,Kenya,KEN,1
25.5723,1906,Average,Kenya,KEN,2
24.8884,1906,Average,Kenya,KEN,3
24.0691,1906,Average,Kenya,KEN,4
23.6203,1906,Average,Kenya,KEN,5
22.5349,1906,Average,Kenya,KEN,6
21.5637,1906,Average,Kenya,KEN,7
22.1781,1906,Average,Kenya,KEN,8
23.0917,1906,Average,Kenya,KEN,9
24.3827,1906,Average,Kenya,KEN,10
23.6224,1906,Average,Kenya,KEN,11
23.6287,1906,Average,Kenya,KEN,12
23.805999999999997,1907,Average,Kenya,KEN,1
24.2789,1907,Average,Kenya,KEN,2
25.2579,1907,Average,Kenya,KEN,3
24.7427,1907,Average,Kenya,KEN,4
23.5402,1907,Average,Kenya,KEN,5
22.405,1907,Average,Kenya,KEN,6
21.9531,1907,Average,Kenya,KEN,7
21.7086,1907,Average,Kenya,KEN,8
23.2462,1907,Average,Kenya,KEN,9
24.8063,1907,Average,Kenya,KEN,10
24.213,1907,Average,Kenya,KEN,11
23.6588,1907,Average,Kenya,KEN,12
24.828000000000003,1908,Average,Kenya,KEN,1
25.5112,1908,Average,Kenya,KEN,2
25.9393,1908,Average,Kenya,KEN,3
25.804000000000002,1908,Average,Kenya,KEN,4
24.4136,1908,Average,Kenya,KEN,5
23.6506,1908,Average,Kenya,KEN,6
23.0529,1908,Average,Kenya,KEN,7
23.8571,1908,Average,Kenya,KEN,8
23.9964,1908,Average,Kenya,KEN,9
25.9992,1908,Average,Kenya,KEN,10
24.0165,1908,Average,Kenya,KEN,11
23.168000000000003,1908,Average,Kenya,KEN,12
22.6694,1909,Average,Kenya,KEN,1
22.9273,1909,Average,Kenya,KEN,2
24.6652,1909,Average,Kenya,KEN,3
24.0394,1909,Average,Kenya,KEN,4
23.441999999999997,1909,Average,Kenya,KEN,5
21.6256,1909,Average,Kenya,KEN,6
21.962,1909,Average,Kenya,KEN,7
21.5803,1909,Average,Kenya,KEN,8
22.8203,1909,Average,Kenya,KEN,9
23.8655,1909,Average,Kenya,KEN,10
22.6752,1909,Average,Kenya,KEN,11
22.6898,1909,Average,Kenya,KEN,12
23.1475,1910,Average,Kenya,KEN,1
23.6183,1910,Average,Kenya,KEN,2
24.5489,1910,Average,Kenya,KEN,3
24.334,1910,Average,Kenya,KEN,4
22.2456,1910,Average,Kenya,KEN,5
23.2074,1910,Average,Kenya,KEN,6
21.3315,1910,Average,Kenya,KEN,7
21.8507,1910,Average,Kenya,KEN,8
21.8077,1910,Average,Kenya,KEN,9
22.8121,1910,Average,Kenya,KEN,10
22.9728,1910,Average,Kenya,KEN,11
24.837,1910,Average,Kenya,KEN,12
24.0367,1911,Average,Kenya,KEN,1
24.506,1911,Average,Kenya,KEN,2
25.0786,1911,Average,Kenya,KEN,3
23.6804,1911,Average,Kenya,KEN,4
23.4149,1911,Average,Kenya,KEN,5
22.5109,1911,Average,Kenya,KEN,6
21.0382,1911,Average,Kenya,KEN,7
