Temperature - (Celsius),Year,Statistics,Country,ISO3,Month
-1.5142,1901,Average,Korea (the Republic of),KOR,1
-4.1384,1901,Average,Korea (the Republic of),KOR,2
2.42486,1901,Average,Korea (the Republic of),KOR,3
10.1111,1901,Average,Korea (the Republic of),KOR,4
14.0135,1901,Average,Korea (the Republic of),KOR,5
18.9166,1901,Average,Korea (the Republic of),KOR,6
20.8477,1901,Average,Korea (the Republic of),KOR,7
23.2861,1901,Average,Korea (the Republic of),KOR,8
17.8684,1901,Average,Korea (the Republic of),KOR,9
13.2048,1901,Average,Korea (the Republic of),KOR,10
4.679180000000001,1901,Average,Korea (the Republic of),KOR,11
-2.3056,1901,Average,Korea (the Republic of),KOR,12
-3.2312,1902,Average,Korea (the Republic of),KOR,1
-2.0392,1902,Average,Korea (the Republic of),KOR,2
4.89801,1902,Average,Korea (the Republic of),KOR,3
8.81762,1902,Average,Korea (the Republic of),KOR,4
14.6501,1902,Average,Korea (the Republic of),KOR,5
18.6453,1902,Average,Korea (the Republic of),KOR,6
21.6279,1902,Average,Korea (the Republic of),KOR,7
22.0384,1902,Average,Korea (the Republic of),KOR,8
17.6417,1902,Average,Korea (the Republic of),KOR,9
12.335999999999999,1902,Average,Korea (the Republic of),KOR,10
7.3884300000000005,1902,Average,Korea (the Republic of),KOR,11
1.47143,1902,Average,Korea (the Republic of),KOR,12
-2.4468,1903,Average,Korea (the Republic of),KOR,1
-1.1581,1903,Average,Korea (the Republic of),KOR,2
4.89801,1903,Average,Korea (the Republic of),KOR,3
10.1934,1903,Average,Korea (the Republic of),KOR,4
14.2733,1903,Average,Korea (the Republic of),KOR,5
18.6638,1903,Average,Korea (the Republic of),KOR,6
21.2627,1903,Average,Korea (the Republic of),KOR,7
23.9505,1903,Average,Korea (the Republic of),KOR,8
19.5249,1903,Average,Korea (the Republic of),KOR,9
12.2717,1903,Average,Korea (the Republic of),KOR,10
4.47163,1903,Average,Korea (the Republic of),KOR,11
-2.2219,1903,Average,Korea (the Republic of),KOR,12
-4.6202,1904,Average,Korea (the Republic of),KOR,1
-1.0075,1904,Average,Korea (the Republic of),KOR,2
3.13076,1904,Average,Korea (the Republic of),KOR,3
10.4002,1904,Average,Korea (the Republic of),KOR,4
14.2956,1904,Average,Korea (the Republic of),KOR,5
19.8378,1904,Average,Korea (the Republic of),KOR,6
23.1737,1904,Average,Korea (the Republic of),KOR,7
23.5295,1904,Average,Korea (the Republic of),KOR,8
17.87,1904,Average,Korea (the Republic of),KOR,9
11.8224,1904,Average,Korea (the Republic of),KOR,10
3.9950699999999997,1904,Average,Korea (the Republic of),KOR,11
-0.4061,1904,Average,Korea (the Republic of),KOR,12
-0.3563,1905,Average,Korea (the Republic of),KOR,1
-2.7421,1905,Average,Korea (the Republic of),KOR,2
3.3992,1905,Average,Korea (the Republic of),KOR,3
8.57305,1905,Average,Korea (the Republic of),KOR,4
14.343,1905,Average,Korea (the Republic of),KOR,5
19.0845,1905,Average,Korea (the Republic of),KOR,6
22.9481,1905,Average,Korea (the Republic of),KOR,7
21.885,1905,Average,Korea (the Republic of),KOR,8
