Temperature - (Celsius),Year,Statistics,Country,ISO3,Month
19.0396,1901,Average,Mali,MLI,1
23.908,1901,Average,Mali,MLI,2
25.8724,1901,Average,Mali,MLI,3
29.9306,1901,Average,Mali,MLI,4
31.4167,1901,Average,Mali,MLI,5
33.882,1901,Average,Mali,MLI,6
32.0003,1901,Average,Mali,MLI,7
31.0817,1901,Average,Mali,MLI,8
30.6025,1901,Average,Mali,MLI,9
29.2751,1901,Average,Mali,MLI,10
25.4515,1901,Average,Mali,MLI,11
19.7468,1901,Average,Mali,MLI,12
19.8296,1902,Average,Mali,MLI,1
23.5303,1902,Average,Mali,MLI,2
26.8647,1902,Average,Mali,MLI,3
31.5988,1902,Average,Mali,MLI,4
33.4727,1902,Average,Mali,MLI,5
31.9086,1902,Average,Mali,MLI,6
32.1075,1902,Average,Mali,MLI,7
31.1089,1902,Average,Mali,MLI,8
30.3569,1902,Average,Mali,MLI,9
27.9873,1902,Average,Mali,MLI,10
26.3722,1902,Average,Mali,MLI,11
21.4198,1902,Average,Mali,MLI,12
21.1861,1903,Average,Mali,MLI,1
24.1883,1903,Average,Mali,MLI,2
27.0851,1903,Average,Mali,MLI,3
30.4821,1903,Average,Mali,MLI,4
32.8337,1903,Average,Mali,MLI,5
33.2285,1903,Average,Mali,MLI,6
31.3416,1903,Average,Mali,MLI,7
30.1418,1903,Average,Mali,MLI,8
30.0819,1903,Average,Mali,MLI,9
30.1136,1903,Average,Mali,MLI,10
25.379,1903,Average,Mali,MLI,11
21.4341,1903,Average,Mali,MLI,12
20.6994,1904,Average,Mali,MLI,1
22.5834,1904,Average,Mali,MLI,2
27.2207,1904,Average,Mali,MLI,3
30.2315,1904,Average,Mali,MLI,4
33.2931,1904,Average,Mali,MLI,5
33.8032,1904,Average,Mali,MLI,6
31.7771,1904,Average,Mali,MLI,7
30.7681,1904,Average,Mali,MLI,8
31.0647,1904,Average,Mali,MLI,9
30.0801,1904,Average,Mali,MLI,10
25.9906,1904,Average,Mali,MLI,11
22.1073,1904,Average,Mali,MLI,12
20.6502,1905,Average,Mali,MLI,1
21.2585,1905,Average,Mali,MLI,2
26.273000000000003,1905,Average,Mali,MLI,3
31.432,1905,Average,Mali,MLI,4
32.6605,1905,Average,Mali,MLI,5
32.7889,1905,Average,Mali,MLI,6
31.9042,1905,Average,Mali,MLI,7
29.706,1905,Average,Mali,MLI,8
30.1598,1905,Average,Mali,MLI,9
29.7014,1905,Average,Mali,MLI,10
25.8177,1905,Average,Mali,MLI,11
21.6725,1905,Average,Mali,MLI,12
21.1207,1906,Average,Mali,MLI,1
21.7428,1906,Average,Mali,MLI,2
27.6137,1906,Average,Mali,MLI,3
31.7811,1906,Average,Mali,MLI,4
32.8136,1906,Average,Mali,MLI,5
32.9077,1906,Average,Mali,MLI,6
