Temperature - (Celsius),Year,Statistics,Country,ISO3,Month
-20.978,1901,Average,Mongolia,MNG,1
-18.018,1901,Average,Mongolia,MNG,2
-7.9319,1901,Average,Mongolia,MNG,3
0.97588,1901,Average,Mongolia,MNG,4
9.647680000000001,1901,Average,Mongolia,MNG,5
16.2567,1901,Average,Mongolia,MNG,6
17.6636,1901,Average,Mongolia,MNG,7
16.0536,1901,Average,Mongolia,MNG,8
10.2303,1901,Average,Mongolia,MNG,9
-2.1504,1901,Average,Mongolia,MNG,10
-9.8651,1901,Average,Mongolia,MNG,11
-26.344,1901,Average,Mongolia,MNG,12
-20.055,1902,Average,Mongolia,MNG,1
-13.985,1902,Average,Mongolia,MNG,2
-8.357000000000001,1902,Average,Mongolia,MNG,3
-0.9034,1902,Average,Mongolia,MNG,4
6.920030000000001,1902,Average,Mongolia,MNG,5
14.6134,1902,Average,Mongolia,MNG,6
16.1864,1902,Average,Mongolia,MNG,7
14.318,1902,Average,Mongolia,MNG,8
10.3751,1902,Average,Mongolia,MNG,9
0.58017,1902,Average,Mongolia,MNG,10
-13.205,1902,Average,Mongolia,MNG,11
-19.575,1902,Average,Mongolia,MNG,12
-21.093000000000004,1903,Average,Mongolia,MNG,1
-15.788,1903,Average,Mongolia,MNG,2
-10.222999999999999,1903,Average,Mongolia,MNG,3
0.7376,1903,Average,Mongolia,MNG,4
8.663960000000001,1903,Average,Mongolia,MNG,5
14.0755,1903,Average,Mongolia,MNG,6
18.3028,1903,Average,Mongolia,MNG,7
14.6941,1903,Average,Mongolia,MNG,8
8.760019999999999,1903,Average,Mongolia,MNG,9
-1.8154,1903,Average,Mongolia,MNG,10
-12.825999999999999,1903,Average,Mongolia,MNG,11
-21.413,1903,Average,Mongolia,MNG,12
-24.828000000000003,1904,Average,Mongolia,MNG,1
-19.634,1904,Average,Mongolia,MNG,2
-13.015,1904,Average,Mongolia,MNG,3
-0.637,1904,Average,Mongolia,MNG,4
9.61662,1904,Average,Mongolia,MNG,5
16.215,1904,Average,Mongolia,MNG,6
15.9789,1904,Average,Mongolia,MNG,7
15.7767,1904,Average,Mongolia,MNG,8
7.870589999999999,1904,Average,Mongolia,MNG,9
0.11731,1904,Average,Mongolia,MNG,10
-8.0059,1904,Average,Mongolia,MNG,11
-17.832,1904,Average,Mongolia,MNG,12
-17.114,1905,Average,Mongolia,MNG,1
-20.67,1905,Average,Mongolia,MNG,2
-12.47,1905,Average,Mongolia,MNG,3
-1.4896,1905,Average,Mongolia,MNG,4
8.561539999999999,1905,Average,Mongolia,MNG,5
14.1717,1905,Average,Mongolia,MNG,6
18.5397,1905,Average,Mongolia,MNG,7
16.2881,1905,Average,Mongolia,MNG,8
8.4487,1905,Average,Mongolia,MNG,9
0.29838000000000003,1905,Average,Mongolia,MNG,10
-11.42,1905,Average,Mongolia,MNG,11
-19.808,1905,Average,Mongolia,MNG,12
-23.697,1906,Average,Mongolia,MNG,1
-22.281,1906,Average,Mongolia,MNG,2
-7.9121,1906,Average,Mongolia,MNG,3
4.46101,1906,Average,Mongolia,MNG,4
7.90193,1906,Average,Mongolia,MNG,5
15.3216,1906,Average,Mongolia,MNG,6
15.7114,1906,Average,Mongolia,MNG,7
17.0423,1906,Average,Mongolia,MNG,8
9.08532,1906,Average,Mongolia,MNG,9
-0.0953,1906,Average,Mongolia,MNG,10
-16.307000000000002,1906,Average,Mongolia,MNG,11
-16.032,1906,Average,Mongolia,MNG,12
-20.338,1907,Average,Mongolia,MNG,1
-22.309,1907,Average,Mongolia,MNG,2
-10.514000000000001,1907,Average,Mongolia,MNG,3
2.35644,1907,Average,Mongolia,MNG,4
10.2973,1907,Average,Mongolia,MNG,5
15.0122,1907,Average,Mongolia,MNG,6
15.0947,1907,Average,Mongolia,MNG,7
15.7898,1907,Average,Mongolia,MNG,8
9.94905,1907,Average,Mongolia,MNG,9
0.49363,1907,Average,Mongolia,MNG,10
-13.349,1907,Average,Mongolia,MNG,11
-19.828,1907,Average,Mongolia,MNG,12
-23.344,1908,Average,Mongolia,MNG,1
-20.102,1908,Average,Mongolia,MNG,2
-13.277000000000001,1908,Average,Mongolia,MNG,3
0.43075,1908,Average,Mongolia,MNG,4
10.9492,1908,Average,Mongolia,MNG,5
15.7759,1908,Average,Mongolia,MNG,6
18.4037,1908,Average,Mongolia,MNG,7
15.9928,1908,Average,Mongolia,MNG,8
8.91658,1908,Average,Mongolia,MNG,9
0.17178,1908,Average,Mongolia,MNG,10
-12.469000000000001,1908,Average,Mongolia,MNG,11
-17.191,1908,Average,Mongolia,MNG,12
-23.423000000000002,1909,Average,Mongolia,MNG,1
-18.284000000000002,1909,Average,Mongolia,MNG,2
-15.123,1909,Average,Mongolia,MNG,3
-0.3771,1909,Average,Mongolia,MNG,4
8.78312,1909,Average,Mongolia,MNG,5
14.8164,1909,Average,Mongolia,MNG,6
18.009,1909,Average,Mongolia,MNG,7
17.4067,1909,Average,Mongolia,MNG,8
7.82857,1909,Average,Mongolia,MNG,9
-1.7005,1909,Average,Mongolia,MNG,10
-9.9269,1909,Average,Mongolia,MNG,11
-20.914,1909,Average,Mongolia,MNG,12
-25.044,1910,Average,Mongolia,MNG,1
-17.407,1910,Average,Mongolia,MNG,2
-13.71,1910,Average,Mongolia,MNG,3
0.39971999999999996,1910,Average,Mongolia,MNG,4
9.86116,1910,Average,Mongolia,MNG,5
14.2995,1910,Average,Mongolia,MNG,6
18.415,1910,Average,Mongolia,MNG,7
16.5388,1910,Average,Mongolia,MNG,8
7.92195,1910,Average,Mongolia,MNG,9
0.52428,1910,Average,Mongolia,MNG,10
-14.345,1910,Average,Mongolia,MNG,11
-22.116999999999997,1910,Average,Mongolia,MNG,12
-19.980999999999998,1911,Average,Mongolia,MNG,1
-17.637,1911,Average,Mongolia,MNG,2
-11.792,1911,Average,Mongolia,MNG,3
2.50926,1911,Average,Mongolia,MNG,4
8.34422,1911,Average,Mongolia,MNG,5
14.8741,1911,Average,Mongolia,MNG,6
17.4214,1911,Average,Mongolia,MNG,7
15.7873,1911,Average,Mongolia,MNG,8
9.24925,1911,Average,Mongolia,MNG,9
1.81178,1911,Average,Mongolia,MNG,10
-9.2425,1911,Average,Mongolia,MNG,11
-22.26,1911,Average,Mongolia,MNG,12
-20.115,1912,Average,Mongolia,MNG,1
-15.169,1912,Average,Mongolia,MNG,2
-14.229000000000001,1912,Average,Mongolia,MNG,3
1.64058,1912,Average,Mongolia,MNG,4
9.53272,1912,Average,Mongolia,MNG,5
14.4881,1912,Average,Mongolia,MNG,6
17.9895,1912,Average,Mongolia,MNG,7
12.9091,1912,Average,Mongolia,MNG,8
6.7285699999999995,1912,Average,Mongolia,MNG,9
-3.4237,1912,Average,Mongolia,MNG,10
-15.409,1912,Average,Mongolia,MNG,11
-23.307,1912,Average,Mongolia,MNG,12
-22.61,1913,Average,Mongolia,MNG,1
-19.195999999999998,1913,Average,Mongolia,MNG,2
-9.5593,1913,Average,Mongolia,MNG,3
-0.1549,1913,Average,Mongolia,MNG,4
9.29008,1913,Average,Mongolia,MNG,5
15.9781,1913,Average,Mongolia,MNG,6
16.5567,1913,Average,Mongolia,MNG,7
14.2569,1913,Average,Mongolia,MNG,8
8.27787,1913,Average,Mongolia,MNG,9
1.7509099999999997,1913,Average,Mongolia,MNG,10
-9.3377,1913,Average,Mongolia,MNG,11
-18.325,1913,Average,Mongolia,MNG,12
-15.353,1914,Average,Mongolia,MNG,1
-15.591,1914,Average,Mongolia,MNG,2
-12.270999999999999,1914,Average,Mongolia,MNG,3
2.83791,1914,Average,Mongolia,MNG,4
9.71765,1914,Average,Mongolia,MNG,5
14.7569,1914,Average,Mongolia,MNG,6
16.779,1914,Average,Mongolia,MNG,7
16.2408,1914,Average,Mongolia,MNG,8
9.609210000000001,1914,Average,Mongolia,MNG,9
0.94034,1914,Average,Mongolia,MNG,10
-12.742,1914,Average,Mongolia,MNG,11
-19.592,1914,Average,Mongolia,MNG,12
-25.885,1915,Average,Mongolia,MNG,1
-20.422,1915,Average,Mongolia,MNG,2
-11.494000000000002,1915,Average,Mongolia,MNG,3
-0.2756,1915,Average,Mongolia,MNG,4
9.992289999999999,1915,Average,Mongolia,MNG,5
15.298,1915,Average,Mongolia,MNG,6
18.4032,1915,Average,Mongolia,MNG,7
15.1722,1915,Average,Mongolia,MNG,8
8.03213,1915,Average,Mongolia,MNG,9
-2.708,1915,Average,Mongolia,MNG,10
-11.027999999999999,1915,Average,Mongolia,MNG,11
-16.19,1915,Average,Mongolia,MNG,12
-20.471,1916,Average,Mongolia,MNG,1
-18.199,1916,Average,Mongolia,MNG,2
-14.092,1916,Average,Mongolia,MNG,3
-1.2663,1916,Average,Mongolia,MNG,4
9.486310000000001,1916,Average,Mongolia,MNG,5
14.0624,1916,Average,Mongolia,MNG,6
17.9799,1916,Average,Mongolia,MNG,7
16.0179,1916,Average,Mongolia,MNG,8
9.49497,1916,Average,Mongolia,MNG,9
0.9444799999999999,1916,Average,Mongolia,MNG,10
-11.116,1916,Average,Mongolia,MNG,11
-24.599,1916,Average,Mongolia,MNG,12
-23.366999999999997,1917,Average,Mongolia,MNG,1
-18.615,1917,Average,Mongolia,MNG,2
-9.2404,1917,Average,Mongolia,MNG,3
1.87362,1917,Average,Mongolia,MNG,4
10.8542,1917,Average,Mongolia,MNG,5
16.3412,1917,Average,Mongolia,MNG,6
17.0625,1917,Average,Mongolia,MNG,7
14.937000000000001,1917,Average,Mongolia,MNG,8
8.797039999999999,1917,Average,Mongolia,MNG,9
-0.4509,1917,Average,Mongolia,MNG,10
-10.437999999999999,1917,Average,Mongolia,MNG,11
-23.01,1917,Average,Mongolia,MNG,12
-19.77,1918,Average,Mongolia,MNG,1
-16.105,1918,Average,Mongolia,MNG,2
-8.244,1918,Average,Mongolia,MNG,3
0.8989799999999999,1918,Average,Mongolia,MNG,4
9.5775,1918,Average,Mongolia,MNG,5
15.337,1918,Average,Mongolia,MNG,6
17.5779,1918,Average,Mongolia,MNG,7
15.827,1918,Average,Mongolia,MNG,8
9.494019999999999,1918,Average,Mongolia,MNG,9
0.44109,1918,Average,Mongolia,MNG,10
-12.466,1918,Average,Mongolia,MNG,11
-23.276999999999997,1918,Average,Mongolia,MNG,12
-27.993000000000002,1919,Average,Mongolia,MNG,1
-15.504000000000001,1919,Average,Mongolia,MNG,2
-10.892000000000001,1919,Average,Mongolia,MNG,3
0.30349,1919,Average,Mongolia,MNG,4
9.31438,1919,Average,Mongolia,MNG,5
15.1108,1919,Average,Mongolia,MNG,6
18.6254,1919,Average,Mongolia,MNG,7
16.1186,1919,Average,Mongolia,MNG,8
9.52949,1919,Average,Mongolia,MNG,9
1.41939,1919,Average,Mongolia,MNG,10
-12.135,1919,Average,Mongolia,MNG,11
-18.866,1919,Average,Mongolia,MNG,12
-19.623,1920,Average,Mongolia,MNG,1
-21.221,1920,Average,Mongolia,MNG,2
-8.1395,1920,Average,Mongolia,MNG,3
3.1142,1920,Average,Mongolia,MNG,4
10.1774,1920,Average,Mongolia,MNG,5
14.504000000000001,1920,Average,Mongolia,MNG,6
18.404,1920,Average,Mongolia,MNG,7
15.6918,1920,Average,Mongolia,MNG,8
7.579210000000001,1920,Average,Mongolia,MNG,9
2.3052599999999996,1920,Average,Mongolia,MNG,10
-11.823,1920,Average,Mongolia,MNG,11
-22.669,1920,Average,Mongolia,MNG,12
-18.570999999999998,1921,Average,Mongolia,MNG,1
-18.051,1921,Average,Mongolia,MNG,2
-9.782,1921,Average,Mongolia,MNG,3
0.16283,1921,Average,Mongolia,MNG,4
8.808580000000001,1921,Average,Mongolia,MNG,5
14.4031,1921,Average,Mongolia,MNG,6
19.8584,1921,Average,Mongolia,MNG,7
17.1366,1921,Average,Mongolia,MNG,8
9.86176,1921,Average,Mongolia,MNG,9
1.41933,1921,Average,Mongolia,MNG,10
-12.285,1921,Average,Mongolia,MNG,11
-19.051,1921,Average,Mongolia,MNG,12
-27.34,1922,Average,Mongolia,MNG,1
-19.537,1922,Average,Mongolia,MNG,2
-9.8923,1922,Average,Mongolia,MNG,3
2.13715,1922,Average,Mongolia,MNG,4
8.45697,1922,Average,Mongolia,MNG,5
15.9679,1922,Average,Mongolia,MNG,6
19.9196,1922,Average,Mongolia,MNG,7
16.01,1922,Average,Mongolia,MNG,8
7.741630000000001,1922,Average,Mongolia,MNG,9
1.22282,1922,Average,Mongolia,MNG,10
-14.307,1922,Average,Mongolia,MNG,11
-19.04,1922,Average,Mongolia,MNG,12
-22.671999999999997,1923,Average,Mongolia,MNG,1
-21.976999999999997,1923,Average,Mongolia,MNG,2
-9.4206,1923,Average,Mongolia,MNG,3
1.4174200000000001,1923,Average,Mongolia,MNG,4
9.34982,1923,Average,Mongolia,MNG,5
14.7482,1923,Average,Mongolia,MNG,6
18.2936,1923,Average,Mongolia,MNG,7
16.5767,1923,Average,Mongolia,MNG,8
9.70123,1923,Average,Mongolia,MNG,9
0.39621999999999996,1923,Average,Mongolia,MNG,10
-13.363,1923,Average,Mongolia,MNG,11
-17.512999999999998,1923,Average,Mongolia,MNG,12
-20.275,1924,Average,Mongolia,MNG,1
-20.083,1924,Average,Mongolia,MNG,2
-12.444,1924,Average,Mongolia,MNG,3
0.6017,1924,Average,Mongolia,MNG,4
11.1395,1924,Average,Mongolia,MNG,5
14.7785,1924,Average,Mongolia,MNG,6
19.0064,1924,Average,Mongolia,MNG,7
16.1732,1924,Average,Mongolia,MNG,8
9.41553,1924,Average,Mongolia,MNG,9
-0.4995,1924,Average,Mongolia,MNG,10
-9.1299,1924,Average,Mongolia,MNG,11
-17.886,1924,Average,Mongolia,MNG,12
-18.505,1925,Average,Mongolia,MNG,1
-20.247,1925,Average,Mongolia,MNG,2
-12.205,1925,Average,Mongolia,MNG,3
1.70206,1925,Average,Mongolia,MNG,4
8.98873,1925,Average,Mongolia,MNG,5
15.0962,1925,Average,Mongolia,MNG,6
16.9118,1925,Average,Mongolia,MNG,7
