Temperature - (Celsius),Year,Statistics,Country,ISO3,Month
18.0042,1901,Average,Niger (the),NER,1
21.7189,1901,Average,Niger (the),NER,2
25.2872,1901,Average,Niger (the),NER,3
29.9247,1901,Average,Niger (the),NER,4
31.7192,1901,Average,Niger (the),NER,5
32.5557,1901,Average,Niger (the),NER,6
31.1318,1901,Average,Niger (the),NER,7
30.1378,1901,Average,Niger (the),NER,8
30.2381,1901,Average,Niger (the),NER,9
28.4286,1901,Average,Niger (the),NER,10
23.644000000000002,1901,Average,Niger (the),NER,11
19.2615,1901,Average,Niger (the),NER,12
18.221,1902,Average,Niger (the),NER,1
21.5779,1902,Average,Niger (the),NER,2
25.7386,1902,Average,Niger (the),NER,3
30.6888,1902,Average,Niger (the),NER,4
32.6365,1902,Average,Niger (the),NER,5
31.807,1902,Average,Niger (the),NER,6
31.1248,1902,Average,Niger (the),NER,7
30.2935,1902,Average,Niger (the),NER,8
30.133000000000003,1902,Average,Niger (the),NER,9
27.6269,1902,Average,Niger (the),NER,10
23.5748,1902,Average,Niger (the),NER,11
20.0524,1902,Average,Niger (the),NER,12
19.0493,1903,Average,Niger (the),NER,1
21.8836,1903,Average,Niger (the),NER,2
25.9744,1903,Average,Niger (the),NER,3
30.2437,1903,Average,Niger (the),NER,4
32.5559,1903,Average,Niger (the),NER,5
32.5604,1903,Average,Niger (the),NER,6
31.0415,1903,Average,Niger (the),NER,7
30.1861,1903,Average,Niger (the),NER,8
30.2854,1903,Average,Niger (the),NER,9
28.4609,1903,Average,Niger (the),NER,10
23.6546,1903,Average,Niger (the),NER,11
20.122,1903,Average,Niger (the),NER,12
19.017,1904,Average,Niger (the),NER,1
22.0059,1904,Average,Niger (the),NER,2
26.0496,1904,Average,Niger (the),NER,3
30.2757,1904,Average,Niger (the),NER,4
32.4813,1904,Average,Niger (the),NER,5
32.6624,1904,Average,Niger (the),NER,6
31.1113,1904,Average,Niger (the),NER,7
30.2345,1904,Average,Niger (the),NER,8
30.2806,1904,Average,Niger (the),NER,9
28.3914,1904,Average,Niger (the),NER,10
23.5746,1904,Average,Niger (the),NER,11
20.0527,1904,Average,Niger (the),NER,12
17.7997,1905,Average,Niger (the),NER,1
19.5559,1905,Average,Niger (the),NER,2
24.6893,1905,Average,Niger (the),NER,3
29.923000000000002,1905,Average,Niger (the),NER,4
32.5986,1905,Average,Niger (the),NER,5
32.16,1905,Average,Niger (the),NER,6
31.1754,1905,Average,Niger (the),NER,7
29.7905,1905,Average,Niger (the),NER,8
30.3385,1905,Average,Niger (the),NER,9
28.2733,1905,Average,Niger (the),NER,10
24.5513,1905,Average,Niger (the),NER,11
20.8679,1905,Average,Niger (the),NER,12
18.1488,1906,Average,Niger (the),NER,1
21.6528,1906,Average,Niger (the),NER,2
26.1661,1906,Average,Niger (the),NER,3
32.0083,1906,Average,Niger (the),NER,4
32.8125,1906,Average,Niger (the),NER,5
33.2556,1906,Average,Niger (the),NER,6
30.9139,1906,Average,Niger (the),NER,7
29.8898,1906,Average,Niger (the),NER,8
31.3078,1906,Average,Niger (the),NER,9
28.9151,1906,Average,Niger (the),NER,10
24.1017,1906,Average,Niger (the),NER,11
21.0064,1906,Average,Niger (the),NER,12
18.9349,1907,Average,Niger (the),NER,1
20.3528,1907,Average,Niger (the),NER,2
25.2725,1907,Average,Niger (the),NER,3
29.8086,1907,Average,Niger (the),NER,4
33.3076,1907,Average,Niger (the),NER,5
32.4137,1907,Average,Niger (the),NER,6
31.4721,1907,Average,Niger (the),NER,7
30.055,1907,Average,Niger (the),NER,8
30.559,1907,Average,Niger (the),NER,9
29.892,1907,Average,Niger (the),NER,10
23.8845,1907,Average,Niger (the),NER,11
19.1305,1907,Average,Niger (the),NER,12
18.8252,1908,Average,Niger (the),NER,1
21.2086,1908,Average,Niger (the),NER,2
25.5242,1908,Average,Niger (the),NER,3
30.5696,1908,Average,Niger (the),NER,4
33.6118,1908,Average,Niger (the),NER,5
33.3672,1908,Average,Niger (the),NER,6
31.6614,1908,Average,Niger (the),NER,7
29.8128,1908,Average,Niger (the),NER,8
30.4182,1908,Average,Niger (the),NER,9
28.2194,1908,Average,Niger (the),NER,10
22.9871,1908,Average,Niger (the),NER,11
19.4224,1908,Average,Niger (the),NER,12
18.8196,1909,Average,Niger (the),NER,1
22.5992,1909,Average,Niger (the),NER,2
27.8173,1909,Average,Niger (the),NER,3
30.0994,1909,Average,Niger (the),NER,4
32.0858,1909,Average,Niger (the),NER,5
31.2574,1909,Average,Niger (the),NER,6
30.0645,1909,Average,Niger (the),NER,7
28.6911,1909,Average,Niger (the),NER,8
30.3392,1909,Average,Niger (the),NER,9
27.414,1909,Average,Niger (the),NER,10
23.9326,1909,Average,Niger (the),NER,11
20.0846,1909,Average,Niger (the),NER,12
18.063,1910,Average,Niger (the),NER,1
22.3346,1910,Average,Niger (the),NER,2
25.6061,1910,Average,Niger (the),NER,3
30.0806,1910,Average,Niger (the),NER,4
32.8938,1910,Average,Niger (the),NER,5
33.8987,1910,Average,Niger (the),NER,6
31.7535,1910,Average,Niger (the),NER,7
30.4169,1910,Average,Niger (the),NER,8
30.7346,1910,Average,Niger (the),NER,9
28.29,1910,Average,Niger (the),NER,10
23.5328,1910,Average,Niger (the),NER,11
20.048,1910,Average,Niger (the),NER,12
18.5418,1911,Average,Niger (the),NER,1
21.5987,1911,Average,Niger (the),NER,2
25.8767,1911,Average,Niger (the),NER,3
30.1759,1911,Average,Niger (the),NER,4
32.2128,1911,Average,Niger (the),NER,5
32.1257,1911,Average,Niger (the),NER,6
31.2104,1911,Average,Niger (the),NER,7
30.0654,1911,Average,Niger (the),NER,8
30.1168,1911,Average,Niger (the),NER,9
28.064,1911,Average,Niger (the),NER,10
23.8868,1911,Average,Niger (the),NER,11
19.3122,1911,Average,Niger (the),NER,12
19.2823,1912,Average,Niger (the),NER,1
21.8406,1912,Average,Niger (the),NER,2
25.6705,1912,Average,Niger (the),NER,3
31.0097,1912,Average,Niger (the),NER,4
32.7449,1912,Average,Niger (the),NER,5
32.7584,1912,Average,Niger (the),NER,6
31.8889,1912,Average,Niger (the),NER,7
30.6729,1912,Average,Niger (the),NER,8
30.9499,1912,Average,Niger (the),NER,9
28.4326,1912,Average,Niger (the),NER,10
23.0065,1912,Average,Niger (the),NER,11
19.952,1912,Average,Niger (the),NER,12
19.3442,1913,Average,Niger (the),NER,1
22.0107,1913,Average,Niger (the),NER,2
24.4363,1913,Average,Niger (the),NER,3
29.8484,1913,Average,Niger (the),NER,4
33.2119,1913,Average,Niger (the),NER,5
34.0641,1913,Average,Niger (the),NER,6
32.6708,1913,Average,Niger (the),NER,7
31.7895,1913,Average,Niger (the),NER,8
32.0158,1913,Average,Niger (the),NER,9
28.1685,1913,Average,Niger (the),NER,10
22.6463,1913,Average,Niger (the),NER,11
19.4491,1913,Average,Niger (the),NER,12
20.816999999999997,1914,Average,Niger (the),NER,1
21.4404,1914,Average,Niger (the),NER,2
25.2325,1914,Average,Niger (the),NER,3
29.8785,1914,Average,Niger (the),NER,4
33.7572,1914,Average,Niger (the),NER,5
34.0039,1914,Average,Niger (the),NER,6
32.385,1914,Average,Niger (the),NER,7
30.3773,1914,Average,Niger (the),NER,8
30.9356,1914,Average,Niger (the),NER,9
29.0117,1914,Average,Niger (the),NER,10
25.3333,1914,Average,Niger (the),NER,11
20.2082,1914,Average,Niger (the),NER,12
17.9956,1915,Average,Niger (the),NER,1
21.055,1915,Average,Niger (the),NER,2
26.3928,1915,Average,Niger (the),NER,3
29.6056,1915,Average,Niger (the),NER,4
32.3872,1915,Average,Niger (the),NER,5
31.8901,1915,Average,Niger (the),NER,6
31.1222,1915,Average,Niger (the),NER,7
30.1701,1915,Average,Niger (the),NER,8
29.9345,1915,Average,Niger (the),NER,9
27.8199,1915,Average,Niger (the),NER,10
23.1239,1915,Average,Niger (the),NER,11
19.4037,1915,Average,Niger (the),NER,12
17.8375,1916,Average,Niger (the),NER,1
20.566999999999997,1916,Average,Niger (the),NER,2
25.7279,1916,Average,Niger (the),NER,3
