Temperature - (Celsius),Year,Statistics,Country,ISO3,Month
24.8964,1901,Average,Senegal,SEN,1
27.4421,1901,Average,Senegal,SEN,2
27.7309,1901,Average,Senegal,SEN,3
30.6239,1901,Average,Senegal,SEN,4
30.3933,1901,Average,Senegal,SEN,5
30.92,1901,Average,Senegal,SEN,6
29.038,1901,Average,Senegal,SEN,7
28.302,1901,Average,Senegal,SEN,8
28.281999999999996,1901,Average,Senegal,SEN,9
28.1266,1901,Average,Senegal,SEN,10
25.255,1901,Average,Senegal,SEN,11
23.4699,1901,Average,Senegal,SEN,12
25.116,1902,Average,Senegal,SEN,1
27.1077,1902,Average,Senegal,SEN,2
27.7627,1902,Average,Senegal,SEN,3
30.2938,1902,Average,Senegal,SEN,4
31.366,1902,Average,Senegal,SEN,5
31.3559,1902,Average,Senegal,SEN,6
29.4318,1902,Average,Senegal,SEN,7
28.7244,1902,Average,Senegal,SEN,8
28.0915,1902,Average,Senegal,SEN,9
29.6747,1902,Average,Senegal,SEN,10
28.1879,1902,Average,Senegal,SEN,11
23.4554,1902,Average,Senegal,SEN,12
23.7293,1903,Average,Senegal,SEN,1
27.1988,1903,Average,Senegal,SEN,2
29.1081,1903,Average,Senegal,SEN,3
29.8532,1903,Average,Senegal,SEN,4
30.9119,1903,Average,Senegal,SEN,5
30.2185,1903,Average,Senegal,SEN,6
29.0357,1903,Average,Senegal,SEN,7
27.7844,1903,Average,Senegal,SEN,8
27.8708,1903,Average,Senegal,SEN,9
29.49,1903,Average,Senegal,SEN,10
27.5406,1903,Average,Senegal,SEN,11
23.7817,1903,Average,Senegal,SEN,12
24.101999999999997,1904,Average,Senegal,SEN,1
26.3367,1904,Average,Senegal,SEN,2
27.8531,1904,Average,Senegal,SEN,3
30.2104,1904,Average,Senegal,SEN,4
30.8264,1904,Average,Senegal,SEN,5
30.1892,1904,Average,Senegal,SEN,6
28.677,1904,Average,Senegal,SEN,7
27.531999999999996,1904,Average,Senegal,SEN,8
28.0866,1904,Average,Senegal,SEN,9
28.6204,1904,Average,Senegal,SEN,10
27.6382,1904,Average,Senegal,SEN,11
24.1503,1904,Average,Senegal,SEN,12
24.6219,1905,Average,Senegal,SEN,1
26.1653,1905,Average,Senegal,SEN,2
28.3345,1905,Average,Senegal,SEN,3
29.8799,1905,Average,Senegal,SEN,4
30.5268,1905,Average,Senegal,SEN,5
30.3263,1905,Average,Senegal,SEN,6
29.1458,1905,Average,Senegal,SEN,7
27.9293,1905,Average,Senegal,SEN,8
28.4873,1905,Average,Senegal,SEN,9
28.6984,1905,Average,Senegal,SEN,10
26.8025,1905,Average,Senegal,SEN,11
24.7298,1905,Average,Senegal,SEN,12
25.3801,1906,Average,Senegal,SEN,1
26.5346,1906,Average,Senegal,SEN,2
29.4689,1906,Average,Senegal,SEN,3
30.1688,1906,Average,Senegal,SEN,4
30.8855,1906,Average,Senegal,SEN,5
30.9637,1906,Average,Senegal,SEN,6
28.5282,1906,Average,Senegal,SEN,7
27.243000000000002,1906,Average,Senegal,SEN,8
28.1139,1906,Average,Senegal,SEN,9
28.7511,1906,Average,Senegal,SEN,10
27.459,1906,Average,Senegal,SEN,11
23.4864,1906,Average,Senegal,SEN,12
23.656,1907,Average,Senegal,SEN,1
25.5824,1907,Average,Senegal,SEN,2
27.7472,1907,Average,Senegal,SEN,3
29.2726,1907,Average,Senegal,SEN,4
29.8026,1907,Average,Senegal,SEN,5
29.2712,1907,Average,Senegal,SEN,6
28.6806,1907,Average,Senegal,SEN,7
27.342,1907,Average,Senegal,SEN,8
27.7849,1907,Average,Senegal,SEN,9
28.3337,1907,Average,Senegal,SEN,10
26.1037,1907,Average,Senegal,SEN,11
23.7084,1907,Average,Senegal,SEN,12
24.4762,1908,Average,Senegal,SEN,1
26.33,1908,Average,Senegal,SEN,2
28.6814,1908,Average,Senegal,SEN,3
30.6631,1908,Average,Senegal,SEN,4
31.4446,1908,Average,Senegal,SEN,5
30.7963,1908,Average,Senegal,SEN,6
29.1364,1908,Average,Senegal,SEN,7
27.5835,1908,Average,Senegal,SEN,8
28.3159,1908,Average,Senegal,SEN,9
29.1206,1908,Average,Senegal,SEN,10
27.7192,1908,Average,Senegal,SEN,11
25.4755,1908,Average,Senegal,SEN,12
24.0068,1909,Average,Senegal,SEN,1
26.2258,1909,Average,Senegal,SEN,2
29.2583,1909,Average,Senegal,SEN,3
29.9818,1909,Average,Senegal,SEN,4
31.0617,1909,Average,Senegal,SEN,5
30.0468,1909,Average,Senegal,SEN,6
28.8703,1909,Average,Senegal,SEN,7
27.7338,1909,Average,Senegal,SEN,8
27.8003,1909,Average,Senegal,SEN,9
28.7984,1909,Average,Senegal,SEN,10
27.0205,1909,Average,Senegal,SEN,11
24.7165,1909,Average,Senegal,SEN,12
23.5472,1910,Average,Senegal,SEN,1
26.9034,1910,Average,Senegal,SEN,2
28.4468,1910,Average,Senegal,SEN,3
30.2016,1910,Average,Senegal,SEN,4
31.0653,1910,Average,Senegal,SEN,5
30.4106,1910,Average,Senegal,SEN,6
28.2859,1910,Average,Senegal,SEN,7
27.7825,1910,Average,Senegal,SEN,8
28.4009,1910,Average,Senegal,SEN,9
29.3481,1910,Average,Senegal,SEN,10
28.5817,1910,Average,Senegal,SEN,11
24.7929,1910,Average,Senegal,SEN,12
23.4667,1911,Average,Senegal,SEN,1
26.0965,1911,Average,Senegal,SEN,2
27.1208,1911,Average,Senegal,SEN,3
30.3123,1911,Average,Senegal,SEN,4
30.5406,1911,Average,Senegal,SEN,5
29.6953,1911,Average,Senegal,SEN,6
28.8845,1911,Average,Senegal,SEN,7
27.8679,1911,Average,Senegal,SEN,8
28.4658,1911,Average,Senegal,SEN,9
29.7425,1911,Average,Senegal,SEN,10
27.5494,1911,Average,Senegal,SEN,11
25.1037,1911,Average,Senegal,SEN,12
24.5549,1912,Average,Senegal,SEN,1
27.0206,1912,Average,Senegal,SEN,2
29.2744,1912,Average,Senegal,SEN,3
29.7481,1912,Average,Senegal,SEN,4
31.219,1912,Average,Senegal,SEN,5
30.8839,1912,Average,Senegal,SEN,6
28.9951,1912,Average,Senegal,SEN,7
27.8473,1912,Average,Senegal,SEN,8
28.2237,1912,Average,Senegal,SEN,9
28.7137,1912,Average,Senegal,SEN,10
27.62,1912,Average,Senegal,SEN,11
24.3549,1912,Average,Senegal,SEN,12
24.7418,1913,Average,Senegal,SEN,1
26.8323,1913,Average,Senegal,SEN,2
27.9914,1913,Average,Senegal,SEN,3
30.2446,1913,Average,Senegal,SEN,4
29.9997,1913,Average,Senegal,SEN,5
30.8545,1913,Average,Senegal,SEN,6
28.7895,1913,Average,Senegal,SEN,7
28.1211,1913,Average,Senegal,SEN,8
28.1685,1913,Average,Senegal,SEN,9
29.0686,1913,Average,Senegal,SEN,10
27.9149,1913,Average,Senegal,SEN,11
25.5975,1913,Average,Senegal,SEN,12
24.5614,1914,Average,Senegal,SEN,1
25.7641,1914,Average,Senegal,SEN,2
28.5677,1914,Average,Senegal,SEN,3
29.851999999999997,1914,Average,Senegal,SEN,4
31.675,1914,Average,Senegal,SEN,5
29.8182,1914,Average,Senegal,SEN,6
28.2881,1914,Average,Senegal,SEN,7
27.6046,1914,Average,Senegal,SEN,8
27.8105,1914,Average,Senegal,SEN,9
29.026,1914,Average,Senegal,SEN,10
26.9771,1914,Average,Senegal,SEN,11
24.1195,1914,Average,Senegal,SEN,12
25.2816,1915,Average,Senegal,SEN,1
25.877,1915,Average,Senegal,SEN,2
27.1253,1915,Average,Senegal,SEN,3
29.6506,1915,Average,Senegal,SEN,4
30.7821,1915,Average,Senegal,SEN,5
31.6654,1915,Average,Senegal,SEN,6
29.3929,1915,Average,Senegal,SEN,7
27.9539,1915,Average,Senegal,SEN,8
28.4152,1915,Average,Senegal,SEN,9
29.7329,1915,Average,Senegal,SEN,10
27.4788,1915,Average,Senegal,SEN,11
26.0848,1915,Average,Senegal,SEN,12
24.7292,1916,Average,Senegal,SEN,1
25.8789,1916,Average,Senegal,SEN,2
27.0497,1916,Average,Senegal,SEN,3
28.7867,1916,Average,Senegal,SEN,4
30.3263,1916,Average,Senegal,SEN,5
30.4512,1916,Average,Senegal,SEN,6
28.3264,1916,Average,Senegal,SEN,7
27.8706,1916,Average,Senegal,SEN,8
27.88,1916,Average,Senegal,SEN,9
29.4301,1916,Average,Senegal,SEN,10
27.0682,1916,Average,Senegal,SEN,11
24.8592,1916,Average,Senegal,SEN,12
25.4735,1917,Average,Senegal,SEN,1
25.1895,1917,Average,Senegal,SEN,2
28.1954,1917,Average,Senegal,SEN,3
28.9766,1917,Average,Senegal,SEN,4
30.3773,1917,Average,Senegal,SEN,5
29.7971,1917,Average,Senegal,SEN,6
