Temperature - (Celsius),Year,Statistics,Country,ISO3,Month
0.5111100000000001,1901,Average,Turkmenistan,TKM,1
4.66295,1901,Average,Turkmenistan,TKM,2
10.9507,1901,Average,Turkmenistan,TKM,3
17.0478,1901,Average,Turkmenistan,TKM,4
22.2141,1901,Average,Turkmenistan,TKM,5
26.0198,1901,Average,Turkmenistan,TKM,6
29.1357,1901,Average,Turkmenistan,TKM,7
26.7572,1901,Average,Turkmenistan,TKM,8
21.3285,1901,Average,Turkmenistan,TKM,9
10.4093,1901,Average,Turkmenistan,TKM,10
9.57387,1901,Average,Turkmenistan,TKM,11
6.21924,1901,Average,Turkmenistan,TKM,12
4.01775,1902,Average,Turkmenistan,TKM,1
2.9553700000000003,1902,Average,Turkmenistan,TKM,2
8.619580000000001,1902,Average,Turkmenistan,TKM,3
14.7913,1902,Average,Turkmenistan,TKM,4
22.5077,1902,Average,Turkmenistan,TKM,5
28.1663,1902,Average,Turkmenistan,TKM,6
28.4715,1902,Average,Turkmenistan,TKM,7
27.9295,1902,Average,Turkmenistan,TKM,8
20.8789,1902,Average,Turkmenistan,TKM,9
13.6296,1902,Average,Turkmenistan,TKM,10
7.718260000000001,1902,Average,Turkmenistan,TKM,11
4.87556,1902,Average,Turkmenistan,TKM,12
-0.0612,1903,Average,Turkmenistan,TKM,1
4.80409,1903,Average,Turkmenistan,TKM,2
2.8986,1903,Average,Turkmenistan,TKM,3
14.5687,1903,Average,Turkmenistan,TKM,4
21.3189,1903,Average,Turkmenistan,TKM,5
27.0278,1903,Average,Turkmenistan,TKM,6
28.9244,1903,Average,Turkmenistan,TKM,7
27.2183,1903,Average,Turkmenistan,TKM,8
21.7412,1903,Average,Turkmenistan,TKM,9
15.8742,1903,Average,Turkmenistan,TKM,10
6.96294,1903,Average,Turkmenistan,TKM,11
1.25789,1903,Average,Turkmenistan,TKM,12
-6.3229999999999995,1904,Average,Turkmenistan,TKM,1
5.8002,1904,Average,Turkmenistan,TKM,2
8.76603,1904,Average,Turkmenistan,TKM,3
13.4096,1904,Average,Turkmenistan,TKM,4
21.6718,1904,Average,Turkmenistan,TKM,5
25.3213,1904,Average,Turkmenistan,TKM,6
28.4413,1904,Average,Turkmenistan,TKM,7
27.0945,1904,Average,Turkmenistan,TKM,8
21.1074,1904,Average,Turkmenistan,TKM,9
12.4297,1904,Average,Turkmenistan,TKM,10
10.690999999999999,1904,Average,Turkmenistan,TKM,11
4.87254,1904,Average,Turkmenistan,TKM,12
-1.0691,1905,Average,Turkmenistan,TKM,1
0.17695,1905,Average,Turkmenistan,TKM,2
4.1151599999999995,1905,Average,Turkmenistan,TKM,3
15.3401,1905,Average,Turkmenistan,TKM,4
21.1262,1905,Average,Turkmenistan,TKM,5
27.1014,1905,Average,Turkmenistan,TKM,6
28.3596,1905,Average,Turkmenistan,TKM,7
26.7624,1905,Average,Turkmenistan,TKM,8
21.7942,1905,Average,Turkmenistan,TKM,9
17.3386,1905,Average,Turkmenistan,TKM,10
9.17094,1905,Average,Turkmenistan,TKM,11
2.97967,1905,Average,Turkmenistan,TKM,12
-0.1395,1906,Average,Turkmenistan,TKM,1
1.43773,1906,Average,Turkmenistan,TKM,2
8.275210000000001,1906,Average,Turkmenistan,TKM,3
13.2465,1906,Average,Turkmenistan,TKM,4
22.3546,1906,Average,Turkmenistan,TKM,5
26.9134,1906,Average,Turkmenistan,TKM,6
28.2904,1906,Average,Turkmenistan,TKM,7
27.4794,1906,Average,Turkmenistan,TKM,8
20.625999999999998,1906,Average,Turkmenistan,TKM,9
15.7349,1906,Average,Turkmenistan,TKM,10
8.34479,1906,Average,Turkmenistan,TKM,11
4.8169699999999995,1906,Average,Turkmenistan,TKM,12
1.34429,1907,Average,Turkmenistan,TKM,1
1.00773,1907,Average,Turkmenistan,TKM,2
8.11791,1907,Average,Turkmenistan,TKM,3
15.802,1907,Average,Turkmenistan,TKM,4
20.3171,1907,Average,Turkmenistan,TKM,5
25.1262,1907,Average,Turkmenistan,TKM,6
29.5634,1907,Average,Turkmenistan,TKM,7
26.369,1907,Average,Turkmenistan,TKM,8
20.5856,1907,Average,Turkmenistan,TKM,9
11.56,1907,Average,Turkmenistan,TKM,10
5.7283599999999995,1907,Average,Turkmenistan,TKM,11
3.4033599999999997,1907,Average,Turkmenistan,TKM,12
0.61279,1908,Average,Turkmenistan,TKM,1
2.22224,1908,Average,Turkmenistan,TKM,2
6.24268,1908,Average,Turkmenistan,TKM,3
14.5549,1908,Average,Turkmenistan,TKM,4
20.1425,1908,Average,Turkmenistan,TKM,5
26.5402,1908,Average,Turkmenistan,TKM,6
28.8873,1908,Average,Turkmenistan,TKM,7
27.1483,1908,Average,Turkmenistan,TKM,8
21.9198,1908,Average,Turkmenistan,TKM,9
12.0614,1908,Average,Turkmenistan,TKM,10
9.22027,1908,Average,Turkmenistan,TKM,11
3.62459,1908,Average,Turkmenistan,TKM,12
-1.5772,1909,Average,Turkmenistan,TKM,1
