Temperature - (Celsius),Year,Statistics,Country,ISO3,Month
25.5763,1901,Average,Vanuatu,VUT,1
24.8238,1901,Average,Vanuatu,VUT,2
25.1522,1901,Average,Vanuatu,VUT,3
25.9953,1901,Average,Vanuatu,VUT,4
24.5772,1901,Average,Vanuatu,VUT,5
22.7571,1901,Average,Vanuatu,VUT,6
22.2175,1901,Average,Vanuatu,VUT,7
22.1333,1901,Average,Vanuatu,VUT,8
24.1288,1901,Average,Vanuatu,VUT,9
24.8139,1901,Average,Vanuatu,VUT,10
23.4755,1901,Average,Vanuatu,VUT,11
24.0702,1901,Average,Vanuatu,VUT,12
25.7763,1902,Average,Vanuatu,VUT,1
25.6238,1902,Average,Vanuatu,VUT,2
24.5522,1902,Average,Vanuatu,VUT,3
23.3953,1902,Average,Vanuatu,VUT,4
22.1772,1902,Average,Vanuatu,VUT,5
22.1571,1902,Average,Vanuatu,VUT,6
21.8175,1902,Average,Vanuatu,VUT,7
21.1333,1902,Average,Vanuatu,VUT,8
21.8288,1902,Average,Vanuatu,VUT,9
23.1139,1902,Average,Vanuatu,VUT,10
23.5755,1902,Average,Vanuatu,VUT,11
25.8702,1902,Average,Vanuatu,VUT,12
25.5763,1903,Average,Vanuatu,VUT,1
26.2238,1903,Average,Vanuatu,VUT,2
25.1522,1903,Average,Vanuatu,VUT,3
24.4953,1903,Average,Vanuatu,VUT,4
23.7772,1903,Average,Vanuatu,VUT,5
23.0571,1903,Average,Vanuatu,VUT,6
23.1175,1903,Average,Vanuatu,VUT,7
22.4333,1903,Average,Vanuatu,VUT,8
22.9288,1903,Average,Vanuatu,VUT,9
24.2139,1903,Average,Vanuatu,VUT,10
24.1755,1903,Average,Vanuatu,VUT,11
24.8702,1903,Average,Vanuatu,VUT,12
24.7763,1904,Average,Vanuatu,VUT,1
24.8238,1904,Average,Vanuatu,VUT,2
24.7522,1904,Average,Vanuatu,VUT,3
24.4953,1904,Average,Vanuatu,VUT,4
22.2772,1904,Average,Vanuatu,VUT,5
21.7571,1904,Average,Vanuatu,VUT,6
22.1175,1904,Average,Vanuatu,VUT,7
22.0333,1904,Average,Vanuatu,VUT,8
21.7288,1904,Average,Vanuatu,VUT,9
22.0139,1904,Average,Vanuatu,VUT,10
23.3755,1904,Average,Vanuatu,VUT,11
23.6702,1904,Average,Vanuatu,VUT,12
24.1763,1905,Average,Vanuatu,VUT,1
25.1238,1905,Average,Vanuatu,VUT,2
23.7522,1905,Average,Vanuatu,VUT,3
23.0953,1905,Average,Vanuatu,VUT,4
23.0772,1905,Average,Vanuatu,VUT,5
22.6571,1905,Average,Vanuatu,VUT,6
21.5175,1905,Average,Vanuatu,VUT,7
22.1333,1905,Average,Vanuatu,VUT,8
22.5288,1905,Average,Vanuatu,VUT,9
22.6139,1905,Average,Vanuatu,VUT,10
23.5755,1905,Average,Vanuatu,VUT,11
26.3702,1905,Average,Vanuatu,VUT,12
25.6763,1906,Average,Vanuatu,VUT,1
24.2238,1906,Average,Vanuatu,VUT,2
24.4522,1906,Average,Vanuatu,VUT,3
24.3953,1906,Average,Vanuatu,VUT,4
