Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,23.794713312499997
1,2040-2059,23.986887999999997
1,2060-2079,24.057847
1,2080-2099,24.0741053125
2,2020-2039,23.50915875
2,2040-2059,23.6977089375
2,2060-2079,23.764694999999996
2,2080-2099,23.748709812500003
3,2020-2039,22.9504679375
3,2040-2059,23.179140375
3,2060-2079,23.217268687499995
3,2080-2099,23.247651624999996
4,2020-2039,21.806638375000002
4,2040-2059,22.096372812499997
4,2060-2079,22.137379874999993
4,2080-2099,22.156618499999997
5,2020-2039,20.162946
5,2040-2059,20.349479625
5,2060-2079,20.5731510625
5,2080-2099,20.506836000000003
6,2020-2039,18.7148270625
6,2040-2059,18.933701937499997
6,2060-2079,19.158839125
6,2080-2099,19.0834453125
7,2020-2039,18.939235874999998
7,2040-2059,19.206651187500004
7,2060-2079,19.287771875
7,2080-2099,19.221724750000003
8,2020-2039,20.884540937500002
8,2040-2059,21.100762250000002
8,2060-2079,21.198454
8,2080-2099,21.178089562500002
9,2020-2039,22.97948225
9,2040-2059,23.295443374999998
9,2060-2079,23.370613187500002
9,2080-2099,23.41860825
10,2020-2039,24.1538404375
10,2040-2059,24.320650562499996
10,2060-2079,24.486585187500005
10,2080-2099,24.4397403125
11,2020-2039,24.165033
11,2040-2059,24.4114279375
11,2060-2079,24.358425000000004
11,2080-2099,24.484449125
12,2020-2039,23.8497305
12,2040-2059,24.0984776875
12,2060-2079,24.133996125
12,2080-2099,24.113299500000004
