Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,-19.9213001875
1,2040-2059,-19.09803990625
1,2060-2079,-18.815126375
1,2080-2099,-19.128946562499998
2,2020-2039,-19.2295605
2,2040-2059,-18.69481725
2,2060-2079,-18.31780696875
2,2080-2099,-18.253392374999997
3,2020-2039,-14.026894656249999
3,2040-2059,-13.476875937500001
3,2060-2079,-13.68458571875
3,2080-2099,-13.7666878125
4,2020-2039,-5.6588168875000004
4,2040-2059,-5.3070385
4,2060-2079,-5.3507122125
4,2080-2099,-5.402453787500001
5,2020-2039,3.3702241375
5,2040-2059,3.6662504000000005
5,2060-2079,3.6959398875000007
5,2080-2099,3.6947646187500003
6,2020-2039,10.469232262499998
6,2040-2059,10.822833718749997
6,2060-2079,10.869157125000001
6,2080-2099,10.7712825625
7,2020-2039,13.719398281250001
7,2040-2059,14.0709754375
7,2060-2079,14.087401937500001
7,2080-2099,13.955652531250001
8,2020-2039,11.62924353125
8,2040-2059,11.8675599375
8,2060-2079,11.927990249999999
8,2080-2099,11.791534500000001
9,2020-2039,5.930874556249999
9,2040-2059,6.25845795
9,2060-2079,6.317875362500001
9,2080-2099,6.212346037499999
10,2020-2039,-1.318371365625
10,2040-2059,-0.9999826812499999
10,2060-2079,-0.8082008562499999
10,2080-2099,-0.93205544375
11,2020-2039,-9.46984619375
11,2040-2059,-8.8899989125
11,2060-2079,-8.778832912500002
11,2080-2099,-8.936648312500001
12,2020-2039,-16.439441281250005
12,2040-2059,-15.39793671875
12,2060-2079,-15.344086187499997
12,2080-2099,-15.525793125
