Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,26.564270499999996
1,2040-2059,26.832518
1,2060-2079,26.84843325
1,2080-2099,26.846593812500004
2,2020-2039,26.787176125000002
2,2040-2059,27.032925250000005
2,2060-2079,27.072489437499996
2,2080-2099,27.047511562499995
3,2020-2039,27.20430475
3,2040-2059,27.474316375
3,2060-2079,27.5367133125
3,2080-2099,27.476792437500002
4,2020-2039,27.716360375
4,2040-2059,27.987764625
4,2060-2079,28.016158437500003
4,2080-2099,28.0240250625
5,2020-2039,27.625732812499997
5,2040-2059,27.9278865
5,2060-2079,27.9804178125
5,2080-2099,27.965440500000003
6,2020-2039,27.055147749999996
6,2040-2059,27.334281500000003
6,2060-2079,27.343595062499997
6,2080-2099,27.349808250000006
7,2020-2039,26.993481937499997
7,2040-2059,27.2465869375
7,2060-2079,27.251855625000005
7,2080-2099,27.2704006875
8,2020-2039,27.182613125000003
8,2040-2059,27.433134687500004
8,2060-2079,27.443694375000007
8,2080-2099,27.440912874999995
9,2020-2039,27.251992187500004
9,2040-2059,27.5347743125
9,2060-2079,27.5140755
9,2080-2099,27.52911625
10,2020-2039,27.237141375
10,2040-2059,27.4463485625
10,2060-2079,27.440442812500002
10,2080-2099,27.4906314375
11,2020-2039,27.0005798125
11,2040-2059,27.221606375
11,2060-2079,27.215755437499993
11,2080-2099,27.2884565625
12,2020-2039,26.72504525
12,2040-2059,26.9707469375
12,2060-2079,26.932716062500003
12,2080-2099,26.959815125
