Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,0.985009051875
1,2040-2059,1.3723313156249999
1,2060-2079,1.3094241249999998
1,2080-2099,1.283246167125
2,2020-2039,1.99832453875
2,2040-2059,2.019675315
2,2060-2079,2.0267183271875
2,2080-2099,1.986246398125
3,2020-2039,4.57288109875
3,2040-2059,4.7844056125
3,2060-2079,4.74048411125
3,2080-2099,4.673479800000001
4,2020-2039,8.754216025000002
4,2040-2059,9.16305261875
4,2060-2079,9.103821056249998
4,2080-2099,9.037640331250001
5,2020-2039,13.555431249999998
5,2040-2059,13.8676155625
5,2060-2079,13.978851062499999
5,2080-2099,13.83248421875
6,2020-2039,17.901129187500004
6,2040-2059,18.157606875
6,2060-2079,18.1211434375
6,2080-2099,17.904187750000002
7,2020-2039,19.762541875
7,2040-2059,20.161694249999996
7,2060-2079,20.1102120625
7,2080-2099,20.009238125000003
8,2020-2039,18.65501284375
8,2040-2059,19.0282596875
8,2060-2079,19.036568312500002
8,2080-2099,18.892109656250003
9,2020-2039,14.534309937499998
9,2040-2059,14.934101
9,2060-2079,14.89816378125
9,2080-2099,14.680652374999996
10,2020-2039,9.696825625
10,2040-2059,9.82863453125
10,2060-2079,9.9266264125
10,2080-2099,9.783378412500001
11,2020-2039,5.29182205625
11,2040-2059,5.396235387500001
11,2060-2079,5.512023512500001
11,2080-2099,5.431751950000001
12,2020-2039,2.39242087875
12,2040-2059,2.332164369375
12,2060-2079,2.4564358500000005
12,2080-2099,2.454254015625
