Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,-0.7043849887499999
1,2040-2059,-0.40468357356250007
1,2060-2079,-0.44797716750000005
1,2080-2099,-0.5158009912499999
2,2020-2039,0.2296517131249999
2,2040-2059,0.50014961896875
2,2060-2079,0.49054488937499985
2,2080-2099,0.38506319187500004
3,2020-2039,3.329252375
3,2040-2059,3.756883183125
3,2060-2079,3.77796075
3,2080-2099,3.5623851437500003
4,2020-2039,7.97526585
4,2040-2059,8.30845475625
4,2060-2079,8.272117937500001
4,2080-2099,8.03823344375
5,2020-2039,12.912568812499998
5,2040-2059,13.244256468749999
5,2060-2079,13.2337950625
5,2080-2099,13.223991250000001
6,2020-2039,17.740813249999995
6,2040-2059,17.9896211875
6,2060-2079,17.962403156249998
6,2080-2099,18.0932895
7,2020-2039,21.316390875
7,2040-2059,21.663308812500002
7,2060-2079,21.520120875
7,2080-2099,21.700146375000003
8,2020-2039,20.901798375
8,2040-2059,21.153579562499996
8,2060-2079,21.219064062500003
8,2080-2099,21.178738624999994
9,2020-2039,16.11342359375
9,2040-2059,16.40935225
9,2060-2079,16.387056875
9,2080-2099,16.457736
10,2020-2039,9.92305556875
10,2040-2059,10.403842124999999
10,2060-2079,10.046580062500002
10,2080-2099,10.220007906250004
11,2020-2039,4.57359980625
11,2040-2059,4.806144368749999
11,2060-2079,4.628505624999999
11,2080-2099,4.90050214375
12,2020-2039,0.7588246310624999
12,2040-2059,1.0299102184375
12,2060-2079,0.9562690125000002
12,2080-2099,0.950542970625
