Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,27.654513875000003
1,2040-2059,27.869463
1,2060-2079,27.899913937500003
1,2080-2099,27.840167062499997
2,2020-2039,28.978081875
2,2040-2059,29.222465500000002
2,2060-2079,29.311963624999997
2,2080-2099,29.325709124999996
3,2020-2039,29.783551499999998
3,2040-2059,30.046985624999994
3,2060-2079,30.148291874999998
3,2080-2099,30.073711999999993
4,2020-2039,29.360021874999997
4,2040-2059,29.594209249999995
4,2060-2079,29.710822124999996
4,2080-2099,29.620258
5,2020-2039,28.41334075
5,2040-2059,28.6241939375
5,2060-2079,28.751833562499996
5,2080-2099,28.651755875000003
6,2020-2039,27.419786875
6,2040-2059,27.6047639375
6,2060-2079,27.696431500000003
6,2080-2099,27.644722
7,2020-2039,26.51799875
7,2040-2059,26.744227
7,2060-2079,26.795966999999997
7,2080-2099,26.796382499999996
8,2020-2039,26.007759812499998
8,2040-2059,26.211359500000004
8,2060-2079,26.229377687499994
8,2080-2099,26.288633125
9,2020-2039,26.242900187500002
9,2040-2059,26.4185119375
9,2060-2079,26.466506437499998
9,2080-2099,26.455279875000002
10,2020-2039,26.807520750000002
10,2040-2059,27.008110562499997
10,2060-2079,27.0513749375
10,2080-2099,27.036478937500004
11,2020-2039,27.1225914375
11,2040-2059,27.2846635
11,2060-2079,27.285766499999998
11,2080-2099,27.292175749999995
12,2020-2039,26.6818400625
12,2040-2059,26.767360687500002
12,2060-2079,26.881730187499993
12,2080-2099,26.875827124999997
