Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,22.9494468125
1,2040-2059,23.308595624999995
1,2060-2079,23.3074705625
1,2080-2099,23.156654875
2,2020-2039,23.764298874999998
2,2040-2059,24.098267562500002
2,2060-2079,24.047687875
2,2080-2099,23.9293249375
3,2020-2039,25.471151124999995
3,2040-2059,25.732594062500002
3,2060-2079,25.8656538125
3,2080-2099,25.6832608125
4,2020-2039,27.2085549375
4,2040-2059,27.43385075
4,2060-2079,27.503105999999995
4,2080-2099,27.41326625
5,2020-2039,27.6502179375
5,2040-2059,27.8757719375
5,2060-2079,27.996346062500002
5,2080-2099,27.8762178125
6,2020-2039,27.212559562499997
6,2040-2059,27.490550250000005
6,2060-2079,27.549028250000003
6,2080-2099,27.439676250000005
7,2020-2039,27.1169960625
7,2040-2059,27.441553999999996
7,2060-2079,27.4653844375
7,2080-2099,27.4003454375
8,2020-2039,27.2403986875
8,2040-2059,27.56112175
8,2060-2079,27.55891025
8,2080-2099,27.469919312500004
9,2020-2039,26.571007437500004
9,2040-2059,26.968586124999998
9,2060-2079,26.869007
9,2080-2099,26.8675515
10,2020-2039,25.7753763125
10,2040-2059,26.025330937499998
10,2060-2079,25.9773455
10,2080-2099,26.009066312500003
11,2020-2039,24.689146249999997
11,2040-2059,24.9232435
11,2060-2079,24.9729770625
11,2080-2099,24.80956
12,2020-2039,23.5085435625
12,2040-2059,23.801212250000003
12,2060-2079,23.7369354375
12,2080-2099,23.7396419375
