Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,9.0389114875
1,2040-2059,9.386000674999998
1,2060-2079,9.25583950625
1,2080-2099,9.194048812500004
2,2020-2039,11.622872312500002
2,2040-2059,12.013359437500002
2,2060-2079,11.927942312499999
2,2080-2099,11.8044573125
3,2020-2039,16.255497875000003
3,2040-2059,16.60826346875
3,2060-2079,16.573285374999998
3,2080-2099,16.465303125
4,2020-2039,21.4705505
4,2040-2059,21.723775000000007
4,2060-2079,21.774716750000003
4,2080-2099,21.5971026875
5,2020-2039,26.993617937499998
5,2040-2059,27.398367812500002
5,2060-2079,27.3402498125
5,2080-2099,27.3051826875
6,2020-2039,33.0803335
6,2040-2059,33.460342000000004
6,2060-2079,33.420437375000006
6,2080-2099,33.336819437500004
7,2020-2039,36.5891293125
7,2040-2059,36.848302125
7,2060-2079,36.81816643750001
7,2080-2099,36.868354
8,2020-2039,36.074445125
8,2040-2059,36.39771475
8,2060-2079,36.2954570625
8,2080-2099,36.202952187499996
9,2020-2039,31.357982874999998
9,2040-2059,31.754481562499997
9,2060-2079,31.681295125
9,2080-2099,31.6269765625
10,2020-2039,23.572544000000004
10,2040-2059,24.037147062499997
10,2060-2079,23.760434500000002
10,2080-2099,23.83132025
11,2020-2039,15.531792124999997
11,2040-2059,15.755157999999998
11,2060-2079,15.520020875
11,2080-2099,15.73486059375
12,2020-2039,9.971097
12,2040-2059,10.364922875
12,2060-2079,10.2458629875
12,2080-2099,10.213669193749999
