Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,12.741930718749998
1,2040-2059,13.079552625000002
1,2060-2079,13.00537271875
1,2080-2099,12.979452875000002
2,2020-2039,13.803305218750001
2,2040-2059,14.08654075
2,2060-2079,14.023118531249997
2,2080-2099,13.953650187500001
3,2020-2039,16.1828855625
3,2040-2059,16.5559020625
3,2060-2079,16.532058499999998
3,2080-2099,16.4818920625
4,2020-2039,19.40990825
4,2040-2059,19.64504
4,2060-2079,19.7114935625
4,2080-2099,19.599930812500002
5,2020-2039,22.9474215
5,2040-2059,23.277530187500002
5,2060-2079,23.206407875
5,2080-2099,23.1632959375
6,2020-2039,26.704313687500004
6,2040-2059,27.040651124999997
6,2060-2079,27.048378500000002
6,2080-2099,26.927423249999993
7,2020-2039,29.320937
7,2040-2059,29.578319375
7,2060-2079,29.4817073125
7,2080-2099,29.426187
8,2020-2039,29.655307250000003
8,2040-2059,29.9851001875
8,2060-2079,29.939749437499998
8,2080-2099,29.861213937499997
9,2020-2039,27.250905812500008
9,2040-2059,27.624573750000003
9,2060-2079,27.52212875
9,2080-2099,27.4764315625
10,2020-2039,22.975205749999997
10,2040-2059,23.308823
10,2060-2079,23.146360374999997
10,2080-2099,23.2041365625
11,2020-2039,17.9967688125
11,2040-2059,18.3102695625
11,2060-2079,18.127729437499998
11,2080-2099,18.273442937500004
12,2020-2039,14.037880781250001
12,2040-2059,14.365224093750003
12,2060-2079,14.310407812500001
12,2080-2099,14.246075343749999
