Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,25.240901375
1,2040-2059,25.453960937499996
1,2060-2079,25.512358624999997
1,2080-2099,25.483674125
2,2020-2039,25.385719125
2,2040-2059,25.576407875000005
2,2060-2079,25.638185499999995
2,2080-2099,25.620347187500006
3,2020-2039,25.858951124999994
3,2040-2059,26.082845250000002
3,2060-2079,26.1257675625
3,2080-2099,26.113812687499998
4,2020-2039,26.320880187499995
4,2040-2059,26.493094624999998
4,2060-2079,26.558518187499995
4,2080-2099,26.535804624999997
5,2020-2039,26.432160312499995
5,2040-2059,26.615168687500002
5,2060-2079,26.6635389375
5,2080-2099,26.631371187499997
6,2020-2039,26.4362215
6,2040-2059,26.615850312499994
6,2060-2079,26.663703375
6,2080-2099,26.6375126875
7,2020-2039,26.27519175
7,2040-2059,26.457525749999995
7,2060-2079,26.487588000000002
7,2080-2099,26.480943062499996
8,2020-2039,26.222829562500003
8,2040-2059,26.4057568125
8,2060-2079,26.4042778125
8,2080-2099,26.3723605
9,2020-2039,26.129442000000004
9,2040-2059,26.334796375
9,2060-2079,26.361466124999996
9,2080-2099,26.3280529375
10,2020-2039,26.050705062500008
10,2040-2059,26.214448125
10,2060-2079,26.2521405
10,2080-2099,26.223083812499997
11,2020-2039,25.897921687499995
11,2040-2059,26.05168575
11,2060-2079,26.104143125000004
11,2080-2099,26.077085187499996
12,2020-2039,25.576175875
12,2040-2059,25.742680125
12,2060-2079,25.76423725
12,2080-2099,25.762666
