Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,25.6307610625
1,2040-2059,25.8885414375
1,2060-2079,25.9167805
1,2080-2099,25.870050250000002
2,2020-2039,25.89050462499999
2,2040-2059,26.116648750000003
2,2060-2079,26.159516312500003
2,2080-2099,26.089007312499994
3,2020-2039,26.546307249999998
3,2040-2059,26.7615595625
3,2060-2079,26.842411187499998
3,2080-2099,26.7627806875
4,2020-2039,27.322327562500007
4,2040-2059,27.544416124999998
4,2060-2079,27.563534124999997
4,2080-2099,27.519893125
5,2020-2039,27.532421625
5,2040-2059,27.770012312500004
5,2060-2079,27.845472437499993
5,2080-2099,27.791641625
6,2020-2039,27.107815000000002
6,2040-2059,27.389918
6,2060-2079,27.398213000000002
6,2080-2099,27.364535937500005
7,2020-2039,27.06772
7,2040-2059,27.336154124999997
7,2060-2079,27.365186499999997
7,2080-2099,27.338543
8,2020-2039,27.514810250000004
8,2040-2059,27.7484738125
8,2060-2079,27.763265062500004
8,2080-2099,27.719063749999997
9,2020-2039,27.602852249999998
9,2040-2059,27.9003970625
9,2060-2079,27.862034125
9,2080-2099,27.874714125000004
10,2020-2039,27.37291175
10,2040-2059,27.594008749999997
10,2060-2079,27.5862678125
10,2080-2099,27.6089031875
11,2020-2039,26.7881060625
11,2040-2059,27.03074256249999
11,2060-2079,27.008278375000003
11,2080-2099,27.040917125
12,2020-2039,26.064338875
12,2040-2059,26.330381374999998
12,2060-2079,26.2797453125
12,2080-2099,26.280769187500002
