Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,25.032754
1,2040-2059,25.253011625
1,2060-2079,25.315697500000002
1,2080-2099,25.2733623125
2,2020-2039,24.6990605
2,2040-2059,24.9165316875
2,2060-2079,24.985006187499998
2,2080-2099,24.933690937500003
3,2020-2039,24.706390687499997
3,2040-2059,24.9161975625
3,2060-2079,24.992571187499998
3,2080-2099,24.9317021875
4,2020-2039,25.046377875000005
4,2040-2059,25.289703562499998
4,2060-2079,25.3448014375
4,2080-2099,25.274854
5,2020-2039,25.681737124999994
5,2040-2059,25.879209375
5,2060-2079,25.947920312500003
5,2080-2099,25.895293312500005
6,2020-2039,26.3530646875
6,2040-2059,26.5336856875
6,2060-2079,26.613768000000004
6,2080-2099,26.562915437500003
7,2020-2039,26.947733312500002
7,2040-2059,27.127101125
7,2060-2079,27.188546000000002
7,2080-2099,27.127338125000005
8,2020-2039,27.383457937499998
8,2040-2059,27.557591249999998
8,2060-2079,27.619069249999995
8,2080-2099,27.539681625
9,2020-2039,27.537603812499995
9,2040-2059,27.710101812499996
9,2060-2079,27.769121249999998
9,2080-2099,27.6948405625
10,2020-2039,27.31464812500001
10,2040-2059,27.4757148125
10,2060-2079,27.518240625
10,2080-2099,27.4570403125
11,2020-2039,26.647182937500002
11,2040-2059,26.8230298125
11,2060-2079,26.8721364375
11,2080-2099,26.801108749999997
12,2020-2039,25.787115375000003
12,2040-2059,25.964986312500002
12,2060-2079,26.01796975
12,2080-2099,25.9430966875
