Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,24.945521875000004
1,2040-2059,25.211736687500004
1,2060-2079,25.202315624999997
1,2080-2099,25.186362187500002
2,2020-2039,25.930507562499994
2,2040-2059,26.204120312500002
2,2060-2079,26.2455879375
2,2080-2099,26.169825687499994
3,2020-2039,27.376988187500004
3,2040-2059,27.598626437499995
3,2060-2079,27.7238653125
3,2080-2099,27.65474
4,2020-2039,28.493980062500004
4,2040-2059,28.6761903125
4,2060-2079,28.7564955625
4,2080-2099,28.681234999999997
5,2020-2039,28.634804874999997
5,2040-2059,28.843676000000002
5,2060-2079,28.893163375
5,2080-2099,28.817476562499998
6,2020-2039,28.136682312500003
6,2040-2059,28.3936939375
6,2060-2079,28.401280625
6,2080-2099,28.379531625
7,2020-2039,27.245768124999994
7,2040-2059,27.4805449375
7,2060-2079,27.457365624999994
7,2080-2099,27.498995062500004
8,2020-2039,27.184077062500002
8,2040-2059,27.4119695
8,2060-2079,27.414830937499996
8,2080-2099,27.427893937500002
9,2020-2039,27.464555624999996
9,2040-2059,27.649662437499998
9,2060-2079,27.699086
9,2080-2099,27.649366000000004
10,2020-2039,26.705624625
10,2040-2059,26.8831640625
10,2060-2079,26.891417374999996
10,2080-2099,26.838001624999997
11,2020-2039,25.6396529375
11,2040-2059,25.861796500000004
11,2060-2079,25.864354375
11,2080-2099,25.827130562500002
12,2020-2039,24.8278026875
12,2040-2059,25.094942312500002
12,2060-2079,25.119389937500003
12,2080-2099,25.055106812500004
