Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,3.6889926437500002
1,2040-2059,4.1349655875
1,2060-2079,3.9876182750000004
1,2080-2099,3.9324287625
2,2020-2039,4.531003537499999
2,2040-2059,4.72366536875
2,2060-2079,4.7616712375
2,2080-2099,4.63960120625
3,2020-2039,7.16759394375
3,2040-2059,7.404439037500001
3,2060-2079,7.34798835
3,2080-2099,7.327640412499999
4,2020-2039,11.186374843750002
4,2040-2059,11.479193
4,2060-2079,11.42532975
4,2080-2099,11.367030937500001
5,2020-2039,15.858084
5,2040-2059,16.18465615625
5,2060-2079,16.138538875000002
5,2080-2099,16.07203025
6,2020-2039,20.511713937499998
6,2040-2059,20.9143340625
6,2060-2079,20.663224999999997
6,2080-2099,20.734053499999995
7,2020-2039,23.3871283125
7,2040-2059,23.839927250000002
7,2060-2079,23.669186625
7,2080-2099,23.624021125
8,2020-2039,22.745860625000002
8,2040-2059,23.212103125
8,2060-2079,23.2194143125
8,2080-2099,23.097327
9,2020-2039,18.0231666875
9,2040-2059,18.518599750000003
9,2060-2079,18.417114375
9,2080-2099,18.19443
10,2020-2039,12.568634656250001
10,2040-2059,12.65993525
10,2060-2079,12.724059031249999
10,2080-2099,12.687113781250002
11,2020-2039,8.057346112500001
11,2040-2059,8.217969875
11,2060-2079,8.26375776875
11,2080-2099,8.2918521375
12,2020-2039,5.1216913875
12,2040-2059,5.239445118750001
12,2060-2079,5.1644536125
12,2080-2099,5.251436856249999
