Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,27.71053831249999
1,2040-2059,27.884794749999998
1,2060-2079,27.9174513125
1,2080-2099,27.8861138125
2,2020-2039,27.865449312500004
2,2040-2059,28.067281312500004
2,2060-2079,28.116175687500004
2,2080-2099,28.0784158125
3,2020-2039,28.237628812499995
3,2040-2059,28.421197281249995
3,2060-2079,28.500697312499998
3,2080-2099,28.455447968750004
4,2020-2039,28.4288620625
4,2040-2059,28.586013562500003
4,2060-2079,28.66120015625
4,2080-2099,28.617285499999994
5,2020-2039,27.878748968750003
5,2040-2059,28.02160134375
5,2060-2079,28.062292562499998
5,2080-2099,28.061279156249995
6,2020-2039,26.730914281250005
6,2040-2059,26.91327040625
6,2060-2079,26.94399371875
6,2080-2099,26.948524125
7,2020-2039,25.769503125000004
7,2040-2059,25.947485093749997
7,2060-2079,25.978028093749998
7,2080-2099,25.987251875
8,2020-2039,25.414468156249992
8,2040-2059,25.578304500000005
8,2060-2079,25.603219093749995
8,2080-2099,25.606683000000004
9,2020-2039,25.66306365625
9,2040-2059,25.808268437499997
9,2060-2079,25.82739559375
9,2080-2099,25.840440812500006
10,2020-2039,26.324345062499997
10,2040-2059,26.4677035
10,2060-2079,26.478688906250003
10,2080-2099,26.484054000000004
11,2020-2039,27.146013
11,2040-2059,27.265261937499996
11,2060-2079,27.288935312499994
11,2080-2099,27.275932156250004
12,2020-2039,27.607195968750002
12,2040-2059,27.75267965625
12,2060-2079,27.795577968750003
12,2080-2099,27.781270718750005
