Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,1.6678916615625
1,2040-2059,2.0616851463124997
1,2060-2079,1.9772268775000001
1,2080-2099,1.8779126593749997
2,2020-2039,3.76046523875
2,2040-2059,4.080069308124999
2,2060-2079,3.84333869375
2,2080-2099,3.871500018750001
3,2020-2039,8.702618118750001
3,2040-2059,8.96525813125
3,2060-2079,8.917992681249999
3,2080-2099,8.686520499999999
4,2020-2039,15.531133874999998
4,2040-2059,15.76708125
4,2060-2079,15.69540925
4,2080-2099,15.579593625000001
5,2020-2039,22.666274750000003
5,2040-2059,23.01948725
5,2060-2079,22.9055881875
5,2080-2099,22.949254874999998
6,2020-2039,28.573095249999994
6,2040-2059,28.852666749999997
6,2060-2079,28.820982312500004
6,2080-2099,28.7483579375
7,2020-2039,30.979570874999997
7,2040-2059,31.456202624999996
7,2060-2079,31.1870383125
7,2080-2099,31.170294875000003
8,2020-2039,28.916115937499995
8,2040-2059,29.134816500000003
8,2060-2079,29.303177625
8,2080-2099,28.9951150625
9,2020-2039,22.3880983125
9,2040-2059,22.737750812500003
9,2060-2079,22.729624125
9,2080-2099,22.642261499999996
10,2020-2039,14.38391103125
10,2040-2059,14.662527000000003
10,2060-2079,14.480995156250001
10,2080-2099,14.612535375
11,2020-2039,7.461162375000001
11,2040-2059,7.59854515625
11,2060-2079,7.38872245625
11,2080-2099,7.711246818749999
12,2020-2039,2.9247319499999995
12,2040-2059,3.2994483875
12,2060-2079,3.2449141687500003
12,2080-2099,3.2583747525
