Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,19.933299125
1,2040-2059,20.4077361875
1,2060-2079,21.058784312500002
1,2080-2099,21.177244125
2,2020-2039,22.5755383125
2,2040-2059,23.071588062500002
2,2060-2079,23.635754437499994
2,2080-2099,23.85294875
3,2020-2039,26.752374250000003
3,2040-2059,27.22349325
3,2060-2079,27.590666499999998
3,2080-2099,27.832695562500003
4,2020-2039,30.18428075
4,2040-2059,30.73619275
4,2060-2079,31.043632187500002
4,2080-2099,31.34211225
5,2020-2039,31.383762187500004
5,2040-2059,31.799767624999994
5,2060-2079,32.149660375
5,2080-2099,32.465589
6,2020-2039,30.897396437500003
6,2040-2059,31.156270312499995
6,2060-2079,31.6156398125
6,2080-2099,31.8442885
7,2020-2039,29.293023249999997
7,2040-2059,29.549564562499995
7,2060-2079,30.000186874999997
7,2080-2099,30.189356624999995
8,2020-2039,28.633168187500004
8,2040-2059,28.9525305
8,2060-2079,29.370670062500004
8,2080-2099,29.503096687499998
9,2020-2039,28.411196375
9,2040-2059,28.7761630625
9,2060-2079,29.131548062499995
9,2080-2099,29.320076812499998
10,2020-2039,27.029435562500005
10,2040-2059,27.410537750000003
10,2060-2079,27.758709687500005
10,2080-2099,27.980505249999997
11,2020-2039,23.749764624999997
11,2040-2059,24.171919375
11,2060-2079,24.6303384375
11,2080-2099,24.910559874999997
12,2020-2039,20.21233025
12,2040-2059,20.8482569375
12,2060-2079,21.411599312499995
12,2080-2099,21.644752375000003
