Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,6.99310739375
1,2040-2059,7.359289462499999
1,2060-2079,7.87496900625
1,2080-2099,8.027302443750001
2,2020-2039,7.432219181249999
2,2040-2059,7.792713474999999
2,2060-2079,7.95938994375
2,2080-2099,8.2926909875
3,2020-2039,9.228678275000002
3,2040-2059,9.72259964375
3,2060-2079,10.064990843750001
3,2080-2099,10.157480312499999
4,2020-2039,12.394929874999999
4,2040-2059,12.816217937500001
4,2060-2079,13.047734875000002
4,2080-2099,13.35250815625
5,2020-2039,16.449975499999997
5,2040-2059,17.026996750000002
5,2060-2079,17.414479125
5,2080-2099,17.49682684375
6,2020-2039,21.047283125
6,2040-2059,21.765763187500003
6,2060-2079,22.206279875
6,2080-2099,22.2814248125
7,2020-2039,24.219787187500003
7,2040-2059,24.782504437500005
7,2060-2079,25.351741124999997
7,2080-2099,25.498349812499995
8,2020-2039,23.969113624999995
8,2040-2059,24.6111408125
8,2060-2079,25.176242375
8,2080-2099,25.35730125
9,2020-2039,19.947882874999998
9,2040-2059,20.3577109375
9,2060-2079,21.046341124999998
9,2080-2099,21.1897756875
10,2020-2039,15.03984825
10,2040-2059,15.643606875
10,2060-2079,15.9372919375
10,2080-2099,16.345548312500004
11,2020-2039,11.256111375000001
11,2040-2059,11.55575434375
11,2060-2079,12.0045189375
11,2080-2099,12.241807968749997
12,2020-2039,8.336359762499999
12,2040-2059,8.79600178125
12,2060-2079,9.29575493125
12,2080-2099,9.287044774999998
