Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,24.084392625
1,2040-2059,24.555854874999998
1,2060-2079,24.970791687500004
1,2080-2099,25.204340000000006
2,2020-2039,25.531136999999994
2,2040-2059,25.976933312499995
2,2060-2079,26.419818437500002
2,2080-2099,26.633981999999996
3,2020-2039,26.310084749999998
3,2040-2059,26.785994562499994
3,2060-2079,27.201826812499995
3,2080-2099,27.403732687500007
4,2020-2039,25.926788062500002
4,2040-2059,26.402147624999994
4,2060-2079,26.74669525
4,2080-2099,26.931241625000002
5,2020-2039,25.330906437500005
5,2040-2059,25.779139124999997
5,2060-2079,26.140773125000003
5,2080-2099,26.3139835625
6,2020-2039,24.7935884375
6,2040-2059,25.281657250000002
6,2060-2079,25.6419924375
6,2080-2099,25.783135937500006
7,2020-2039,24.428016749999998
7,2040-2059,24.871044437499997
7,2060-2079,25.2298545
7,2080-2099,25.407977875
8,2020-2039,24.258975062500003
8,2040-2059,24.731777812500003
8,2060-2079,25.067978812499998
8,2080-2099,25.238826312499995
9,2020-2039,24.3659214375
9,2040-2059,24.828909125000006
9,2060-2079,25.1746435
9,2080-2099,25.3428498125
10,2020-2039,24.468873312499998
10,2040-2059,24.935582187500003
10,2060-2079,25.238631437500004
10,2080-2099,25.430670250000002
11,2020-2039,24.304258375000007
11,2040-2059,24.753368875000003
11,2060-2079,25.0996348125
11,2080-2099,25.3117975625
12,2020-2039,23.619846437499998
12,2040-2059,24.151267499999996
12,2060-2079,24.496081687500006
12,2080-2099,24.7062370625
