Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,24.960069999999998
1,2040-2059,25.4458890625
1,2060-2079,25.804820499999998
1,2080-2099,25.998692749999993
2,2020-2039,25.716168812500005
2,2040-2059,26.150981374999997
2,2060-2079,26.5178075625
2,2080-2099,26.7041539375
3,2020-2039,26.020394374999995
3,2040-2059,26.461725812499996
3,2060-2079,26.833165124999997
3,2080-2099,26.985948
4,2020-2039,25.781493812500003
4,2040-2059,26.243188312500003
4,2060-2079,26.5671144375
4,2080-2099,26.7378855625
5,2020-2039,25.497560375
5,2040-2059,25.944790500000003
5,2060-2079,26.308792875000005
5,2080-2099,26.471098874999996
6,2020-2039,25.07832175
6,2040-2059,25.593763250000006
6,2060-2079,25.975245500000007
6,2080-2099,26.132834250000002
7,2020-2039,25.004241375
7,2040-2059,25.508539687500004
7,2060-2079,25.85395075
7,2080-2099,26.079169875
8,2020-2039,25.0977439375
8,2040-2059,25.64413275
8,2060-2079,25.969200125
8,2080-2099,26.185261937499998
9,2020-2039,25.258230437499996
9,2040-2059,25.752490875
9,2060-2079,26.101267562500002
9,2080-2099,26.281013000000005
10,2020-2039,25.173631125000004
10,2040-2059,25.652598125000008
10,2060-2079,25.9904088125
10,2080-2099,26.177021687499995
11,2020-2039,24.900408437499998
11,2040-2059,25.309079749999995
11,2060-2079,25.6360689375
11,2080-2099,25.8409649375
12,2020-2039,24.6366905625
12,2040-2059,25.1258104375
12,2060-2079,25.423177625
12,2080-2099,25.6149891875
