Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,25.464876124999996
1,2040-2059,25.911234250000003
1,2060-2079,26.239878875000002
1,2080-2099,26.404384687500002
2,2020-2039,26.013204624999997
2,2040-2059,26.442566937500004
2,2060-2079,26.7609891875
2,2080-2099,26.934144874999994
3,2020-2039,26.4260908125
3,2040-2059,26.8312786875
3,2060-2079,27.182964249999998
3,2080-2099,27.343096312500002
4,2020-2039,26.387300125000003
4,2040-2059,26.802808249999995
4,2060-2079,27.1154895
4,2080-2099,27.270788062500003
5,2020-2039,26.0852994375
5,2040-2059,26.48227575
5,2060-2079,26.836645062499997
5,2080-2099,26.994909250000003
6,2020-2039,25.7028988125
6,2040-2059,26.1368705625
6,2060-2079,26.490584125
6,2080-2099,26.614420874999997
7,2020-2039,25.264426874999998
7,2040-2059,25.67606425
7,2060-2079,26.0086833125
7,2080-2099,26.1827651875
8,2020-2039,25.0836185
8,2040-2059,25.517645187499998
8,2060-2079,25.83397375
8,2080-2099,26.017478562500003
9,2020-2039,25.3450356875
9,2040-2059,25.76363775
9,2060-2079,26.104200312500005
9,2080-2099,26.266194375000005
10,2020-2039,25.466902374999997
10,2040-2059,25.886395562499995
10,2060-2079,26.210276750000006
10,2080-2099,26.3800513125
11,2020-2039,25.3777119375
11,2040-2059,25.7564755625
11,2060-2079,26.0685083125
11,2080-2099,26.2375265
12,2020-2039,25.266370125000005
12,2040-2059,25.695291875
12,2060-2079,25.985375937500002
12,2080-2099,26.167076
