Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,9.94866034375
1,2040-2059,10.2981375
1,2060-2079,10.69435621875
1,2080-2099,10.894289624999999
2,2020-2039,10.2473931875
2,2040-2059,10.592576125
2,2060-2079,10.807865312499999
2,2080-2099,11.108534906249998
3,2020-2039,11.724307000000001
3,2040-2059,12.311108218749998
3,2060-2079,12.652974281250001
3,2080-2099,12.746854875
4,2020-2039,14.643547843749996
4,2040-2059,15.132376812499999
4,2060-2079,15.489436031249998
4,2080-2099,15.74754834375
5,2020-2039,18.641772624999998
5,2040-2059,19.207162312499996
5,2060-2079,19.701624312499998
5,2080-2099,19.898580625
6,2020-2039,23.466042812500003
6,2040-2059,24.0974111875
6,2060-2079,24.6179040625
6,2080-2099,24.7735821875
7,2020-2039,26.915918875000003
7,2040-2059,27.530702687499996
7,2060-2079,28.170306312500006
7,2080-2099,28.399244062500003
8,2020-2039,26.962581249999996
8,2040-2059,27.658267187499995
8,2060-2079,28.274951875
8,2080-2099,28.4827239375
9,2020-2039,23.087662437499997
9,2040-2059,23.584340812500002
9,2060-2079,24.228364812499997
9,2080-2099,24.352176874999998
10,2020-2039,18.06125675
10,2040-2059,18.685650999999996
10,2060-2079,19.010906250000005
10,2080-2099,19.3346855
11,2020-2039,14.21320484375
11,2040-2059,14.506026281249996
11,2060-2079,14.90785665625
11,2080-2099,15.144809499999997
12,2020-2039,11.281685812499997
12,2040-2059,11.756295968749999
12,2060-2079,12.167313468750002
12,2080-2099,12.175329
