Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,2.6976325477500005
1,2040-2059,3.1197251387500002
1,2060-2079,3.61630729375
1,2080-2099,3.780420125
2,2020-2039,3.7700473099999994
2,2040-2059,4.180541262499999
2,2060-2079,4.32586875625
2,2080-2099,4.6505543
3,2020-2039,6.844690118749999
3,2040-2059,7.25717956875
3,2060-2079,7.62968143125
3,2080-2099,7.6457433250000015
4,2020-2039,11.268742093750001
4,2040-2059,11.6463824375
4,2060-2079,11.88266365625
4,2080-2099,12.178235687499999
5,2020-2039,16.164285406250002
5,2040-2059,16.69839925
5,2060-2079,17.1127505625
5,2080-2099,17.104893562499996
6,2020-2039,20.6896328125
6,2040-2059,21.448238750000005
6,2060-2079,21.910625874999997
6,2080-2099,21.966118749999996
7,2020-2039,23.289414812500002
7,2040-2059,23.886237562500003
7,2060-2079,24.448591375
7,2080-2099,24.638043062499996
8,2020-2039,22.426273875
8,2040-2059,23.048251625
8,2060-2079,23.6778328125
8,2080-2099,23.839196062499994
9,2020-2039,17.5783729375
9,2040-2059,17.9786899375
9,2060-2079,18.739989687500003
9,2080-2099,18.9104890625
10,2020-2039,11.785718218750002
10,2040-2059,12.45676734375
10,2060-2079,12.695704875000002
10,2080-2099,13.086202843750002
11,2020-2039,7.2798606875
11,2040-2059,7.58269154375
11,2060-2079,8.0453343375
11,2080-2099,8.2499299875
12,2020-2039,3.89109276875
12,2040-2059,4.477291731249999
12,2060-2079,5.00484113125
12,2080-2099,4.8744993
