Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,7.74436295625
1,2040-2059,8.0136732
1,2060-2079,8.0370705125
1,2080-2099,8.0538037125
2,2020-2039,7.48767300625
2,2040-2059,7.7118336125
2,2060-2079,7.752239262499999
2,2080-2099,7.8659780625
3,2020-2039,8.05451603125
3,2040-2059,8.21425316875
3,2060-2079,8.18772888125
3,2080-2099,8.288739850000002
4,2020-2039,9.25206965625
4,2040-2059,9.48303656875
4,2060-2079,9.48192163125
4,2080-2099,9.67059064375
5,2020-2039,11.499506
5,2040-2059,11.8452815
5,2060-2079,11.826446281250002
5,2080-2099,11.90503734375
6,2020-2039,14.1289840625
6,2040-2059,14.591819156249999
6,2060-2079,14.723971937499998
6,2080-2099,14.7942580625
7,2020-2039,16.126077249999998
7,2040-2059,16.5366103125
7,2060-2079,16.676744999999997
7,2080-2099,16.85923975
8,2020-2039,16.238822687499997
8,2040-2059,16.633902875
8,2060-2079,16.751597531250003
8,2080-2099,16.90892315625
9,2020-2039,14.643255343749999
9,2040-2059,15.020796312500002
9,2060-2079,15.154137500000001
9,2080-2099,15.3395879375
10,2020-2039,12.2814490625
10,2040-2059,12.538118687499999
10,2060-2079,12.622673656249999
10,2080-2099,12.7982794375
11,2020-2039,9.937556249999998
11,2040-2059,10.24385274375
11,2060-2079,10.260637375
11,2080-2099,10.388839031249997
12,2020-2039,8.5691787875
12,2040-2059,8.785588525000001
12,2060-2079,8.818700275000001
12,2080-2099,8.99706913125
