Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,24.4987650625
1,2040-2059,24.9571246875
1,2060-2079,25.233985062500004
1,2080-2099,25.353579187499996
2,2020-2039,25.6390760625
2,2040-2059,26.065100375000007
2,2060-2079,26.421645625000004
2,2080-2099,26.48781575
3,2020-2039,26.328439812499994
3,2040-2059,26.7771315625
3,2060-2079,27.156179562500004
3,2080-2099,27.2761965625
4,2020-2039,26.1443669375
4,2040-2059,26.571160874999997
4,2060-2079,26.91761075
4,2080-2099,27.072593687500007
5,2020-2039,25.059867250000003
5,2040-2059,25.4723038125
5,2060-2079,25.894007875
5,2080-2099,26.0104075625
6,2020-2039,24.0278648125
6,2040-2059,24.511412249999992
6,2060-2079,24.898480749999997
6,2080-2099,25.052123125
7,2020-2039,23.643008875000003
7,2040-2059,24.0585894375
7,2060-2079,24.5160358125
7,2080-2099,24.624264750000005
8,2020-2039,23.9037139375
8,2040-2059,24.372794937499997
8,2060-2079,24.760002374999996
8,2080-2099,24.950950312499998
9,2020-2039,24.512467187500004
9,2040-2059,25.019156125000002
9,2060-2079,25.343061624999997
9,2080-2099,25.512366999999998
10,2020-2039,24.553980250000002
10,2040-2059,25.01163025
10,2060-2079,25.284366875
10,2080-2099,25.4513895
11,2020-2039,23.908687999999998
11,2040-2059,24.2635656875
11,2060-2079,24.5818935
11,2080-2099,24.750199312500005
12,2020-2039,23.714452062499998
12,2040-2059,24.115651937499997
12,2060-2079,24.398783312499997
12,2080-2099,24.504925625000002
