Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,12.714430375000001
1,2040-2059,13.290325625000001
1,2060-2079,13.6086363125
1,2080-2099,13.844717437499996
2,2020-2039,15.529962124999997
2,2040-2059,16.047573437500002
2,2060-2079,16.2008445
2,2080-2099,16.448906125
3,2020-2039,19.938011
3,2040-2059,20.8603988125
3,2060-2079,21.1438265
3,2080-2099,21.305948875000002
4,2020-2039,25.2503158125
4,2040-2059,26.018359499999995
4,2060-2079,26.5775080625
4,2080-2099,26.6619683125
5,2020-2039,30.878111062500004
5,2040-2059,31.444400062499998
5,2060-2079,32.192395187500004
5,2080-2099,32.309576687500005
6,2020-2039,36.8743905625
6,2040-2059,37.56542537499999
6,2060-2079,38.1053768125
6,2080-2099,38.2738200625
7,2020-2039,39.381704375000005
7,2040-2059,40.20701175
7,2060-2079,40.758829750000004
7,2080-2099,40.897485874999994
8,2020-2039,38.683464875
8,2040-2059,39.504229375
8,2060-2079,40.016155499999996
8,2080-2099,40.239381374999994
9,2020-2039,34.769275375
9,2040-2059,35.630221375
9,2060-2079,36.100986999999996
9,2080-2099,36.341297625
10,2020-2039,27.745761750000003
10,2040-2059,28.5892048125
10,2060-2079,29.114339062499997
10,2080-2099,29.184541687499998
11,2020-2039,19.4121895
11,2040-2059,20.0173336875
11,2060-2079,20.399004374999997
11,2080-2099,20.683465812499996
12,2020-2039,13.829620906249998
12,2040-2059,14.369462875000002
12,2060-2079,14.654060375
12,2080-2099,14.8673530625
