Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,26.512258562500005
1,2040-2059,26.916666375
1,2060-2079,27.208168999999998
1,2080-2099,27.377846062499998
2,2020-2039,26.862832312499997
2,2040-2059,27.2637199375
2,2060-2079,27.5778261875
2,2080-2099,27.750102125
3,2020-2039,27.91842275
3,2040-2059,28.318911687500005
3,2060-2079,28.646993812500003
3,2080-2099,28.80721381249999
4,2020-2039,28.987748375000006
4,2040-2059,29.40895775
4,2060-2079,29.707093249999993
4,2080-2099,29.899695187499997
5,2020-2039,28.9278570625
5,2040-2059,29.38442425
5,2060-2079,29.6334591875
5,2080-2099,29.875397937499997
6,2020-2039,28.179707375
6,2040-2059,28.5811716875
6,2060-2079,28.8817064375
6,2080-2099,29.07337075
7,2020-2039,27.587516125000004
7,2040-2059,27.977003937499997
7,2060-2079,28.285142875
7,2080-2099,28.455212124999996
8,2020-2039,27.4345721875
8,2040-2059,27.834069062500003
8,2060-2079,28.115730937499997
8,2080-2099,28.2527598125
9,2020-2039,27.4256788125
9,2040-2059,27.827975624999997
9,2060-2079,28.12850725
9,2080-2099,28.286362875000005
10,2020-2039,27.4580904375
10,2040-2059,27.815592375
10,2060-2079,28.096876999999996
10,2080-2099,28.253765875000003
11,2020-2039,27.2730379375
11,2040-2059,27.6315534375
11,2060-2079,27.930208375
11,2080-2099,28.103613624999998
12,2020-2039,26.804374875
12,2040-2059,27.166478
12,2060-2079,27.4925496875
12,2080-2099,27.6199215
