Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,-2.0713307629375
1,2040-2059,-1.0622373843750001
1,2060-2079,-0.74856538125
1,2080-2099,-0.5413013781249999
2,2020-2039,-1.2154093720625003
2,2040-2059,-0.7813405681250003
2,2060-2079,-0.2950631699999998
2,2080-2099,-0.05487933625000013
3,2020-2039,2.19874856375
3,2040-2059,2.7037074943749997
3,2060-2079,3.0941010250000005
3,2080-2099,2.99614248125
4,2020-2039,7.8672974374999995
4,2040-2059,8.287599356249999
4,2060-2079,8.567511725
4,2080-2099,8.596334774999999
5,2020-2039,14.062328375
5,2040-2059,14.3382479375
5,2060-2079,14.6843129375
5,2080-2099,14.675858031249996
6,2020-2039,18.437319999999996
6,2040-2059,19.137819249999996
6,2060-2079,19.5523040625
6,2080-2099,19.516521625
7,2020-2039,20.380056125
7,2040-2059,21.026756687499997
7,2060-2079,21.463509125
7,2080-2099,21.6428063125
8,2020-2039,18.821293312499996
8,2040-2059,19.403035312500002
8,2060-2079,19.8102763125
8,2080-2099,19.956720062499997
9,2020-2039,14.013092812499998
9,2040-2059,14.45128771875
9,2060-2079,14.925305999999999
9,2080-2099,15.1261524375
10,2020-2039,8.540015937500002
10,2040-2059,9.1493336125
10,2060-2079,9.34828271875
10,2080-2099,9.789335662500001
11,2020-2039,3.701097675
11,2040-2059,4.0774205312500005
11,2060-2079,4.55653395625
11,2080-2099,4.623516093750001
12,2020-2039,-0.22990998124999995
12,2040-2059,0.6378073031250001
12,2060-2079,1.2797379425
12,2080-2099,1.0210167048749998
