Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,7.82330265625
1,2040-2059,8.18102400625
1,2060-2079,8.679943556249999
1,2080-2099,8.86575240625
2,2020-2039,8.17436179375
2,2040-2059,8.549250081250001
2,2060-2079,8.73095104375
2,2080-2099,9.07504388125
3,2020-2039,9.809155375000003
3,2040-2059,10.360901000000002
3,2060-2079,10.709723906250002
3,2080-2099,10.813529875
4,2020-2039,12.902987937499999
4,2040-2059,13.356141124999999
4,2060-2079,13.593013843749999
4,2080-2099,13.911706062500002
5,2020-2039,16.8891841875
5,2040-2059,17.493645562500003
5,2060-2079,17.87862025
5,2080-2099,18.0005936875
6,2020-2039,21.553933999999998
6,2040-2059,22.267990312499997
6,2060-2079,22.721033875000003
6,2080-2099,22.8277511875
7,2020-2039,24.828751562499995
7,2040-2059,25.438332812499997
7,2060-2079,26.033605562500004
7,2080-2099,26.182500687500003
8,2020-2039,24.688515375
8,2040-2059,25.414083312500004
8,2060-2079,25.99019625
8,2080-2099,26.1868863125
9,2020-2039,20.6687915625
9,2040-2059,21.140422437499996
9,2060-2079,21.819739249999998
9,2080-2099,21.9515691875
10,2020-2039,15.7238320625
10,2040-2059,16.36060196875
10,2060-2079,16.682183
10,2080-2099,17.0763113125
11,2020-2039,12.014091093750002
11,2040-2059,12.320645093749999
11,2060-2079,12.750979749999999
11,2080-2099,13.007943374999998
12,2020-2039,9.1424274125
12,2040-2059,9.635026687500002
12,2060-2079,10.134412875
12,2080-2099,10.14775521875
