Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,21.365307
1,2040-2059,21.83873
1,2060-2079,22.231397124999994
1,2080-2099,22.444342562499997
2,2020-2039,21.4820209375
2,2040-2059,21.9589619375
2,2060-2079,22.3391668125
2,2080-2099,22.519018812500004
3,2020-2039,21.434842125
3,2040-2059,21.921137062499998
3,2060-2079,22.28152325
3,2080-2099,22.485351937500003
4,2020-2039,20.982974999999996
4,2040-2059,21.48551425
4,2060-2079,21.867911062500003
4,2080-2099,22.053557562500004
5,2020-2039,20.191585500000002
5,2040-2059,20.77740475
5,2060-2079,21.157640437500003
5,2080-2099,21.383404687500004
6,2020-2039,19.7363138125
6,2040-2059,20.3474209375
6,2060-2079,20.781155187499998
6,2080-2099,20.9401741875
7,2020-2039,20.1407673125
7,2040-2059,20.800520312500005
7,2060-2079,21.2251774375
7,2080-2099,21.4126223125
8,2020-2039,21.341801312500007
8,2040-2059,21.934631187499996
8,2060-2079,22.433387875
8,2080-2099,22.603776187499996
9,2020-2039,22.086134062499998
9,2040-2059,22.6938851875
9,2060-2079,23.159184375000002
9,2080-2099,23.41170175
10,2020-2039,22.072538562499997
10,2040-2059,22.67919175
10,2060-2079,23.095025812500005
10,2080-2099,23.294971000000004
11,2020-2039,21.610641062499994
11,2040-2059,22.199022
11,2060-2079,22.614289812499994
11,2080-2099,22.7928025
12,2020-2039,21.37949975
12,2040-2059,21.902356312499997
12,2060-2079,22.227621000000003
12,2080-2099,22.4119500625
