Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,22.828207312500002
1,2040-2059,23.367483500000002
1,2060-2079,23.670714125
1,2080-2099,23.8622709375
2,2020-2039,23.9625593125
2,2040-2059,24.436670062499996
2,2060-2079,24.768230687500004
2,2080-2099,24.894160937500004
3,2020-2039,24.457124999999998
3,2040-2059,24.984024375
3,2060-2079,25.250387562500002
3,2080-2099,25.4215213125
4,2020-2039,24.099986499999996
4,2040-2059,24.618558187500003
4,2060-2079,24.898369750000004
4,2080-2099,25.0730113125
5,2020-2039,23.372475624999996
5,2040-2059,23.89178125
5,2060-2079,24.263560749999996
5,2080-2099,24.4047925625
6,2020-2039,22.857965875
6,2040-2059,23.426112625
6,2060-2079,23.8027299375
6,2080-2099,23.939652937499996
7,2020-2039,22.9167643125
7,2040-2059,23.41975625
7,2060-2079,23.850464499999998
7,2080-2099,23.9561633125
8,2020-2039,23.30898325
8,2040-2059,23.908823999999992
8,2060-2079,24.248246124999998
8,2080-2099,24.432908875000003
9,2020-2039,23.348249999999997
9,2040-2059,23.927507
9,2060-2079,24.26664
9,2080-2099,24.419341374999995
10,2020-2039,22.860369937500003
10,2040-2059,23.3840270625
10,2060-2079,23.7220889375
10,2080-2099,23.8420458125
11,2020-2039,22.366424687499993
11,2040-2059,22.8347635625
11,2060-2079,23.162615562500005
11,2080-2099,23.3210953125
12,2020-2039,22.154979125
12,2040-2059,22.684569937500004
12,2060-2079,22.9430655625
12,2080-2099,23.093085062500002
