Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,28.289154374999995
1,2040-2059,28.555689750000003
1,2060-2079,28.838431437499995
1,2080-2099,28.95597275
2,2020-2039,28.577872812499997
2,2040-2059,28.8361080625
2,2060-2079,29.147418124999994
2,2080-2099,29.2592050625
3,2020-2039,28.6628205625
3,2040-2059,28.950842999999995
3,2060-2079,29.2469280625
3,2080-2099,29.3500535625
4,2020-2039,28.4904248125
4,2040-2059,28.81243175
4,2060-2079,29.089052249999998
4,2080-2099,29.188833624999997
5,2020-2039,27.981649875
5,2040-2059,28.278994437499996
5,2060-2079,28.549493312499994
5,2080-2099,28.661106
6,2020-2039,27.213937062499998
6,2040-2059,27.465104
6,2060-2079,27.751285062500003
6,2080-2099,27.8745345625
7,2020-2039,26.651596625000003
7,2040-2059,26.87787625
7,2060-2079,27.165129625
7,2080-2099,27.277275812499997
8,2020-2039,26.4063128125
8,2040-2059,26.6269108125
8,2060-2079,26.906681875
8,2080-2099,27.023805625000005
9,2020-2039,26.496726437499998
9,2040-2059,26.722397625
9,2060-2079,26.9473980625
9,2080-2099,27.097301499999997
10,2020-2039,26.812018249999998
10,2040-2059,27.058961937499994
10,2060-2079,27.297031499999996
10,2080-2099,27.426716125000002
11,2020-2039,27.2754355
11,2040-2059,27.5340664375
11,2060-2079,27.8091828125
11,2080-2099,27.90903525
12,2020-2039,27.802325125
12,2040-2059,28.061274062500004
12,2060-2079,28.3400456875
12,2080-2099,28.461981
