Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,24.716492624999997
1,2040-2059,25.069470875
1,2060-2079,25.418616500000006
1,2080-2099,25.8540403125
2,2020-2039,24.355437625
2,2040-2059,24.710855125
2,2060-2079,25.049019249999997
2,2080-2099,25.453290437499998
3,2020-2039,24.361059625
3,2040-2059,24.696032625
3,2060-2079,25.0385525625
3,2080-2099,25.4435566875
4,2020-2039,24.7216025625
4,2040-2059,25.038169874999998
4,2060-2079,25.370732
4,2080-2099,25.803642874999994
5,2020-2039,25.3349913125
5,2040-2059,25.622915374999998
5,2060-2079,25.953992875
5,2080-2099,26.37056575
6,2020-2039,26.011640812499998
6,2040-2059,26.30703725
6,2060-2079,26.640771499999996
6,2080-2099,27.059313375
7,2020-2039,26.623800999999997
7,2040-2059,26.9416425625
7,2060-2079,27.2896235
7,2080-2099,27.7082001875
8,2020-2039,27.092250437500002
8,2040-2059,27.424020812500004
8,2060-2079,27.8022365625
8,2080-2099,28.2405009375
9,2020-2039,27.274133937499997
9,2040-2059,27.617866062500003
9,2060-2079,28.0199413125
9,2080-2099,28.48289825
10,2020-2039,27.055629124999996
10,2040-2059,27.3858733125
10,2060-2079,27.7968931875
10,2080-2099,28.262619187499997
11,2020-2039,26.375583000000002
11,2040-2059,26.701483437500002
11,2060-2079,27.1004046875
11,2080-2099,27.558800312499997
12,2020-2039,25.490197437500004
12,2040-2059,25.826027562500002
12,2060-2079,26.185644624999995
12,2080-2099,26.632521624999995
