Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,28.103230125
1,2040-2059,28.411162875000002
1,2060-2079,28.773502875
1,2080-2099,29.103838375000002
2,2020-2039,28.420216812499994
2,2040-2059,28.7288478125
2,2060-2079,29.0994660625
2,2080-2099,29.459690374999997
3,2020-2039,28.5419625
3,2040-2059,28.8529405
3,2060-2079,29.197809875000004
3,2080-2099,29.567865375
4,2020-2039,28.3765698125
4,2040-2059,28.648516687500003
4,2060-2079,29.025936812499996
4,2080-2099,29.389472875000006
5,2020-2039,27.76525225
5,2040-2059,28.053890624999998
5,2060-2079,28.4622918125
5,2080-2099,28.819854812499997
6,2020-2039,26.9370365
6,2040-2059,27.26108175
6,2060-2079,27.626201687500004
6,2080-2099,27.980327125
7,2020-2039,26.3284506875
7,2040-2059,26.6527738125
7,2060-2079,27.021612562500003
7,2080-2099,27.359585375
8,2020-2039,26.0956274375
8,2040-2059,26.4108961875
8,2060-2079,26.75819
8,2080-2099,27.111592437499993
9,2020-2039,26.17843675
9,2040-2059,26.481632125000004
9,2060-2079,26.848497375000004
9,2080-2099,27.188957812499996
10,2020-2039,26.519318937500003
10,2040-2059,26.813875375000002
10,2060-2079,27.2082023125
10,2080-2099,27.540811187500008
11,2020-2039,27.005764687499997
11,2040-2059,27.303159687500003
11,2060-2079,27.704086562500002
11,2080-2099,28.0564483125
12,2020-2039,27.571190375000004
12,2040-2059,27.880549937500003
12,2060-2079,28.272026125
12,2080-2099,28.592327625
