Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,29.280043687499997
1,2040-2059,29.846615187500003
1,2060-2079,30.374120437499997
1,2080-2099,31.01370775
2,2020-2039,28.826535937499997
2,2040-2059,29.2174961875
2,2060-2079,29.711278312499996
2,2080-2099,30.398959124999998
3,2020-2039,27.0201919375
3,2040-2059,27.3349376875
3,2060-2079,27.982865812500002
3,2080-2099,28.613893937500002
4,2020-2039,23.7994581875
4,2040-2059,24.1293488125
4,2060-2079,24.694918
4,2080-2099,25.389763249999998
5,2020-2039,19.449143062500003
5,2040-2059,19.893667249999996
5,2060-2079,20.549197249999995
5,2080-2099,21.043778187500003
6,2020-2039,16.026835437499997
6,2040-2059,16.58134525
6,2060-2079,17.1261195
6,2080-2099,17.6322608125
7,2020-2039,15.328267375
7,2040-2059,15.809731312500002
7,2060-2079,16.370283999999998
7,2080-2099,17.01756484375
8,2020-2039,17.22636171875
8,2040-2059,17.786888125
8,2060-2079,18.31657
8,2080-2099,18.857765875000002
9,2020-2039,20.7435211875
9,2040-2059,21.30109375
9,2060-2079,21.904029750000003
9,2080-2099,22.5838250625
10,2020-2039,24.312299937499997
10,2040-2059,24.954722000000004
10,2060-2079,25.448227000000006
10,2080-2099,26.142289312499997
11,2020-2039,26.903725374999997
11,2040-2059,27.619677875000004
11,2060-2079,28.0840025
11,2080-2099,28.71035175
12,2020-2039,28.598728250000004
12,2040-2059,29.2168763125
12,2060-2079,29.75692375
12,2080-2099,30.332417062500003
