Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,22.607431875
1,2040-2059,22.7851405625
1,2060-2079,23.273468625
1,2080-2099,23.711307562499996
2,2020-2039,22.2317703125
2,2040-2059,22.569326875
2,2060-2079,22.987740625
2,2080-2099,23.379888875000002
3,2020-2039,22.604455812499996
3,2040-2059,23.006689125
3,2060-2079,23.296264375
3,2080-2099,23.740048374999997
4,2020-2039,23.6693036875
4,2040-2059,24.0487531875
4,2060-2079,24.448117249999996
4,2080-2099,24.857362437500004
5,2020-2039,25.247815875
5,2040-2059,25.6054319375
5,2060-2079,26.020567749999998
5,2080-2099,26.4830701875
6,2020-2039,26.8992581875
6,2040-2059,27.246254062499997
6,2060-2079,27.6790339375
6,2080-2099,28.178052000000005
7,2020-2039,27.947880562500004
7,2040-2059,28.2692929375
7,2060-2079,28.700666249999998
7,2080-2099,29.120447749999997
8,2020-2039,28.2716385
8,2040-2059,28.604111624999998
8,2060-2079,29.038173750000002
8,2080-2099,29.5115516875
9,2020-2039,27.940387062500005
9,2040-2059,28.300351937499997
9,2060-2079,28.7338373125
9,2080-2099,29.210552437500002
10,2020-2039,26.826832
10,2040-2059,27.222686624999998
10,2060-2079,27.648583687499997
10,2080-2099,28.118906812500004
11,2020-2039,25.22951675
11,2040-2059,25.617393312499996
11,2060-2079,26.047120249999995
11,2080-2099,26.5330018125
12,2020-2039,23.670241000000004
12,2040-2059,23.950664062500003
12,2060-2079,24.5212099375
12,2080-2099,24.892568187499997
