Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,13.811085937500003
1,2040-2059,14.37431825
1,2060-2079,14.772749843750002
1,2080-2099,15.417639375
2,2020-2039,15.86043996875
2,2040-2059,16.35322234375
2,2060-2079,16.887708687499998
2,2080-2099,17.478214375
3,2020-2039,19.6997345
3,2040-2059,20.214829374999997
3,2060-2079,20.722005375
3,2080-2099,21.3411128125
4,2020-2039,24.056542937500005
4,2040-2059,24.54809925
4,2060-2079,25.066446312500002
4,2080-2099,25.7556719375
5,2020-2039,27.869916937499994
5,2040-2059,28.317131625000002
5,2060-2079,29.0189911875
5,2080-2099,29.732909125000006
6,2020-2039,31.475326937499993
6,2040-2059,32.112609375
6,2060-2079,32.7973340625
6,2080-2099,33.4990655625
7,2020-2039,33.11988337500001
7,2040-2059,33.8258653125
7,2060-2079,34.503658875000006
7,2080-2099,35.3464539375
8,2020-2039,32.73921437500001
8,2040-2059,33.518156437500004
8,2060-2079,34.280814312500006
8,2080-2099,35.09835393749999
9,2020-2039,29.886354000000004
9,2040-2059,30.581515937500004
9,2060-2079,31.277426562499997
9,2080-2099,32.14324268749999
10,2020-2039,25.033434250000003
10,2040-2059,25.5678036875
10,2060-2079,26.310186625000004
10,2080-2099,27.142784875000004
11,2020-2039,19.1653874375
11,2040-2059,19.667914812499998
11,2060-2079,20.3724045625
11,2080-2099,21.1159201875
12,2020-2039,14.7415889375
12,2040-2059,15.288577375000001
12,2060-2079,15.925751375
12,2080-2099,16.5658045625
