Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,5.67051105625
1,2040-2059,6.2351465687499985
1,2060-2079,6.57129504375
1,2080-2099,6.9451844625
2,2020-2039,6.087431949999999
2,2040-2059,6.6754892875
2,2060-2079,7.15727698125
2,2080-2099,7.3878488749999995
3,2020-2039,8.142244656249998
3,2040-2059,8.805086162499999
3,2060-2079,9.232293956249999
3,2080-2099,9.593329850000002
4,2020-2039,11.63633296875
4,2040-2059,12.32023003125
4,2060-2079,12.552739406249998
4,2080-2099,13.218993593750003
5,2020-2039,15.972815374999998
5,2040-2059,16.436047062500002
5,2060-2079,17.0843708125
5,2080-2099,17.7984474375
6,2020-2039,20.570522375000003
6,2040-2059,21.1389340625
6,2060-2079,21.826042062500004
6,2080-2099,22.583417
7,2020-2039,23.434233625000005
7,2040-2059,24.174462937500003
7,2060-2079,24.934932249999996
7,2080-2099,25.8336693125
8,2020-2039,22.88778425
8,2040-2059,23.6317906875
8,2060-2079,24.489782875
8,2080-2099,25.469115937500003
9,2020-2039,18.9111635625
9,2040-2059,19.614963749999998
9,2060-2079,20.3369244375
9,2080-2099,21.182697312500004
10,2020-2039,14.001230093750001
10,2040-2059,14.60451825
10,2060-2079,14.971400500000001
10,2080-2099,15.767511375000002
11,2020-2039,9.776312381250001
11,2040-2059,10.225242093750001
11,2060-2079,10.585071000000001
11,2080-2099,11.37668428125
12,2020-2039,6.805940075
12,2040-2059,7.44858451875
12,2060-2079,7.78975646875
12,2080-2099,8.517636368749999
