Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,4.631707105
1,2040-2059,4.961061352500001
1,2060-2079,5.578712137499999
1,2080-2099,6.2227767937500005
2,2020-2039,4.600520725
2,2040-2059,5.00799139375
2,2060-2079,5.5917125937500005
2,2080-2099,6.138500887499999
3,2020-2039,6.80258291875
3,2040-2059,7.390599193750001
3,2060-2079,7.91610191875
3,2080-2099,8.52183656875
4,2020-2039,11.23727675
4,2040-2059,11.69540175
4,2060-2079,12.155339374999999
4,2080-2099,12.829866062499999
5,2020-2039,15.777543531249997
5,2040-2059,16.202008062500003
5,2060-2079,16.831898375
5,2080-2099,17.384188062499998
6,2020-2039,19.7226418125
6,2040-2059,20.089182062499997
6,2060-2079,20.767967999999996
6,2080-2099,21.403094562499994
7,2020-2039,22.7665891875
7,2040-2059,23.1625033125
7,2060-2079,23.923587000000005
7,2080-2099,24.5162550625
8,2020-2039,23.8211763125
8,2040-2059,24.174456375
8,2060-2079,24.891363625
8,2080-2099,25.5776870625
9,2020-2039,21.4713135
9,2040-2059,21.8685225625
9,2060-2079,22.591420750000008
9,2080-2099,23.2898145625
10,2020-2039,16.529212625
10,2040-2059,17.0685616875
10,2060-2079,17.676830781249997
10,2080-2099,18.4022068125
11,2020-2039,11.44339834375
11,2040-2059,11.790309687499999
11,2060-2079,12.33640853125
11,2080-2099,13.146821437500002
12,2020-2039,7.0555016125
12,2040-2059,7.572153725
12,2060-2079,8.1436575625
12,2080-2099,8.832502418750002
