Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,-8.94400736875
1,2040-2059,-8.48989165625
1,2060-2079,-7.617838837499999
1,2080-2099,-7.047532593750001
2,2020-2039,-7.297182225
2,2040-2059,-6.594287187500001
2,2060-2079,-5.860861225
2,2080-2099,-5.032908706249999
3,2020-2039,-2.477697954375
3,2040-2059,-1.84182444125
3,2060-2079,-0.874061576875
3,2080-2099,-0.09853691812500005
4,2020-2039,3.860570835
4,2040-2059,4.392408071875001
4,2060-2079,5.2494910625
4,2080-2099,5.84257629375
5,2020-2039,9.7217992125
5,2040-2059,10.40900315625
5,2060-2079,10.959937893750002
5,2080-2099,11.682343531249998
6,2020-2039,14.63985521875
6,2040-2059,15.138247375
6,2060-2079,16.021055062500004
6,2080-2099,16.73126125
7,2020-2039,17.4731589375
7,2040-2059,17.9577116875
7,2060-2079,19.0359200625
7,2080-2099,19.760413687499998
8,2020-2039,16.512739625
8,2040-2059,17.209402124999997
8,2060-2079,18.198519968750002
8,2080-2099,18.85135025
9,2020-2039,11.1840094
9,2040-2059,11.925623312499999
9,2060-2079,12.7609446875
9,2080-2099,13.577575625
10,2020-2039,4.27177748125
10,2040-2059,4.931846087499999
10,2060-2079,5.790752518750001
10,2080-2099,6.447328568749999
11,2020-2039,-1.8837083805062504
11,2040-2059,-1.4065982856250003
11,2060-2079,-0.6046079225000001
11,2080-2099,0.19598308530625005
12,2020-2039,-7.1025011
12,2040-2059,-6.541609881249999
12,2060-2079,-5.437658762500001
12,2080-2099,-4.85891753125
