Month,Year,Monthly Temperature - (Celsius)
1,2020-2039,26.270016875000003
1,2040-2059,26.6956868125
1,2060-2079,27.098733062499996
1,2080-2099,27.722800937500004
2,2020-2039,27.1152480625
2,2040-2059,27.549624937499996
2,2060-2079,27.998263500000004
2,2080-2099,28.5690964375
3,2020-2039,27.611025562499997
3,2040-2059,28.0136458125
3,2060-2079,28.445929625000005
3,2080-2099,28.988539375000002
4,2020-2039,27.4671721875
4,2040-2059,27.848488812499998
4,2060-2079,28.2949510625
4,2080-2099,28.795600625
5,2020-2039,26.940438187500007
5,2040-2059,27.32002175
5,2060-2079,27.808975312500003
5,2080-2099,28.325166875
6,2020-2039,26.296060124999997
6,2040-2059,26.697702750000005
6,2060-2079,27.1199118125
6,2080-2099,27.643772562499993
7,2020-2039,25.675222374999997
7,2040-2059,26.066271875000005
7,2060-2079,26.46495025
7,2080-2099,26.985444562500007
8,2020-2039,25.2821373125
8,2040-2059,25.664449625000003
8,2060-2079,26.079183062500004
8,2080-2099,26.5527928125
9,2020-2039,25.420602
9,2040-2059,25.79355075
9,2060-2079,26.2107874375
9,2080-2099,26.712859062499994
10,2020-2039,25.815262625000003
10,2040-2059,26.196942125
10,2060-2079,26.6366021875
10,2080-2099,27.123458937499997
11,2020-2039,26.181387375000003
11,2040-2059,26.5598724375
11,2060-2079,27.047841312499997
11,2080-2099,27.552991812500004
12,2020-2039,25.9205630625
12,2040-2059,26.331918562500004
12,2060-2079,26.809341812499998
12,2080-2099,27.398194125
